Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow X,Elbow Y,Elbow X_smoothed,Elbow Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Shoulder Pink X_smoothed,Shoulder Pink Y_smoothed,angles,velocity,roughness
17.0,314.1456299,1022.813416,747.9035034,1217.235596,475.8095093,1211.474609,475.94098502694266,1211.6043398649929,747.8358216593583,1217.2484757092284,313.97453169082104,1022.927200971026,131.6794111469429,6.145357913155749,4.624132144624639e-06
18.0,313.6763,1023.329712,747.8557129,1217.241333,476.2402649,1211.673462,476.0601173825368,1211.601240797649,747.9038147863787,1217.2572239031856,313.7905378873119,1023.1872028313458,131.77894647114925,5.972119452381435,3.1412989775818743e-06
19.0,313.6242065,1023.349548,747.6757202,1217.070068,476.098999,1211.440552,476.1729009693239,1211.5912707504133,747.9731838076339,1217.2674164219718,313.65546381726716,1023.3956332728394,131.87088939921293,5.516575683820406,2.157062339004437e-05
20.0,313.5263062,1023.436096,748.1607666,1217.388672,476.3514099,1211.57959,476.2673494522509,1211.57843319085,748.0283567134289,1217.274781824856,313.57330034602194,1023.5386331136672,131.9495353781789,4.718758737957955,0.00010299829013572
21.0,313.8636475,1023.787903,748.392334,1217.363525,476.5167542,1211.601318,476.3386523881234,1211.5614367619874,748.0527252193339,1217.2733797797478,313.5516677149646,1023.604511687561,132.00959647983603,3.6036660994284375,0.0003034435024885932
22.0,313.7955017,1023.542542,748.0852661,1217.289429,476.3514099,1211.57959,476.39084127881705,1211.5354392701338,748.0388003207624,1217.2596982043003,313.602579365615,1023.5867958091312,132.04737768357006,2.2668722240416628,0.0006252134164212437
23.0,313.3968201,1023.50061,748.1181641,1217.36792,476.2585144,1211.413208,476.43400598851144,1211.4951482203649,747.9942940715028,1217.2357242166129,313.73900271125643,1023.4866921513712,132.06147112256446,0.8456063396636182,0.0009770091518827406
24.0,313.602417,1023.299377,747.5916138,1216.955444,476.3514099,1211.57959,476.478230077559,1211.4375736193665,747.9387426450447,1217.2081347421347,313.9646995002929,1023.3139011698396,132.0530341602101,-0.506217741261139,0.0012136024650226136
25.0,314.2553101,1023.126465,747.8875122,1217.193726,476.8164368,1211.322998,476.5284580102931,1211.363698532513,747.8927275209163,1217.1840638914443,314.2629944615233,1023.0858228068496,132.02574482870529,-1.6373598902890762,0.0012219235470979704
26.0,314.7182312,1022.881287,747.8359985,1217.200317,476.5,1211.341064,476.5831350110335,1211.278723177505,747.8670081668109,1217.1668165038718,314.5943471106346,1022.8259459458702,131.98537691660638,-2.422074725934067,0.0009885463011617536
