Frame #,body X,body Y,hand X,hand Y,shoulder X,shoulder Y,shoulder X_smoothed,shoulder Y_smoothed,body X_smoothed,body Y_smoothed,hand X_smoothed,hand Y_smoothed,velocity,roughness,angles
12,362.5,1356.1898193359375,414.8312683105469,1864.6378173828125,205.2511749267578,1187.9718017578125,205.04552276383595,1187.9100308258337,362.6129113273706,1356.0875786949132,414.45196549382064,1864.8591657335444,-2.2350140780042693,0.0013462628537002474,334.1103055961693
13,362.5,1356.0,414.8312683105469,1864.6378173828125,204.90020751953125,1188.2696533203125,204.6894297693829,1188.0184557841,362.5427057123088,1356.0718656352417,413.9460356754934,1864.880027701417,-3.319083022832956,0.0012223007165978045,334.0549875457888
14,362.5,1356.0,413.5188903808594,1864.8521728515625,204.31884765625,1188.0848388671875,204.3093909706798,1188.1046029681422,362.4984528533143,1356.0459329096402,413.45840598548864,1864.914383406065,-4.077400378306493,0.0009324872990877927,333.987030872817
15,362.5,1356.0,412.376953125,1865.0592041015625,203.69778442382812,1188.0,203.94375165707893,1188.155107598423,362.4819590957069,1356.0193608587656,413.0214372144293,1864.94781949499,-4.397294295322354,0.0005594285473171601,333.91374263456163
16,362.5,1356.0,412.6111145019531,1864.9356689453125,203.3176727294922,1188.1700439453125,203.62282491390425,1188.166428176114,362.4869314129995,1355.9997452424725,412.6698249292674,1864.958225604704,-4.230987240199511,0.00022155125693544312,333.8432261805583
17,362.5,1356.0,412.3516845703125,1865.1253662109375,203.36819458007812,1188.263671875,203.35914683245747,1188.1417952489644,362.502068194112,1355.9911432254446,412.4241486009498,1864.9261861274188,-3.639251068068461,5.4749955101466354e-05,333.7825719960905
18,362.5,1356.0,412.3516845703125,1865.1253662109375,203.2337951660156,1188.0462646484375,203.14684296698985,1188.089439617397,362.5139328559818,1355.9940988135388,412.2832914019568,1864.844480600228,-2.7744525729508496,0.00011765268114076123,333.73633111987465
19,362.5,1356.0,412.3302917480469,1864.5272216796875,203.2337951660156,1188.0462646484375,202.97111999049335,1188.0214415456917,362.509386726148,1356.0062222027882,412.22882497491855,1864.7216032998876,-1.817849063182848,0.0003217332403275845,333.70603363548827
20,362.5,1356.0,412.3302917480469,1864.5272216796875,202.90020751953125,1187.8980712890625,202.82117359642425,1187.9514158553957,362.477997041904,1356.0227134364934,412.2345785640007,1864.5767533479643,-0.9155259196518272,0.000499390424736142,333.69077487016074
21,362.5,1356.0,412.1838073730469,1864.2025146484375,202.79791259765625,1187.9375,202.69802246224015,1187.891102813678,362.41460570250337,1356.0369254763143,412.2746907618788,1864.4287740225595,-0.1487470048436989,0.0005433436937277423,333.68829575341334
22,362.3966369628906,1356.0843505859375,412.1838073730469,1864.2025146484375,202.41026306152344,1187.6824951171875,202.6130594606973,1187.8470798155636,362.321284156293,1356.0415179080132,412.3277686130521,1864.2858989625868,0.4580058181954882,0.0004630015008758126,333.6959291837166
23,362.1022644042969,1356.102294921875,412.5752258300781,1864.103271484375,202.4076232910156,1187.84765625,202.57935289770813,1187.8187607865286,362.2071211275237,1356.030467732882,412.37899533574,1864.1425058137308,0.9149902483079586,0.00033030367168931745,333.7111790211884
24,362.022216796875,1355.9222412109375,412.7135009765625,1864.1295166015625,202.46435546875,1187.8343505859375,202.6021992119241,1187.798779866022,362.0851794224236,1356.0012168480437,412.422704024283,1863.9846889412213,1.2522194947530352,0.00020750244062442533,333.73204934610095
