Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,angles,velocity,roughness
21,0.1531884372234344,-0.5077075958251953,-0.4702900350093841,0.1358818411827087,-0.6698232889175415,-0.5071035027503967,0.1406319588422775,-0.8673389554023743,-0.5439617037773132,0.2898969054222107,-0.7573118805885315,-0.1932551860809326,-30.709217963794604,0.1531192966035765,-0.5077011973373027,0.1404681531647203,-0.8673163426129227,0.2898861056356034,-0.7573372541524511,-30.799290622632903,2.707640432584739,0.0006218483391216075
22,0.1532074064016342,-0.5077136158943176,-0.4703163206577301,0.1360533088445663,-0.6697229743003845,-0.5072855949401855,0.1407749354839325,-0.867073118686676,-0.54392409324646,0.2897548377513885,-0.7573172450065613,-0.1932843029499054,-30.66260194684257,0.1532142758394589,-0.5077066189633842,0.140844285841281,-0.8670647971923443,0.289822024586762,-0.7573639852364179,-30.74282257115902,3.388083088432907,0.000552732954786824
23,0.1533524394035339,-0.5076848268508911,-0.4706385433673858,0.1362626552581787,-0.669718861579895,-0.507774829864502,0.1410319060087204,-0.8668862581253052,-0.5438609719276428,0.2897046506404876,-0.7573167085647583,-0.1935596913099289,-30.608409463385055,0.1532849820536602,-0.5076639710086625,0.1412516814222685,-0.8668766020063199,0.2897840145509012,-0.7573704801527651,-30.678224010587968,3.8759136342631706,0.0004032320674931086
24,0.1533569246530532,-0.5075981616973877,-0.4698728322982788,0.1365371495485305,-0.6696766018867493,-0.5078998804092407,0.1418687254190445,-0.8667535185813904,-0.5458489656448364,0.2897068560123443,-0.7573378086090088,-0.1937894821166992,-30.46522022372099,0.1533254425343257,-0.5075749034092084,0.1416587563120298,-0.8667278046185699,0.289765821999025,-0.7573712974203497,-30.60860793068873,4.176964793954241,0.00024390029003862245
25,0.1533081382513046,-0.5075385570526123,-0.4686725735664367,0.1367280185222625,-0.6696812510490417,-0.508744478225708,0.1421185135841369,-0.8667186498641968,-0.5608015656471252,0.2898110449314117,-0.7573365569114685,-0.1938621699810028,-30.438910145645764,0.1533401492815153,-0.5074467441892692,0.1420369702996938,-0.8665940097431142,0.2897542114321818,-0.7573717046028348,-30.536857390288375,4.30503242402132,0.00011848228972236255
26,0.1533356755971908,-0.5072699189186096,-0.4553448557853699,0.1370329707860946,-0.669578492641449,-0.5030097365379333,0.1422048360109329,-0.8664214611053467,-0.5589560866355896,0.289840817451477,-0.7573508620262146,-0.194227322936058,-30.40279219122327,0.1533404960181386,-0.5072924947710568,0.1423654362064595,-0.8664557264294998,0.2897341967332975,-0.7573674947916592,-30.465636258842757,4.273267886737102,4.088904063540516e-05
27,0.153321623802185,-0.5070627331733704,-0.4454385340213775,0.1374606639146804,-0.6694411635398865,-0.4943575263023376,0.1427361965179443,-0.8661918640136719,-0.5536757111549377,0.2898402810096741,-0.7573352456092834,-0.1943434327840805,-30.299904552102973,0.15333987133175,-0.5071284691293572,0.1426343389031169,-0.8663010247684525,0.2896955964990611,-0.7573476525042454,-30.397469058765548,4.090032004632533,8.229920597637117e-06
28,0.153358057141304,-0.5069209933280945,-0.4476840794086456,0.137583702802658,-0.6694715619087219,-0.4945489466190338,0.1428885757923126,-0.8661800026893616,-0.5497891902923584,0.2895568311214447,-0.7573473453521729,-0.1948059946298599,-30.20956990859004,0.1533486841960633,-0.5069701266609692,0.1428464284772283,-0.8661260395322103,0.2896371231383391,-0.7572991969474524,-30.334661509773102,3.7684529395467337,1.287629406145879e-05
29,0.1532701849937439,-0.5067802667617798,-0.4443152248859405,0.1378536969423294,-0.6694735884666443,-0.4820737540721893,0.1431519836187362,-0.8660464882850647,-0.5027310848236084,0.2894750833511352,-0.7572740316390991,-0.195344403386116,-30.148169216381092,0.1533701398033508,-0.5068281906114556,0.1430173760973704,-0.8659353022688596,0.289565589046961,-0.7572131441813189,-30.27881997994798,3.3504917895074016,4.4600737848750374e-05
30,0.1532724946737289,-0.506757915019989,-0.4442184865474701,0.1380258351564407,-0.6694830656051636,-0.4795255959033966,0.1431927680969238,-0.8658638000488281,-0.4949220418930053,0.2894462347030639,-0.7572391033172607,-0.1957370489835739,-30.138461532972684,0.1533974060928598,-0.5067071822513992,0.1431740283693082,-0.8657424566788106,0.289491603642781,-0.7570898871083188,-30.230128206891234,2.921506383404733,8.415294208074493e-05
31,0.1534378826618194,-0.5066276788711548,-0.4404760599136352,0.1380570232868194,-0.6693859100341797,-0.4757886528968811,0.1432508081197738,-0.8655099272727966,-0.4952975213527679,0.2894914746284485,-0.7570124268531799,-0.1957674920558929,-30.14462510716246,0.1534135709580699,-0.5066067860325852,0.1433485167452833,-0.865568976349856,0.2894256268932649,-0.7569416086578267,-30.186979506637005,2.5889220152537007,0.00010315345427052902
32,0.1534516364336013,-0.5065658688545227,-0.4361439347267151,0.1382108479738235,-0.6693077087402344,-0.4735996425151825,0.1434918791055679,-0.8652998805046082,-0.4981586635112762,0.2894570529460907,-0.7566144466400146,-0.1957872807979583,-30.13280591146488,0.1533958882672774,-0.5065246089384922,0.1435683741779997,-0.865438562789887,0.2893766642712056,-0.7567895918426009,-30.146491460273843,2.4292827817897233,8.427366751507689e-05
33,0.1534422636032104,-0.5064486861228943,-0.4252211153507232,0.1382325291633606,-0.6692771315574646,-0.4647286534309387,0.143547236919403,-0.865238606929779,-0.4924573004245758,0.2893182635307312,-0.7565423846244812,-0.1958110183477401,-30.095003251664593,0.1533237208216025,-0.5064583673445113,0.1438460337238307,-0.8653686471870166,0.2893523337760869,-0.7566567393786346,-30.10582479214474,2.440000087746128,4.269666957314709e-05
34,0.1533172875642776,-0.5063660144805908,-0.4213692843914032,0.1382499933242797,-0.6692810654640198,-0.4586075842380523,0.1440947502851486,-0.8652438521385193,-0.4805877208709717,0.2892701923847198,-0.7565264105796814,-0.1958580613136291,-29.99451907581217,0.1531868361534984,-0.506406470627642,0.1441728474437781,-0.8653637985866586,0.2893578423513155,-0.7565592438163742,-30.063578532250983,2.534775593625511,1.1182301434534449e-05
35,0.1530064791440963,-0.5063607692718506,-0.4167827069759369,0.1382002085447311,-0.6695025563240051,-0.4545734524726867,0.1447629928588867,-0.8655453324317932,-0.4774093627929687,0.2893614172935486,-0.7565206289291382,-0.1958778202533722,-29.908269113049663,0.1529899280052272,-0.5063674275723017,0.1445218808322867,-0.8654154396605473,0.2893935930751935,-0.756502232914081,-30.020386962697685,2.5914941731978303,1.7125952435232283e-06
36,0.152716726064682,-0.5063362717628479,-0.4143820405006408,0.1381880939006805,-0.6695712208747864,-0.4545732736587524,0.1450202465057373,-0.8655862212181091,-0.482682466506958,0.2893913388252258,-0.7565338611602783,-0.1958952099084854,-29.873613141295383,0.1527509604082992,-0.5063393098047604,0.144859243613229,-0.8655084531534705,0.2894536112393734,-0.7564809092775934,-29.978376249882256,2.520642768925754,1.2885490098217054e-06
37,0.152328684926033,-0.5063313841819763,-0.4129439890384674,0.1380945444107055,-0.6696749329566956,-0.4493590295314789,0.1451897323131561,-0.8657779693603516,-0.4701423645019531,0.2896328866481781,-0.7564718723297119,-0.1957154124975204,-29.9005501043153,0.1524940714743304,-0.5063201480425774,0.1451577572949796,-0.8656309402242505,0.2895268722589161,-0.7564849511130121,-29.939945028135117,2.305873304828338,3.402280650394778e-06
38,0.1521061211824417,-0.5063311457633972,-0.415193498134613,0.1380986869335174,-0.6698471903800964,-0.4508291184902191,0.145497128367424,-0.8659177422523499,-0.4823948740959167,0.2896289527416229,-0.7565445303916931,-0.1957244873046875,-29.84711672856425,0.1522408130479543,-0.5063091673256662,0.1454053510155047,-0.8657815493975038,0.2896013979944056,-0.7565031820825727,-29.90671320741858,1.9939092429922312,1.6846556357486263e-05
39,0.1520526111125946,-0.5063273906707764,-0.4156637489795685,0.1381555050611496,-0.6698513627052307,-0.4527952969074249,0.1455507278442382,-0.8659428954124451,-0.4840365946292877,0.2897004187107086,-0.756544291973114,-0.1958495527505874,-29.851606405404457,0.1520046570001087,-0.5063081321277718,0.145605167472669,-0.8659701580528317,0.289668942628608,-0.7565269552102635,-29.879178567421526,1.652078399823225,4.2302844699501984e-05
40,0.1519007235765457,-0.5063415169715881,-0.4160594344139099,0.1381644606590271,-0.6699625253677368,-0.4531603753566742,0.1456094831228256,-0.8660231232643127,-0.482205718755722,0.2897579669952392,-0.7565723657608032,-0.1958626955747604,-29.85332543266009,0.1517916379426426,-0.5063220284561039,0.1457694169404247,-0.8662109549530106,0.2897278690858716,-0.7565519424952042,-29.85706523930292,1.32679968711642,6.464282952388033e-05
