Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Elbow (X)_smoothed,Right_Elbow (Y)_smoothed,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Elbow (X)_smoothed_smoothed,Right_Elbow (Y)_smoothed_smoothed,Right_Shoulder (X)_smoothed_smoothed,Right_Shoulder (Y)_smoothed_smoothed,Right_Pinky (X)_smoothed_smoothed,Right_Pinky (Y)_smoothed_smoothed,angles,velocity,roughness
33,0.295435756444931,-0.5286283493041992,-0.3948376476764679,0.4836599826812744,-0.6254193782806396,-0.3750076591968536,0.7349035143852234,-0.6471619009971619,-0.2623606622219085,0.4816667907819204,-0.6249360035055087,0.294768358687998,-0.528438223709804,0.7341777367328819,-0.6473784184913218,0.4821551686840979,-0.6256022341502949,0.2953712847195793,-0.5285255496326732,0.7342329639317284,-0.6471971480557159,157.13570665484804,11.944083116023307,0.00015973366498655878
34,0.2928426563739776,-0.5279672145843506,-0.3890254199504852,0.4803379774093628,-0.6237968802452087,-0.3716954290866852,0.7336419820785522,-0.6475195288658142,-0.2518471181392669,0.4811295236690183,-0.6243178638089925,0.2940031288110361,-0.528325804740301,0.7340388131348808,-0.6474722288490758,0.4817449144327833,-0.6250884941231071,0.2948240418048465,-0.5284456473214466,0.7341552811355856,-0.647307188431442,157.3576008505821,13.313651744043112,0.0004663638555729896
35,0.2924600839614868,-0.5279775261878967,-0.3906382918357849,0.4796240925788879,-0.6232033371925354,-0.3727175295352936,0.7336056232452393,-0.647738516330719,-0.2479841411113739,0.4808389957480955,-0.623715448379595,0.293245789439664,-0.5282089638510796,0.7339193532706567,-0.6475345536674144,0.4813825542853991,-0.6245392832526969,0.2941927594295451,-0.5283509705886057,0.7340609007803476,-0.6473981402657077,157.60363807887776,14.762233697740612,0.0008949022402526884
36,0.2924889624118805,-0.528140127658844,-0.3872081339359283,0.4794897139072418,-0.622714102268219,-0.3610018193721771,0.7335464358329773,-0.6477317810058594,-0.2373290210962295,0.481032432838856,-0.6232039822387644,0.2925997841025087,-0.5281088744671443,0.7338940383393701,-0.6475517203362735,0.4812425128196463,-0.6240051677092544,0.2935555819081948,-0.5282541303336552,0.7339941565540568,-0.6474595750741003,157.8712356305176,16.055853098389434,0.0011953315215126267
37,0.2920664548873901,-0.5281468629837036,-0.3863780796527862,0.4809629619121551,-0.622772216796875,-0.3615704476833343,0.733564019203186,-0.6476638317108154,-0.2409344762563705,0.4818200551643161,-0.6228210105655968,0.292112293318839,-0.5280398875548256,0.7340002053864118,-0.6475235459504235,0.481473534654033,-0.6235315068788834,0.2929782721062966,-0.5281684327885098,0.7339965820507207,-0.6474851637688902,158.15596446936806,17.083730331028164,0.0011818221761744623
38,0.2919187247753143,-0.5281302332878113,-0.3798117637634277,0.4825281202793121,-0.6227648854255676,-0.3513932824134826,0.7337967753410339,-0.6473487019538879,-0.2245173156261444,0.4831407762029372,-0.6225621148032181,0.2917729887262492,-0.5280129536049818,0.734216830044255,-0.6474658609045661,0.482140433515117,-0.6231437499301521,0.2924961589182162,-0.5281062415586332,0.7340846882965185,-0.6474774415364632,158.45343496823247,17.848229931864807,0.0009143573100726792
39,0.2918817400932312,-0.5281445980072021,-0.3813306987285614,0.4868812263011932,-0.622782826423645,-0.3527827858924866,0.7348201274871826,-0.6472831964492798,-0.2230716347694397,0.4847958926981994,-0.6223992839020047,0.2915360440762597,-0.5280418649558488,0.7344694262626247,-0.6474036086737025,0.4832026173192664,-0.6228459622645198,0.2921121101119227,-0.5280804917087994,0.7342385890425385,-0.6474479068445553,158.7598642230581,18.385755289536977,0.0005830879435640774
40,0.291617602109909,-0.5281487703323364,-0.3819778263568878,0.4875733554363251,-0.6227377653121948,-0.3540071845054626,0.7350326180458069,-0.6473063826560974,-0.2259404212236404,0.4865345514482803,-0.6223065146496004,0.2913467620196556,-0.528145685964191,0.7346585259937954,-0.6473589502867452,0.4845353899113344,-0.6226301817145871,0.2918059671971808,-0.5281065701584173,0.7344065669289165,-0.6474123228801641,159.07133445897472,18.68821415499781,0.0003134305641028723
41,0.2908483445644378,-0.528152585029602,-0.3838847875595093,0.4876403212547302,-0.6221250295639038,-0.3560346961021423,0.7350544333457947,-0.6473056674003601,-0.2299571931362152,0.4881375277006176,-0.6222759258177326,0.2911596397698431,-0.5283449780844846,0.734699317332496,-0.6473406762780898,0.4859762436306346,-0.6224884781596534,0.291547433193012,-0.5282019338317367,0.7345236679403051,-0.6473836634061847,159.3824666963328,18.66793424148568,0.00012780192729337425
42,0.2907358705997467,-0.5285448431968689,-0.3914174437522888,0.4894751608371734,-0.622140109539032,-0.360239714384079,0.7350567579269409,-0.6472451090812683,-0.2361825257539749,0.489455760686978,-0.6223158487073576,0.2909438432152401,-0.528654177771028,0.734554230743337,-0.6473386029311905,0.4873680492851489,-0.6224194257036263,0.2913059954158751,-0.5283828316284216,0.7345358924294543,-0.6473656389062804,159.68533040205952,18.171822343602457,3.473898102725589e-05
43,0.2907407879829407,-0.5290982723236084,-0.3922328948974609,0.4898027181625366,-0.621934711933136,-0.3580901324748993,0.7343674302101135,-0.6471565961837769,-0.2303330898284912,0.4904023143191204,-0.6224351180163258,0.290682124344405,-0.529075275275231,0.73424404965578,-0.6473234673222695,0.4885817546001607,-0.6224257024372614,0.2910564464091359,-0.5286598090890297,0.7344191540657374,-0.6473487703398019,159.9692155859195,17.033111031598764,0.00012872771724795661
44,0.2909134030342102,-0.5297300219535828,-0.3940427303314209,0.4910596013069153,-0.6226683259010315,-0.3585905432701111,0.733863353729248,-0.6472070217132568,-0.2292020320892334,0.4909274374708927,-0.622626941786324,0.2903722919210878,-0.52959671392965,0.7338323022047332,-0.6472524437849512,0.4895200275122892,-0.6225061983059044,0.2907827848656064,-0.5290345709070465,0.7341844120978108,-0.6473102399709265,160.22151308214595,15.137849773586822,0.0006261869986773003
45,0.2906188368797302,-0.5303568243980408,-0.4069651663303375,0.4913621246814728,-0.6230571866035461,-0.3787019252777099,0.732830286026001,-0.6472520232200623,-0.260651022195816,0.4910013810753701,-0.622864387675567,0.2900312048199406,-0.5301965799388275,0.7333867630363119,-0.6470810561411527,0.4901125690234238,-0.6226494743195844,0.2904821534775928,-0.5294993743708805,0.7338653516276451,-0.6472185667188466,160.42944326602048,12.47581103247228,0.0017793931495899808
46,0.2888646423816681,-0.5307508111000061,-0.4127693772315979,0.4902602136135101,-0.6232967376708984,-0.3869690597057342,0.7318947315216064,-0.647212028503418,-0.2609778940677643,0.4906088019619523,-0.6231089927209821,0.2896902066492439,-0.5308451621971086,0.7329308344036078,-0.646780062573723,0.4903110624351378,-0.6228332819421413,0.2901653753970416,-0.5300376893797183,0.7334915443483419,-0.6470431652726253,160.5820752901432,9.157921447362584,0.0036726472372531063
47,0.2885929942131042,-0.5310304164886475,-0.4187597036361694,0.4897908568382263,-0.6233001351356506,-0.3935056626796722,0.731353223323822,-0.6464765071868896,-0.2656935155391693,0.489747129873612,-0.6233239493049311,0.289375002230604,-0.5315033615871776,0.7324064292061796,-0.6463508408423829,0.4900854896591489,-0.6230295490698282,0.2898492266003445,-0.5306239581918188,0.7330574982656104,-0.6467662356127134,160.6721190575574,5.402626044852923,0.0060334575743804485
48,0.2886046171188354,-0.5316568613052368,-0.4182616770267486,0.486888974905014,-0.623116672039032,-0.3990152776241302,0.7310392260551453,-0.6458033919334412,-0.2810082733631134,0.488425975029719,-0.623483048649889,0.2890826397161722,-0.5321204924215339,0.7316744098448532,-0.645830360158197,0.4894216839893263,-0.6232109489871823,0.2895425920791153,-0.5312225718614533,0.7325042630776231,-0.6463918854555966,160.69709206939635,1.4983807103362778,0.008239054771689314
49,0.2893270850181579,-0.5334570407867432,-0.4183491170406341,0.4875384867191314,-0.6237474083900452,-0.401864230632782,0.7317696809768677,-0.6452062726020813,-0.2952266335487366,0.4866772105314645,-0.623574903715101,0.2887801939185586,-0.5326411685157016,0.7305705302847858,-0.6452815477874,0.4883238946980338,-0.6233565308854229,0.289237632849139,-0.5317900105340092,0.7317307702000917,-0.6459477503579709,160.65956476432692,-2.2516383041659083,0.009573367724451621
50,0.2894112169742584,-0.5335248708724976,-0.4175037741661072,0.485915869474411,-0.6238747835159302,-0.3989157676696777,0.7317536473274231,-0.6445406079292297,-0.2916087210178375,0.4845869598466639,-0.6236079436534617,0.2884350663618815,-0.5330255319088464,0.7290078573779725,-0.6447732015778881,0.4868291207730545,-0.6234570959549168,0.2889166061702138,-0.5322842191096636,0.7306416052724698,-0.6454779307945147,160.5663986503971,-5.589966835788687,0.009591233526713937
51,0.2895363271236419,-0.5334941148757935,-0.4265341758728027,0.4861169457435608,-0.6246886849403381,-0.4086732566356659,0.7315859794616699,-0.6440078020095825,-0.3224825263023376,0.4823359873080225,-0.6236167083642505,0.2880571896493457,-0.533271029449474,0.7270748405142757,-0.6443584515827806,0.4850318673563847,-0.6235209408676189,0.2885728394381064,-0.5326789432718257,0.7292148994900711,-0.6450301390620766,160.42716762337483,-8.353861621336591,0.008351439155490971
52,0.286329448223114,-0.5329201221466064,-0.4418118000030517,0.4766893088817596,-0.6225376129150391,-0.4200689196586609,0.7201898694038391,-0.6440230011940002,-0.3156643509864807,0.480201032480466,-0.6236595393980535,0.2877172522099637,-0.5334168183071866,0.7250504339342617,-0.6440606989343076,0.4830995333591841,-0.6235763802365626,0.288230604437938,-0.5329740933047453,0.7275491133090948,-0.6446423629793268,160.25223584084318,-10.495906951898633,0.00635947475514592
53,0.2864184081554413,-0.5331528782844543,-0.4572654962539673,0.4765635728836059,-0.6234745383262634,-0.4361061155796051,0.7210929989814758,-0.6440802216529846,-0.3421730399131775,0.4784807833867496,-0.6237989431827967,0.2875215822523525,-0.5335258579099396,0.7232964460317929,-0.6438726104622867,0.4812520333283748,-0.6236654053888453,0.2879469954950472,-0.5331947991559831,0.7258480463839131,-0.6443344619589969,160.05120184441952,-12.062039785419644,0.004263615502469723
