Frame #,Right_Knee (X),Right_Knee (Y),Right_Knee (Z),Left_Knee (X),Left_Knee (Y),Left_Knee (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Left_Hip (X),Left_Hip (Y),Left_Hip (Z),Nose (X),Nose (Y),Nose (Z),Left_Hip (X)_smoothed,Left_Hip (Y)_smoothed,Left_Knee (X)_smoothed,Left_Knee (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,angles,velocity,roughness
32,0.5673978328704834,-0.6792690753936768,0.0799597278237342,0.4753552973270416,-0.67774498462677,-0.027319835498929,0.571189284324646,-0.5661627054214478,0.0093036238104105,0.4773052036762237,-0.5676928758621216,-0.0098800482228398,0.5145297050476074,-0.3888798654079437,0.2452215701341629,0.4773064145265216,-0.5676810271895478,0.475338051138431,-0.6777504339898295,0.5145349926202752,-0.3889166481938425,190.76458111664147,-1.0040063810811262,2.2221701410306545e-05
33,0.5673550963401794,-0.679274320602417,0.0788445472717285,0.4753360748291015,-0.6777573227882385,-0.0294764079153537,0.5711853504180908,-0.566179633140564,0.0095424279570579,0.477323055267334,-0.5677168369293213,-0.0101208435371518,0.5145276784896851,-0.3888753354549408,0.2347716391086578,0.4773169605792545,-0.5677189128073346,0.4752985470317078,-0.6777853460884423,0.5145228161595583,-0.3888651000128973,190.7390335598144,-1.53285340962384,7.436716935949003e-05
34,0.5673422813415527,-0.6793016791343689,0.078835479915142,0.475214809179306,-0.6777948141098022,-0.0304276291280984,0.5711804032325745,-0.566199004650116,0.0101441917940974,0.4773251116275787,-0.5677372813224792,-0.0107256937772035,0.5145059823989868,-0.3888744115829468,0.2153638750314712,0.477334668086725,-0.5677629348230953,0.4752522795173514,-0.6778285433392506,0.5145079172180134,-0.38881426803616,190.70395994475513,-2.104416903556512,0.00014174577639906568
35,0.5673192739486694,-0.6793562173843384,0.0783996134996414,0.4751764833927154,-0.67788165807724,-0.031616736203432,0.5711775422096252,-0.5662501454353333,0.011043258011341,0.4773359596729278,-0.5678039789199829,-0.011618978343904,0.514465868473053,-0.3888121843338012,0.2155007123947143,0.4773567424536569,-0.5678151067895864,0.475201469437277,-0.6778776101776344,0.5144898486426017,-0.3887504263128593,190.6598496668786,-2.646616672590767,0.00018965584057595582
36,0.5673112869262695,-0.6794106364250183,0.0800489634275436,0.4751605093479156,-0.6779330968856812,-0.0315023735165596,0.5711941123008728,-0.5662978291511536,0.0119211748242378,0.4774036407470703,-0.5678625702857971,-0.0124967778101563,0.514462411403656,-0.3886862993240356,0.216135174036026,0.4773799494251681,-0.5678757179855236,0.4751481318079569,-0.6779282070101068,0.5144685763462868,-0.3886644766614164,190.60822774170896,-3.097315510179328,0.0001953937076346474
37,0.5671732425689697,-0.6794382929801941,0.0822134688496589,0.4750830233097076,-0.6780117750167847,-0.0327187478542327,0.5711748003959656,-0.5663694143295288,0.0146835790947079,0.4774134755134582,-0.5679556727409363,-0.0152591336518526,0.5144598484039307,-0.3886002004146576,0.2217509448528289,0.47740141659727,-0.567943065439342,0.4750935707979973,-0.677975608387479,0.5144449541870878,-0.3885550628351561,190.55133494740545,-3.413567658210468,0.00015884505265427134
38,0.5671448707580566,-0.6794803738594055,0.0841667801141738,0.4750532805919647,-0.6780397891998291,-0.0328280515968799,0.5711643099784851,-0.5664138793945312,0.0155346607789397,0.4774340689182281,-0.5680166482925415,-0.0161090828478336,0.5144485831260681,-0.3883689045906067,0.222469612956047,0.4774195306894306,-0.5680140413141506,0.4750386776468621,-0.6780165765408157,0.514421741301331,-0.3884285070717832,190.49181259540353,-3.571341120115221,9.918940713607463e-05
39,0.5671201944351196,-0.6794994473457336,0.084027275443077,0.4750206172466278,-0.6780502200126648,-0.0328223817050457,0.5710882544517517,-0.5664957761764526,0.0155084012076258,0.4774343967437744,-0.5681043267250061,-0.0160834956914186,0.5144333839416504,-0.3882500827312469,0.2239570021629333,0.4774343889027799,-0.5680851461745884,0.4749846394204848,-0.6780505176225504,0.5144047095812286,-0.3882963849790823,190.4325589013725,-3.555221641862545,4.2383797638441296e-05
40,0.5670836567878723,-0.6795092225074768,0.0847154110670089,0.4749171435832977,-0.6780630946159363,-0.0321199595928192,0.571071982383728,-0.56656414270401,0.015727462247014,0.4774366021156311,-0.5681512355804443,-0.0163005739450454,0.5144011378288269,-0.3882024884223938,0.2244771420955658,0.477447462430019,-0.5681533674469073,0.4749334054001836,-0.6780793231146506,0.5144030070252246,-0.3881724898077665,190.37679111260923,-3.3460673257957296,1.0285270144046382e-05
41,0.5670533776283264,-0.6795330047607422,0.0851496309041976,0.4748698472976684,-0.678105890750885,-0.0292691774666309,0.5710358619689941,-0.5666286945343018,0.0155112408101558,0.4774518013000488,-0.5682180523872375,-0.0160892326384782,0.5144060850143433,-0.3880777955055237,0.2229228317737579,0.4774606491286067,-0.5682165546745745,0.4748874384877684,-0.6781061074128722,0.5144282314137031,-0.3880707731422275,190.328162583186,-2.91771176539271,1.9545555384419684e-05
