Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
22,0.7096615433692932,-0.4692940413951874,-0.3925026655197143,0.6343058943748474,-0.6354399919509888,-0.4685606956481933,0.5005738735198975,-0.8128393292427063,-0.8097849488258362,0.770332396030426,-0.7172406315803528,-0.0653026178479194,45.07514329742372,0.7096529275359221,-0.4693028054867423,0.7703697964548168,-0.7172369057577451,0.5005749170333716,-0.8128627141949493,45.115917399186856,-1.2933347227658487,2.752457703127457e-05
23,0.7096502780914307,-0.4692689776420593,-0.3876266479492187,0.6343692541122437,-0.6354273557662964,-0.4644486606121063,0.5006006956100464,-0.8128328323364258,-0.8093957901000977,0.7703200578689575,-0.717238187789917,-0.0649967640638351,45.067692276989305,0.7096274598399511,-0.4692794888566008,0.7702980154134197,-0.717185068498567,0.5006201081009665,-0.8128388954557059,45.09612867453802,-1.1873234789300111,7.368737307866875e-06
24,0.7096203565597534,-0.4692620038986206,-0.3883759975433349,0.6344000697135925,-0.6354408860206604,-0.467589795589447,0.5006493926048279,-0.812825620174408,-0.8191298842430115,0.77022784948349,-0.7172523140907288,-0.0647722035646438,45.04343619504243,0.7095928073890113,-0.469258106126601,0.770234193077128,-0.7171235290546653,0.5006502547451079,-0.8128224937037695,45.079265272709264,-1.0118041097254604,3.7179135363464034e-06
25,0.7095048427581787,-0.4692376255989074,-0.4012086391448974,0.6344072818756104,-0.6354888081550598,-0.4845866560935974,0.5006899833679199,-0.8128241300582886,-0.8554572463035583,0.770206868648529,-0.7171298265457153,-0.0646090358495712,45.04858011163378,0.7095521718143427,-0.4692388196399062,0.7701779303725559,-0.7170515194019952,0.5006681415891342,-0.8128137944500743,45.06574561930329,-0.8111792043582966,1.1810052846909386e-05
26,0.7094963192939758,-0.4692085385322571,-0.4014776945114136,0.6344420909881592,-0.6355010867118835,-0.4861936271190643,0.5007157325744629,-0.8128210306167603,-0.8553804755210876,0.7702057361602783,-0.7168788313865662,-0.063980758190155,45.055955124788056,0.7095100482635043,-0.4692204091045215,0.7701337424854015,-0.7169756068655243,0.5006810403227513,-0.8128119759169634,45.05551028263547,-0.61412020006955,2.1144345008967538e-05
27,0.7094874382019043,-0.4691894948482513,-0.3993095755577087,0.6344587802886963,-0.6355460286140442,-0.482578694820404,0.5007532238960266,-0.8128119111061096,-0.8524327874183655,0.7701937556266785,-0.7168439626693726,-0.0630825832486152,45.04974322348784,0.7094705802697466,-0.469200432621308,0.7701138349548424,-0.7169061227354984,0.5007015397515574,-0.8128153348290209,45.04852215912881,-0.4192874103995336,2.5980320758630698e-05
28,0.7094202041625977,-0.4691739082336426,-0.401249349117279,0.634467601776123,-0.6355869174003601,-0.4847461879253387,0.5007849335670471,-0.8128098845481873,-0.8585927486419678,0.7701700925827026,-0.7167841196060181,-0.062209129333496,45.04856560696004,0.7094365134478956,-0.4691757204084097,0.7701383267839549,-0.7168513215905331,0.5007469934735396,-0.8128211617355788,45.045306335763144,-0.1929494019398703,2.8627708128248343e-05
29,0.7094045877456665,-0.4691677093505859,-0.4007234573364258,0.6344417929649353,-0.635649561882019,-0.4840229749679565,0.5008343458175659,-0.8128076195716858,-0.855516791343689,0.7701601982116699,-0.7168272137641907,-0.0614041164517402,45.03896139373808,0.7094089089804403,-0.4691433309679415,0.770231736674163,-0.7168130191014285,0.5008366171279095,-0.8128253668104978,45.04727075692788,0.1178652698841631,3.646191936998953e-05
30,0.7093913555145264,-0.4691276848316192,-0.3959926962852478,0.6344466209411621,-0.6357307434082031,-0.4778343439102173,0.500851571559906,-0.8128039836883545,-0.853247344493866,0.770302951335907,-0.7167748212814331,-0.0580540001392364,45.06725659970823,0.7093873180425391,-0.4691018074404497,0.770416198560074,-0.7167857952064349,0.5009861085190861,-0.8128222956460512,45.05664491796671,0.5624496623296693,5.977669987443711e-05
31,0.7093791961669922,-0.4690618216991424,-0.3937692940235138,0.6344450116157532,-0.635768473148346,-0.4734503626823425,0.5010636448860168,-0.8127914667129517,-0.8517193794250488,0.7706987857818604,-0.7167737483978271,-0.0561224445700645,45.12146259958155,0.7093702323329824,-0.4690521304907093,0.7707040450268721,-0.7167592769235943,0.5012013439704387,-0.8128052535257884,45.076068182284224,1.1653958590510172,0.00011091174622800179
