Frame #,Nose (X),Nose (Y),Nose (Z),Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
43,0.1758172661066055,-0.4939593374729156,-1.2061201333999634,0.2741465866565704,-0.4581722617149353,-0.7629805207252502,0.3073115348815918,-0.4849484264850616,-0.326369971036911,0.2183407992124557,-0.5078540444374084,0.1080747470259666,338.3215735948161,0.27228339417637,-0.460284769860269,0.1819040663630488,-0.4965083502022805,0.2142485988632558,-0.5075572877392628,342.2765802284494,15.9753214833745,0.4733065798919473
44,0.1804773360490799,-0.4954479932785034,-1.206961989402771,0.2731142342090606,-0.4595249593257904,-0.7486411333084106,0.2968325316905975,-0.4856399893760681,-0.3234991133213043,0.2148755341768264,-0.5097880363464355,0.0594192929565906,340.39952737844476,0.2756868481420518,-0.4601192917757024,0.1820909617170154,-0.4960083324624187,0.2196683231202694,-0.506676269298719,341.86562854589073,-24.657100953520512,0.165066836077574
45,0.1825797110795974,-0.4970274567604065,-1.2173861265182495,0.2725318074226379,-0.4602472484111786,-0.7497948408126831,0.2944730520248413,-0.4848363697528839,-0.3217055797576904,0.2052439898252487,-0.5088401436805725,0.0591586492955684,346.4035041761778,0.281409027999547,-0.4604033275663497,0.1835344595583517,-0.4949584157400499,0.2302913000617898,-0.505285911011823,340.38414548728446,-88.88898351637636,0.6564193141658377
46,0.1873692274093628,-0.4961381256580353,-1.2986180782318115,0.2820875942707062,-0.4607830643653869,-0.8021868467330933,0.3312344849109649,-0.4854193031787872,-0.3418731093406677,0.2373141497373581,-0.4997963607311249,0.0639495179057121,339.40161529894425,0.2891661260392728,-0.4610703106544992,0.1857097635733898,-0.4931294069444465,0.2448733516745926,-0.5034976455792027,337.6102810514234,-166.43186615166428,1.834043783377057
47,0.1916593164205551,-0.4928369522094726,-1.355908989906311,0.2931467294692993,-0.4615122377872467,-0.8193836212158203,0.3407920002937317,-0.48592609167099,-0.3247496783733368,0.2377488315105438,-0.5043965578079224,0.1683482527732849,339.4091873620746,0.2978930285213108,-0.4619527497521861,0.1880349806166308,-0.490544515730729,0.2606149787446408,-0.501614203455985,333.6917296320975,-235.11308515955193,2.9110322601859044
48,0.1962050348520279,-0.4878578186035156,-1.396348476409912,0.3201381862163543,-0.4643250405788421,-0.8595174551010132,0.4007570147514343,-0.4862221479415893,-0.4343426823616028,0.337961733341217,-0.4998616576194763,-0.173700600862503,254.1152317956206,0.3060048113928181,-0.4628435121961192,0.1901021870026744,-0.4875198241952821,0.2740265529170672,-0.5000167249366733,329.30419613106557,-263.2520100619172,2.7517357153587945
49,0.1886622607707977,-0.4826688170433044,-1.382872223854065,0.3195450901985168,-0.4643365442752838,-0.8632119297981262,0.3811148107051849,-0.4857281446456909,-0.4369737207889557,0.2922478318214416,-0.4938710033893585,-0.0600778385996818,320.71903093073115,0.3119725529063356,-0.4635697168736706,0.1918014852282709,-0.4845637692297496,0.2823831103458246,-0.4990119605027264,325.48928712511463,-228.89454035705623,1.3528076169422296
50,0.1879779398441314,-0.4769019782543182,-1.3753257989883425,0.3175041973590851,-0.4642763435840606,-0.8597221374511719,0.3735786378383636,-0.4858350753784179,-0.4030079245567322,0.2756279110908508,-0.4955877661705017,-0.0057254461571574,328.7814212653621,0.3148954930701489,-0.4640520382073183,0.1932597791169519,-0.4821692340987085,0.2848458989450259,-0.4986932526861602,323.0582873133891,-145.8599887035325,0.6815094682547819
51,0.1947014033794403,-0.478785902261734,-1.3730013370513916,0.3119749128818512,-0.4642739295959472,-0.8581992983818054,0.3638924956321716,-0.4889238178730011,-0.3974729478359222,0.2694285213947296,-0.5013078451156616,0.1451237052679062,326.0166989922859,0.3147359537499954,-0.4643240721316866,0.1946540072137019,-0.4806063230178496,0.2824720529572892,-0.4988878231748938,322.1352793886215,-55.380475486056184,2.006398648327792
52,0.1957862675189972,-0.4806998670101166,-1.3752193450927734,0.3079233467578888,-0.4641564786434173,-0.861569344997406,0.3605796098709106,-0.4889573454856872,-0.3291153907775879,0.2714335322380066,-0.5016748309135437,0.2200090587139129,322.59598780150316,0.3121468519717592,-0.464507763177272,0.1960562045600315,-0.479838846706108,0.2772956681222832,-0.4992473635500949,322.3271246386226,11.510715000066511,3.6929099821399327
53,0.1969323605298996,-0.4813857972621918,-1.3950804471969604,0.3063102066516876,-0.4641371369361877,-0.8740948438644409,0.3579968214035034,-0.4889355599880218,-0.3302212357521057,0.2685259878635406,-0.501159131526947,0.2185597717761993,324.5454092117811,0.3080906135470099,-0.4647641798899697,0.1974125554243878,-0.4796170978393498,0.2713020888246904,-0.4994383918324194,323.1314983912567,48.26242515804552,3.5946541734858655
54,0.2014949470758438,-0.4823038876056671,-1.36527681350708,0.3056764602661133,-0.4652335047721863,-0.8599279522895813,0.3579601347446441,-0.4891083836555481,-0.3336973786354065,0.2668300271034241,-0.4994193315505981,0.1996314078569412,327.9567791583996,0.303491470927941,-0.4652449948349506,0.1986343262969223,-0.4796886542653407,0.2658488895338799,-0.4993118274512578,324.15792698101757,61.585715385652975,2.036144282721695
55,0.2019213438034057,-0.4828708469867706,-1.3573815822601318,0.2983066737651825,-0.4663114845752716,-0.8543325662612915,0.3521934151649475,-0.4904115796089172,-0.335976779460907,0.2603648602962494,-0.4989873766899109,0.1895527839660644,329.0130805708684,0.2990254035287556,-0.4660614849900951,0.1997209890455309,-0.4800074161134087,0.2615519728431787,-0.498969548684038,325.1769435087857,61.14099166608867,0.6824937204853463
56,0.2018381953239441,-0.4832282364368438,-1.2567718029022217,0.2888354659080505,-0.4664733707904815,-0.802476167678833,0.3408470153808594,-0.4924954771995544,-0.3365772664546966,0.2577145993709564,-0.5012665390968323,0.1568832844495773,322.71231144190676,0.2950167283347591,-0.467273958754426,0.2008380878502476,-0.4808356818631163,0.2584353126123728,-0.4987291697206287,326.10738990663975,55.82678387124247,0.12149254335635076
57,0.2023231536149978,-0.4833700358867645,-1.3314502239227295,0.2901723086833954,-0.4712725579738617,-0.8494462966918945,0.3477021157741546,-0.4924948513507843,-0.3665835261344909,0.258906602859497,-0.4980184435844421,0.1482013463973999,327.2957879146544,0.2914055382290542,-0.4688935001131378,0.2022921774934057,-0.4826812824558051,0.2561861808402382,-0.4990188795033119,326.965502504093,51.486755847196264,0.009536338069622336
58,0.2022960484027862,-0.4828672111034393,-1.3217145204544067,0.2887121140956878,-0.4707584679126739,-0.8455057740211487,0.3461375832557678,-0.4934318959712982,-0.3627542555332184,0.2574074566364288,-0.4982223808765411,0.1470278352499008,326.7156089940936,0.2878277947495991,-0.470880350169043,0.2043917924871457,-0.4860643399893594,0.2544375111740872,-0.500219587041471,327.7829140795719,49.044694528734,0.008766541388729036
59,0.2022960484027862,-0.4828672111034393,-1.3217145204544067,0.2887121140956878,-0.4707584679126739,-0.8455057740211487,0.3461375832557678,-0.4934318959712982,-0.3627542555332184,0.2574074566364288,-0.4982223808765411,0.1470278352499008,326.7156089940936,0.2838500442177372,-0.4731191833698895,0.2072464869677577,-0.4911768295533097,0.2530103580164715,-0.5024810243933013,328.5378824830765,45.29810421027378,0.010454836766103055
60,0.2022960484027862,-0.4828672111034393,-1.3217145204544067,0.2887121140956878,-0.4707584679126739,-0.8455057740211487,0.3461375832557678,-0.4934318959712982,-0.3627542555332184,0.2574074566364288,-0.4982223808765411,0.1470278352499008,326.7156089940936,0.2792837303735165,-0.475375025372776,0.2106103166061617,-0.4975928334363678,0.2520224819340907,-0.5055903429913265,329.11700348350575,34.74726002575608,0.017698328865753926
61,0.2229411303997039,-0.5186059474945068,-1.0688098669052124,0.2710779309272766,-0.4807898700237274,-0.7231988906860352,0.3218235075473785,-0.5073991417884827,-0.3159109950065613,0.2417020201683044,-0.5178947448730469,0.1803596019744873,346.52167733005774,0.2743964721834054,-0.4772855431496801,0.2138998803453402,-0.5042553607697091,0.2517817443584279,-0.5090041564328825,329.2765047874432,9.57007823624508,0.08166504436835675
62,0.2229411303997039,-0.5186059474945068,-1.0688098669052124,0.2710779309272766,-0.4807898700237274,-0.7231988906860352,0.3218235075473785,-0.5073991417884827,-0.3159109950065613,0.2417020201683044,-0.5178947448730469,0.1803596019744873,346.52167733005774,0.2698648815054327,-0.4784491757834155,0.2164397239330227,-0.5098557702411459,0.2524940617188029,-0.5120805683861392,328.6724076550538,-36.2458279433622,0.34529726989927845
