Frame #,Nose (X),Nose (Y),Nose (Z),Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Shoulder (X)_smoothed_smoothed,Right_Shoulder (Y)_smoothed_smoothed,Nose (X)_smoothed_smoothed,Nose (Y)_smoothed_smoothed,Right_Pinky (X)_smoothed_smoothed,Right_Pinky (Y)_smoothed_smoothed,angles,velocity,roughness
1730,0.2699631452560425,-0.4894222319126129,-0.6294445991516113,0.3409648537635803,-0.4756561815738678,-0.5051592588424683,0.3712189197540283,-0.4571665227413177,-0.4058933854103088,0.30329230427742,-0.4490270316600799,-0.3203796148300171,0.3283936593287198,-0.4788165176306382,0.2610019032133361,-0.4915188673424264,0.3019170729316355,-0.4485780790525519,0.3261064551575282,-0.4748688225779314,0.2599409955101526,-0.4930396356890652,0.302402460082542,-0.4485283368827406,69.21140854636147,-233.5724973104703,0.46304314056315055
1731,0.253610759973526,-0.4880943894386291,-0.2253536432981491,0.3198356032371521,-0.487301617860794,-0.3110983967781067,0.3634865581989288,-0.4675397276878357,-0.2916891574859619,0.2977132797241211,-0.4485608637332916,-0.2259993702173233,0.3260608864157154,-0.4810962810186829,0.2571451568630238,-0.4894640052547629,0.3022013468233733,-0.44792574735897,0.3260882276608031,-0.4773598059542321,0.2588226600513011,-0.4916093835153441,0.3023220147788745,-0.4482873010732323,66.60500843699737,-156.38400656184615,1.3925597549438555
1732,0.2514561414718628,-0.4852474331855774,-0.0717310756444931,0.3130591511726379,-0.4865455627441406,-0.3060023486614227,0.3611049652099609,-0.4658802449703216,-0.17521333694458,0.2991065084934234,-0.4469274282455444,0.0238049700856208,0.3219212404563884,-0.4821702767896335,0.2513791635919,-0.4880125571893258,0.3029690007599815,-0.4470257551416693,0.3244214327790373,-0.4792839942883927,0.2558452614675407,-0.4901706529849367,0.3025808091713172,-0.4477826827006069,65.67743660350257,-55.65431000968772,3.265310516798021
1733,0.2423355430364608,-0.4851300120353699,-0.4144370853900909,0.3196489214897156,-0.4836873412132263,-0.4500890076160431,0.3791964948177337,-0.4652668237686157,-0.3246603012084961,0.3067886531352997,-0.4448199570178985,-0.0755752474069595,0.3165276090809473,-0.4819089415965107,0.2448413422920055,-0.4874739427669406,0.3040847030348906,-0.4460757067362511,0.3212639032998012,-0.4803339732116399,0.2514436937973266,-0.4890919688977381,0.3031823667167466,-0.4470998923148643,66.84667052287983,70.15403516263575,5.7544690164271755
1734,0.2344193756580352,-0.4858435690402984,-0.341990202665329,0.3107476532459259,-0.4819209277629852,-0.3933920562267303,0.3779473900794983,-0.4630897343158722,-0.265137255191803,0.3072095811367035,-0.4446288347244262,-0.0014876694185659,0.3104401336054518,-0.4806327405350472,0.2387256793301614,-0.4877742612900774,0.3052563049771632,-0.4452656249128661,0.3169343954220614,-0.4804534801410027,0.2463564880104605,-0.4885648858546738,0.3040119420209133,-0.4463661853540647,70.42579760723473,214.7476250612937,8.887646940000606
1735,0.2333260625600814,-0.4903160333633423,-0.2115011215209961,0.3042325675487518,-0.4744715392589569,-0.3695921003818512,0.3600222468376159,-0.4569344222545624,-0.2926672399044037,0.3071230053901672,-0.444562017917633,-0.1484836488962173,0.3041251446356689,-0.4789772147722374,0.2339350399590363,-0.4885219689032994,0.3061542469081432,-0.4447259069496787,0.3118106951075043,-0.4798629739934965,0.2413879087898907,-0.4885477190741241,0.3048688639758053,-0.4457100739923101,76.47192169970482,362.76744554820567,11.960893993036168
1736,0.2289074808359146,-0.4910369515419006,-0.1386438459157943,0.2958012223243713,-0.4745206832885742,-0.3338386118412018,0.3497041761875152,-0.4559414982795715,-0.2532940804958343,0.3044991791248321,-0.4445962309837341,-0.0363120101392269,0.2979625748137555,-0.4776115722636873,0.2308881365269849,-0.4892089177276001,0.3065266425542849,-0.4445138556856823,0.3062714469900048,-0.4789624133015726,0.2371879998847283,-0.4888121985355145,0.3055319754071973,-0.4452315866696589,84.62657463209212,489.2791759432376,13.284064878720551
1737,0.2316770106554031,-0.4962289035320282,-0.1973228305578231,0.2969780266284942,-0.4728714227676391,-0.3743942677974701,0.3501476645469665,-0.4556377828121185,-0.3477970659732818,0.3079407811164856,-0.4471065700054168,-0.3167091906070709,0.2922687568641789,-0.4769635451995988,0.2294978498992084,-0.4894668068176972,0.3062484453636058,-0.444636712325742,0.3006703709396744,-0.4781628660607829,0.2341119398905204,-0.4890740418483877,0.3058185633897607,-0.4449936369320921,94.02889716952028,564.1393522456897,11.21846137149097
1738,0.2277085334062576,-0.488392174243927,-0.0446140244603157,0.2865065932273865,-0.4790887534618377,-0.2627635598182678,0.3335211873054504,-0.4617065191268921,-0.1800088882446289,0.3017640113830566,-0.4428482353687286,0.018741263076663,0.2873054975413214,-0.4770909355036474,0.2292789111096226,-0.4892563024609456,0.3053268251628024,-0.4450825046596849,0.2953244215803332,-0.4777340938379285,0.2321787283781613,-0.489146946093411,0.3056218680989774,-0.4450291840231292,103.5061559559565,568.6355271861735,6.3256651086308855
1739,0.2280372828245163,-0.4886442422866821,0.0690694823861122,0.2786277532577514,-0.4805930554866791,-0.1705074906349182,0.3250376284122467,-0.4632349908351898,-0.1450249105691909,0.3121964335441589,-0.4461671710014343,-0.0341254957020282,0.2832602479284469,-0.4777490133703686,0.2295206644304089,-0.4888848940304465,0.3039057157448898,-0.4458296063107503,0.2904987521195787,-0.4777400616509044,0.2311155027990604,-0.4890421252682252,0.3049354071573423,-0.4453493529381776,112.02313080363024,511.0184908604242,1.9368297344175933
1740,0.2326268404722213,-0.4861254096031189,0.2241808325052261,0.2803833782672882,-0.480257123708725,-0.011581833474338,0.3203908801078796,-0.4647333920001983,-0.0162520799785852,0.2993022501468658,-0.4467221200466156,0.1176965460181236,0.2801990655638094,-0.4785817545939225,0.2294873684673304,-0.4888431035727063,0.3022650204495585,-0.4468358097122679,0.286378877497271,-0.4780767388281117,0.2304642490663684,-0.4889625165900176,0.3038672524742287,-0.4459439356478137,119.04357230275392,421.22648994742065,1.019210008878126
1741,0.2332564294338226,-0.4863335788249969,0.2252609431743621,0.2801348567008972,-0.4798584282398224,-0.0109416199848055,0.3232078850269317,-0.4647041857242584,-0.0373213179409503,0.2975145876407623,-0.4482727348804474,0.0437678955495357,0.2780483989871007,-0.4793027325120055,0.2286302649169883,-0.4895538863665324,0.3007653776246169,-0.4480305568630941,0.2830466860932029,-0.4785671363016693,0.2297306554066163,-0.4891990645006235,0.3026265025343838,-0.4467785841339259,124.58940507626797,332.749966410843,2.8495650828076897
1742,0.2293985933065414,-0.4889154434204101,0.127340942621231,0.2799242734909057,-0.4790067672729492,-0.0990071892738342,0.326213389635086,-0.463894635438919,-0.0674387514591217,0.2976937890052795,-0.4490814805030823,0.0841262191534042,0.2766474479449739,-0.4797737543587917,0.2267580393803696,-0.4911664068809979,0.299728776848098,-0.4493217063948235,0.2804869908339113,-0.4790497835245182,0.2285416089961176,-0.4899860014527732,0.3014674122598694,-0.447795833038285,129.05845836814774,268.14319751278646,4.239640106843732
1743,0.2208882570266723,-0.4940963089466095,0.3109674751758575,0.272065132856369,-0.4792723655700683,0.0249697919934988,0.3214756548404693,-0.4639186561107635,-0.1050812304019928,0.3030075430870056,-0.4504732489585876,-0.2383141368627548,0.2758225096126636,-0.4799810238216478,0.2240715550385477,-0.4934881781950057,0.299333150003546,-0.4506094677437816,0.2786211983454122,-0.47942227964337,0.2267535874130897,-0.4913868721496662,0.30061370735734,-0.4489212869204838,132.94816526649575,233.38241390088055,3.57939879566244
1744,0.2184184193611145,-0.49896040558815,0.047674287110567,0.2745259702205658,-0.4791708290576935,-0.1559664905071258,0.3220331370830536,-0.4637649655342102,-0.1546508371829986,0.3008644878864288,-0.4526371955871582,-0.1209344342350959,0.2754123496165148,-0.479965701714554,0.2210255609971328,-0.4960757118723039,0.2995898940311068,-0.4518011063713278,0.2773376588538532,-0.4796396484718436,0.224462376846707,-0.4932624080387214,0.3002041820268468,-0.4500732147008215,136.63515333330452,221.21928400852596,1.8971668699175028
1745,0.2158778458833694,-0.4999081492424011,0.0226540733128786,0.2762373685836792,-0.4795347154140472,-0.1742807030677795,0.3240056037902832,-0.4649929702281952,-0.1682952940464019,0.297040045261383,-0.4528328776359558,-0.1114036291837692,0.2752552017139869,-0.4797659255388849,0.218103398370861,-0.4984216010246362,0.3003678863028811,-0.4528239242315395,0.2765046759979067,-0.4796901592986601,0.2219187854563687,-0.4953260852330874,0.3002696637372606,-0.4511734985131089,140.29750950614925,219.7413703706843,0.6298206612225988
1746,0.2163313180208206,-0.5003507137298584,0.030707323923707,0.2768117189407348,-0.4795230329036712,-0.1719376593828201,0.3256810903549194,-0.4662394225597381,-0.1691500842571258,0.2988678514957428,-0.4526058137416839,-0.0923880860209465,0.2751982199278486,-0.4793986646552298,0.2156445800983916,-0.5001312865942796,0.3013973578198346,-0.4536304953794453,0.2759820935698835,-0.4795735614412881,0.2194091033131779,-0.4972481657775644,0.3007207413702903,-0.4521562972596436,143.9424688983353,218.69756353116315,0.12162598319132557
1747,0.2153200656175613,-0.500798225402832,0.1187506094574928,0.2759989202022552,-0.4798015356063843,-0.0891631469130516,0.3280371129512787,-0.468003898859024,-0.1105685234069824,0.3023705780506134,-0.454533964395523,-0.0255236495286226,0.2751387799455732,-0.4788796686693961,0.213798467961648,-0.5010133505459305,0.3022735906251437,-0.4541947178925256,0.2756447681201593,-0.4792960043325313,0.217164849172566,-0.4987542396849109,0.3013418810722317,-0.4529716655127965,147.4507746302618,210.49834391558989,0.01875801971235644
1748,0.2126851230859756,-0.5013267993927002,0.1892779320478439,0.2734675407409668,-0.4799652993679046,-0.0692216381430625,0.3279281556606293,-0.4676203429698944,-0.1230522990226745,0.3034048676490783,-0.454548180103302,-0.1060295775532722,0.2750482918606363,-0.4782580798665849,0.2125727122886484,-0.5010796204802951,0.3025358260803846,-0.4545097878725688,0.27540617761635,-0.4788808345461527,0.215327994418999,-0.4996843920030645,0.3018194590754929,-0.4535869144567055,150.6063956151186,189.33725909140776,0.04899895299549505
