Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
56,0.6440654993057251,-0.5193673372268677,-0.0933617055416107,0.5951690077781677,-0.6604232788085938,-0.0405442006886005,0.4581281244754791,-0.7988635897636414,-0.2782880663871765,0.6814972758293152,-0.7430219650268555,-0.0303816366940736,0.6440472986694554,-0.5193242203819466,0.6815139466684398,-0.743140196563082,0.458684353168984,-0.7992043296471374,43.71256331586201,-27.725092731376435,0.0012381440564768825
57,0.6440327763557434,-0.5191448926925659,-0.122800700366497,0.5951401591300964,-0.6604293584823608,-0.0708776414394378,0.4615041613578796,-0.7997689843177795,-0.3095768094062805,0.6814458966255188,-0.7432336807250977,-0.0305490493774414,0.6439687743933078,-0.5192318797560765,0.6814996228053647,-0.7432948352816574,0.4620162226050111,-0.7993156079476235,43.23476303467498,-28.668016871222193,0.0012463927394603743
58,0.6440205574035645,-0.519035279750824,-0.1387634128332138,0.5956438779830933,-0.6604356169700623,-0.0933565497398376,0.4649683237075805,-0.7998504042625427,-0.3400012850761413,0.6814968585968018,-0.7432472109794617,-0.0308529324829578,0.643916023258526,-0.5190657751177503,0.6815064451884331,-0.7433347992804679,0.4651912814913289,-0.7994466179490336,42.7528428520008,-28.915210960450395,0.0008169346796819529
59,0.6439397931098938,-0.5189604163169861,-0.1282341033220291,0.5958079099655151,-0.6609790325164795,-0.0728877633810043,0.4674451649188995,-0.7998718023300171,-0.299756795167923,0.6814593076705933,-0.7433197498321533,-0.0309943053871393,0.643886716221129,-0.5188130327307294,0.6815505750575883,-0.7432699507697669,0.4680814239442658,-0.7996143222538451,42.28191609519952,-28.255605408077,0.00028940036119825163
60,0.6437644362449646,-0.5187401175498962,-0.0395285710692405,0.5958390235900879,-0.6611907482147217,0.0200403686612844,0.4706789553165436,-0.8000131845474243,-0.2219069153070449,0.681546688079834,-0.743335485458374,-0.030917651951313,0.6438770257049048,-0.5184802753892376,0.6816401971982287,-0.7431189194374109,0.4705501453745802,-0.7998619378492277,41.83915161505354,-26.56586880875892,0.00024153671597619726
61,0.6437664031982422,-0.5181336998939514,-0.0208762530237436,0.5964466333389282,-0.6599573493003845,0.0334181897342205,0.4733280539512634,-0.7999898195266724,-0.2057217061519622,0.6818058490753174,-0.7429543137550354,-0.0307503025978803,0.643877449232605,-0.518097421868716,0.6817740040929025,-0.7429116807028548,0.4724892828944047,-0.8002450449831906,41.44130321566733,-23.87090396317234,0.0012278566670828215
62,0.6437628865242004,-0.5176109075546265,-0.0092086158692836,0.5969136357307434,-0.6592258810997009,0.0424878820776939,0.4751658737659454,-0.8001443147659302,-0.1930953413248062,0.6820050477981567,-0.7427406311035156,-0.0307607799768447,0.6438679605051429,-0.5177143989797953,0.6819437495338309,-0.742688894559977,0.473869213002496,-0.8008016156565204,41.10139533488232,-20.394472847100783,0.0034071563573065842
63,0.6437590718269348,-0.5172352194786072,-0.0071377330459654,0.5973264575004578,-0.6577656269073486,0.0560464933514595,0.4752170145511627,-0.8004505038261414,-0.1724521517753601,0.6822395920753479,-0.7422707080841064,-0.0300580617040395,0.6438168297290577,-0.5173897270961076,0.682139632154132,-0.7424951055463692,0.474774945529011,-0.801520958883619,40.825579600299385,-16.548944074976077,0.006209675659004812
64,0.6436998844146729,-0.5171845555305481,-0.0529711283743381,0.5973808169364929,-0.6578012108802795,0.0202785301953554,0.4747819602489471,-0.8029841780662537,-0.1797061413526535,0.6823878288269043,-0.7422718405723572,-0.0299815740436315,0.6436857924923144,-0.5171755679292376,0.682355409824882,-0.7423676523124831,0.4753996788484066,-0.802332101444664,40.61168149761538,-12.83388616104034,0.008437774193698839
65,0.6435965299606323,-0.5170763731002808,-0.073781780898571,0.5974835157394409,-0.6578118801116943,-0.0011463752016425,0.4753808379173279,-0.8037332892417908,-0.1930103898048401,0.6825865507125854,-0.7423302531242371,-0.0299886800348758,0.6434411208825175,-0.517105257197574,0.6825902882077866,-0.7423266524472596,0.4759901505240921,-0.8031243446301205,40.4501800466559,-9.690087057568633,0.008970437296970935
