Frame #,hand X,hand Y,body X,body Y,shoulder X,shoulder Y,shoulder X_smoothed,shoulder Y_smoothed,body X_smoothed,body Y_smoothed,hand X_smoothed,hand Y_smoothed,velocity,roughness,angles
14,363.8977355957031,1351.102294921875,384.8209533691406,1842.2803955078125,213.2337951660156,1180.0462646484375,213.4508878829828,1180.0271460099573,384.7576389090736,1842.2323081150664,363.9430818594324,1351.2021548929922,-2.5318586746168847,0.0006000381822103371,26.880349388018697
15,363.815673828125,1351.184326171875,385.4041137695313,1842.197509765625,213.3600921630859,1180.214111328125,213.33817762909905,1180.269658920883,385.2667952508682,1842.3114426581064,363.90108971563905,1351.3167159446507,-1.9814031052109728,0.0001771583752627703,26.847326002931847
16,363.8619384765625,1351.61279296875,385.6393737792969,1842.3250732421875,213.1012725830078,1180.6265869140625,213.14042777541928,1180.5625399521289,385.6267347633388,1842.443096185625,363.85431150406464,1351.4358545119862,-0.9787377865883684,0.00011054205453995255,26.831013706488708
17,364.0,1351.5,385.8558654785156,1842.5980224609375,213.2511749267578,1180.9718017578125,212.86675114430457,1180.8743236013609,385.7919722875674,1842.650827677824,363.7919767620753,1351.543750552583,0.2767875285952925,0.0003943946533391728,26.835626831965296
18,363.6825256347656,1351.6824951171875,385.6317443847656,1842.9166259765625,212.49217224121097,1181.317626953125,212.5332955519212,1181.176056181404,385.7455938771774,1842.9420561232696,363.7037995203025,1351.6277130776414,1.5820980833827747,0.0007801344825493773,26.86199513335501
19,363.5255126953125,1351.6727294921875,385.6978759765625,1843.2552490234375,211.97183227539065,1181.251220703125,212.162776272572,1181.448946459595,385.4991102940053,1843.30854389884,363.58464686700415,1351.6825000643069,2.7642211826897523,0.0010105110576163207,26.90806548639984
20,363.4272766113281,1351.8575439453125,385.0946044921875,1843.983154296875,211.6443023681641,1181.8948974609375,211.77798470034455,1181.6876148410397,385.090140728192,1843.7314827206003,363.43563659514774,1351.7125286032865,3.699543994266392,0.0009776740424627523,26.969724552970945
21,363.32073974609375,1351.767333984375,384.7093811035156,1844.2052001953125,211.32366943359375,1182.065185546875,211.39412720577215,1181.89973536119,384.5777025663891,1844.1882212510784,363.2631455013969,1351.7315811899791,4.321729090763213,0.0007366988902293207,27.04175337115033
22,363.1551208496094,1351.6898193359375,383.8230590820313,1844.52734375,211.2511749267578,1181.9718017578125,211.01629599204745,1182.1023955705482,384.0336063096675,1844.656797868806,363.0777570814793,1351.7591453445891,4.621437646075464,0.0004264013235624463,27.118777331918256
23,362.8448791503906,1351.6898193359375,383.5724182128906,1844.9908447265625,210.53488159179688,1182.1026611328125,210.64300669604128,1182.3142047246472,383.53007831946576,1845.1164951832504,362.89284881697154,1351.8131812448494,4.633780180261624,0.00017419883850480617,27.196007001589283
