Frame #,Hand Pink X,Hand Pink Y,Head Pink X,Head Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Head Pink X_smoothed,Head Pink Y_smoothed,angles,velocity,roughness
11.0,939.5718994,952.7681885,268.5287476,1013.555542,683.5119019,990.4008179,275.7986755,1357.135254,267.044736640905,1374.5586488608342,939.4651120429994,952.6531626393262,268.16671747114754,1013.5757954341186,68.32973968835326,-424.55005368745674,41.49873614267777
12.0,939.6942749,952.9378052,268.8030396,1013.469727,683.7169189,990.0913086,275.7986755,1357.135254,266.3618540612871,1377.393971123441,939.4310204869048,952.8097452825584,268.2735032106554,1013.6866836084516,63.97959738909265,-261.00853795563626,39.111775677503196
13.0,939.1296387,953.1397095,268.1290894,1013.967224,683.6274414,989.9215698,275.7986755,1357.135254,267.1402072458815,1376.452280295874,939.4514919053058,952.9855358334852,268.40535454175046,1013.7742504522998,61.4256215340344,-153.23855130349529,26.10426521341401
14.0,938.8666382,953.2770386,268.1566162,1013.929749,683.5908813,990.4886475,275.7986755,1357.135254,267.2970606795793,1376.1443927256491,939.5338290080556,953.1506814789556,268.52460685371705,1013.8281890498338,59.905938140018165,-91.181003640974,13.94887257489622
15.0,939.7832642,953.279541,268.8343201,1013.864258,683.5908813,990.4886475,275.7986755,1357.135254,266.73630520299486,1376.790288898398,939.6636472373513,953.2915946107944,268.6009923659137,1013.846268638084,58.95231175234502,-57.21758326038881,6.147708613228067
16.0,940.3143921,953.3048706,268.8609314,1013.842529,413.9230652,1075.0,275.7986755,1357.135254,267.37879888585,1374.5228361038369,939.8085793602716,953.4070278689904,268.61431771624433,1013.8362469433704,58.469976069974365,-28.940140942239196,2.3637578964446124
17.0,940.3143921,953.3048706,268.8609314,1013.842529,684.1733398,989.8066406,275.7986755,1357.135254,272.5396560474613,1362.619463008711,939.935249447898,953.4985768338536,268.5603001106971,1013.8131455679004,58.73993453052607,16.19750763310236,1.1390863700396858
18.0,939.7612305,953.593811,268.027771,1013.625,684.1733398,989.8066406,275.7986755,1357.135254,285.71002125336867,1334.1106351919743,940.0258773640768,953.5611292125958,268.4527597309857,1013.7930818148508,60.40460570587537,99.88027052095788,1.5217504109987963
19.0,939.7612305,953.593811,268.027771,1013.625,684.0384521,989.8140869,275.7986755,1357.135254,308.9620073637754,1285.1509098160866,940.0815109527932,953.5780270202227,268.3168477193877,1013.7865492107684,64.56367340024684,249.54406166228836,4.23625080642642
20.0,940.3604736,953.3269653,268.7320251,1013.864929,684.0714111,990.0,275.7986755,1357.135254,341.5407693716598,1217.908654434922,940.1139908026216,953.5220681478298,268.17852290539753,1013.7946736858888,73.11362870814486,512.997318473881,13.341913917960827
21.0,940.2003174,953.5706787,267.6405334,1013.917236,683.9066772,989.8066406,448.3236694,997.7729492,379.530728339725,1141.0717359897255,940.1375783353188,953.3607449919244,268.0583943396128,1013.8110716002656,88.94975824942067,950.1677724765486,39.55579051316251
22.0,939.9926758,953.2349243,268.0874939,1013.914612,683.9066772,989.8066406,448.2787781,998.2788086,417.08223011310287,1066.9470894423805,940.164929612083,953.063782642934,267.97049832981907,1013.8281701548132,112.61376192601412,1419.8402205956072,80.86523079539646
23.0,940.2088013,952.5526123,268.0,1013.934143,683.9066772,989.8066406,448.2787781,998.2788086,448.4025142211911,1006.8813292338951,940.2044474635452,952.6101411999324,267.9222563932585,1013.8432868973332,137.93300076240203,1519.1543301832746,85.02527398829875
24.0,940.2003174,951.77948,267.8053894,1013.680176,685.09375,989.526062,448.2787781,998.2788086,469.0085407963694,968.2984700460004,940.2574560939617,951.991005693566,267.91455311605154,1013.8603539726132,159.07342557728157,1268.425488892772,46.358142478918644
