Frame #,body X,body Y,hand X,hand Y,shoulder X,shoulder Y,shoulder X_smoothed,shoulder Y_smoothed,body X_smoothed,body Y_smoothed,hand X_smoothed,hand Y_smoothed,velocity,roughness,angles
32,362.9130554199219,1357.5,367.4069213867187,1866.5064697265625,203.5,1191.5,203.43929027616232,1191.6855834451997,362.8062367006158,1357.4170782347933,367.3334353599361,1866.712085924264,0.4652783257392912,9.763544511854346e-05,329.75706506347194
33,362.75390625,1357.313232421875,367.3757019042969,1867.189208984375,203.5,1191.5,203.46152264768068,1191.722250812532,362.78358464639246,1357.4143297449743,367.2962014393649,1866.7662242229708,0.186719943509388,2.9083161575553378e-05,329.76017706253043
34,362.8117980957031,1357.3447265625,367.265380859375,1866.977294921875,203.5,1191.5,203.4610188887613,1191.8246556215574,362.7825093632708,1357.436672109358,367.28389702874784,1866.847103749181,-0.2302074001420351,2.292364065446756e-05,329.75634027252806
35,362.74761962890625,1357.57861328125,367.265380859375,1866.977294921875,203.3763427734375,1192.3311767578125,203.4432343156092,1191.9650835252032,362.8040722720859,1357.48651056117,367.29558442400673,1866.9475629000256,-0.6083343212696946,6.1356076284987e-05,329.74620136717357
36,362.7816162109375,1357.59765625,367.4553527832031,1867.0535888671875,203.3763427734375,1192.3311767578125,203.41710882265747,1192.1042987269525,362.8449221887272,1357.559992727572,367.3316743354617,1867.0690977413135,-0.7986514398953659,7.764838045840728e-05,329.732890509842
37,362.75390625,1357.313232421875,367.26031494140625,1867.04443359375,203.3763427734375,1192.3311767578125,203.3910690066753,1192.2097931231456,362.89510543456066,1357.6468075367352,367.3913918893315,1867.216338433558,-0.7397183474711255,4.747013669002572e-05,329.72056187071746
38,363.0,1358.0,367.26031494140625,1867.04443359375,203.3640594482422,1192.314453125,203.37040433259372,1192.268021644936,362.93881359860467,1357.731429926568,367.4696212467611,1867.3876749953968,-0.4741179902669046,1.4389408149777643e-05,329.712659904213
39,363.1350708007813,1357.736328125,367.6883544921875,1867.7940673828125,203.3600921630859,1192.1654052734375,203.3567636243068,1192.2850609354814,362.9592990241721,1357.7966842155229,367.55504428549233,1867.5694995970232,-0.1177570302968433,2.040204583112368e-05,329.7106972870414
40,363.0,1358.0,367.6883544921875,1867.7940673828125,203.3600921630859,1192.1654052734375,203.34921972464025,1192.2783625710035,362.946210460492,1357.8294359594695,367.6321029803979,1867.738812778931,0.1973202346289326,4.967900949243223e-05,329.71398595761855
41,362.9720458984375,1357.752685546875,367.8390808105469,1868.0660400390625,203.3600921630859,1192.1654052734375,203.34595777137048,1192.2662667115058,362.90092850582846,1357.8254234672638,367.6864336835074,1867.872434427468,0.3754330216941071,5.9066346264464774e-05,329.7202431746468
42,362.7688903808594,1357.9000244140625,367.6639709472656,1867.951171875,203.3640594482422,1192.314453125,203.34583593293476,1192.26103114487,362.83638387894376,1357.790454281023,367.7096214849497,1867.9558834719917,0.3826650425378375,3.739858384673096e-05,329.72662092535575
43,362.6855773925781,1357.635986328125,367.5770263671875,1867.8487548828125,203.3640594482422,1192.314453125,203.3492981501564,1192.2675077230683,362.7715640656827,1357.737779414196,367.69968216820416,1867.9863972410744,0.2412652843281648,1.1498397073054425e-05,329.7306420134279
44,362.6855773925781,1357.635986328125,367.6639709472656,1867.951171875,203.3640594482422,1192.314453125,203.35831368952725,1192.2856680568475,362.7239274441201,1357.683119187558,367.6579286932168,1867.9703152257032,0.0049763441700179,6.649593664722411e-06,329.7307249524974
45,362.6855773925781,1357.635986328125,367.6639709472656,1867.951171875,203.3640594482422,1192.314453125,203.37526977056163,1192.3135576310003,362.7033733217601,1357.6393945903694,367.58569387933215,1867.9190289530768,-0.2672393975819886,2.141456365142997e-05,329.7262709625377
46,362.6760559082031,1357.5704345703125,367.3964538574219,1867.8509521484375,203.3640594482422,1192.314453125,203.4011038998537,1192.348572993067,362.70970353693536,1357.6131393093135,367.4830440607401,1867.8469285611964,-0.5278405962872057,3.813723001862969e-05,329.71747361926623
47,362.6760559082031,1357.5704345703125,367.2422180175781,1867.916015625,203.3640594482422,1192.314453125,203.43343619120077,1192.3872852388165,362.7335163363177,1357.6035302324583,367.3490135094597,1867.7712686868324,-0.7473322320902298,4.3802785674196185e-05,329.7050180820647
48,362.8345642089844,1357.639892578125,367.3186340332031,1867.7891845703125,203.5,1192.5,203.46584188052557,1192.4253686677832,362.75979400053853,1357.6038648046242,367.1829323822826,1867.7114086525276,-0.9149806363768676,3.770021035144033e-05,329.6897684047918
49,362.8345642089844,1357.639892578125,367.1253967285156,1867.3516845703125,203.5,1192.5,203.48910608560672,1192.4587682073516,362.77338265854627,1357.604844612106,366.9872768757592,1867.684976025652,-1.0353295810773488,2.623701033910615e-05,329.6725129117738
50,362.8345642089844,1357.639892578125,366.6449279785156,1867.702880859375,203.5,1192.5,203.49415077670648,1192.4855174658849,362.7647552064677,1357.598539095533,366.77077903246783,1867.7013268263504,-1.121136477629534,1.559338970367945e-05,329.65382730381333
51,362.8345642089844,1357.639892578125,366.6449279785156,1867.702880859375,203.5,1192.5,203.4753945942462,1192.5065034390227,362.7335957768637,1357.5814116826955,366.54908509857137,1867.756489108653,-1.184162384757883,8.396220301355196e-06,329.63409126406737
52,362.5684814453125,1357.4931640625,366.30718994140625,1867.9803466796875,203.5,1192.5,203.4334315080888,1192.52431689205,362.68826592466235,1357.5550992389085,366.3422099974691,1867.8337291693665,-1.2245966992384183,4.2632264526807095e-06,329.61368131908006
53,362.5684814453125,1357.4931640625,366.0960998535156,1868.0059814453125,203.5,1192.5,203.3761700490917,1192.5409275943089,362.6412370231343,1357.5248266376564,366.17032623570105,1867.9090413940733,-1.2219381059867374,1.7786815035737358e-06,329.5933156839803
54,362.5684814453125,1357.4931640625,366.0178527832031,1867.84228515625,203.15774536132812,1192.5,203.3173117169377,1192.5556617109987,362.60306301792485,1357.4967462623697,366.0495632306842,1867.9569965601556,-1.1352607851233645,6.387636629992876e-07,329.5743946708949
55,362.5684814453125,1357.4931640625,366.0178527832031,1867.84228515625,203.15774536132812,1192.5,203.2718495934274,1192.5649072043625,362.578365098989,1357.4759335305716,365.9891653622571,1867.9536970749216,-0.9188810460625518,4.492420267670062e-06,329.55907998679385
56,362.5684814453125,1357.4931640625,366.0178527832031,1867.84228515625,203.3600921630859,1192.8345947265625,203.25079059920523,1192.5643631817995,362.5655244585005,1357.465668398716,365.9908117081305,1867.8780930857256,-0.5487838546105195,2.275574352108265e-05,329.549933589217
57,362.6351318359375,1357.380615234375,366.14642333984375,1867.7071533203125,203.24099731445312,1192.5,203.25821089441288,1192.5528007672858,362.559264194353,1357.4673322651097,366.04931509581553,1867.7155442113144,-0.0467872928129509,6.470197969399023e-05,329.54915380100346
58,362.6041564941406,1357.576416015625,365.9910583496094,1867.7440185546875,203.24099731445312,1192.5,203.29111165113997,1192.5342949771816,362.5540820426614,1357.4802728167183,366.1527984301384,1867.4655344999048,0.5105960009734645,0.0001237539016881888,329.557663734353
59,362.5,1357.5,365.9910583496094,1867.7440185546875,203.24099731445312,1192.5,203.3404720505044,1192.5168777816823,362.54647981800696,1357.5016339460876,366.2818095715473,1867.1503757724015,1.0054679569168457,0.0001680117163682421,329.57442153363496
60,362.5,1357.47216796875,366.6495666503906,1866.320556640625,203.5,1192.5,203.3932327184707,1192.508922845885,362.53495115890337,1357.5260016293769,366.4101341328598,1866.8171398944437,1.312366105929641,0.00015973610182869806,329.5962943020671
61,362.5,1357.47216796875,366.6495666503906,1866.320556640625,203.5,1192.5,203.43605164989003,1192.5158173206516,362.51853146418966,1357.5445975234056,366.51075399542526,1866.5268401161732,1.3418391555296694,9.694997326222148e-05,329.6186582879926
