Frame #,Right_Knee (X),Right_Knee (Y),Right_Knee (Z),Left_Knee (X),Left_Knee (Y),Left_Knee (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Left_Hip (X),Left_Hip (Y),Left_Hip (Z),Nose (X),Nose (Y),Nose (Z),Left_Hip (X)_smoothed,Left_Hip (Y)_smoothed,Left_Knee (X)_smoothed,Left_Knee (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,Left_Hip (X)_smoothed_smoothed,Left_Hip (Y)_smoothed_smoothed,Left_Knee (X)_smoothed_smoothed,Left_Knee (Y)_smoothed_smoothed,Nose (X)_smoothed_smoothed,Nose (Y)_smoothed_smoothed,angles,velocity,roughness
21,0.5701468586921692,-0.678626298904419,0.1019781678915023,0.476647675037384,-0.6778661012649536,-0.0173058900982141,0.5742836594581604,-0.5684532523155212,0.0101014003157615,0.4792608618736267,-0.570356011390686,-0.0106048062443733,0.5177643299102783,-0.3889294862747192,0.1677378267049789,0.4792791218663861,-0.5703561211798575,0.4766653778059642,-0.6778263474135992,0.5178114334272673,-0.3889250380187683,0.4793744088190553,-0.5703618868610582,0.4767296303101749,-0.6778511686587563,0.5175336921036285,-0.3889750313564418,190.3870145296183,3.3547115493189494,0.0003548748245960484
22,0.5701233744621277,-0.6786240339279175,0.0992261543869972,0.4766246080398559,-0.6778606176376343,-0.0201990567147731,0.5741043090820312,-0.5684277415275574,0.010208616964519,0.4791305959224701,-0.5703541040420532,-0.0107118403539061,0.517934262752533,-0.3889308869838714,0.1635033339262008,0.4791700095454522,-0.5703534497753247,0.4766508775305267,-0.6777610054372976,0.5180036744703139,-0.3889299532115809,0.4792925767079236,-0.5703583438988797,0.4766980841019205,-0.6778151072098169,0.517721389049663,-0.3889567853162134,190.46333504341445,4.579230827768015,0.0006458534537444939
23,0.5701220035552979,-0.6786152124404907,0.1024174839258194,0.4766520261764526,-0.6775997877120972,-0.0150020578876137,0.5740301609039307,-0.5684159398078918,0.009987374767661,0.4790451526641845,-0.5703489780426025,-0.0104881888255476,0.5181713700294495,-0.388943076133728,0.1753884702920913,0.4790531960497066,-0.5703532129535553,0.476643930258626,-0.6776939576832254,0.5181793813187985,-0.3889385832198245,0.4791967685502829,-0.5703561026200142,0.4766763829544575,-0.6777666485456838,0.5179042557038978,-0.3889494069637709,190.55824540713104,5.6946218229956,0.0008511330854488458
24,0.5701010227203369,-0.6786173582077026,0.107229858636856,0.4766289591789245,-0.6775914430618286,-0.0135503951460123,0.5739871263504028,-0.5684277415275574,0.0100191868841648,0.4789150655269623,-0.5703607201576233,-0.0105193378403782,0.5184282660484314,-0.3889524042606354,0.194460317492485,0.4789347752548311,-0.5703557227343814,0.4766360496980983,-0.6776398367265136,0.518325058737567,-0.3889454833827685,0.4790919408443199,-0.5703558061849534,0.476660224727066,-0.6777159231564285,0.5180723254498234,-0.3889478327972062,190.66678980946983,6.512664140327615,0.0008320486911904314
25,0.5700993537902832,-0.678643524646759,0.1089381799101829,0.4766237735748291,-0.6775924563407898,-0.0109531357884407,0.5739151239395142,-0.5684309005737305,0.0100516080856323,0.4788427948951721,-0.5703670978546143,-0.010549884289503,0.518477201461792,-0.3889540433883667,0.1973655968904495,0.4788193483510689,-0.570360969461544,0.4766182225824594,-0.6776099815443787,0.5184304188168691,-0.3889478874433342,0.4789828963482965,-0.5703577939030989,0.4766434143155213,-0.677673545058647,0.5182154285518674,-0.3889479019495064,190.7817802639053,6.899427266127418,0.0005853918013242822
26,0.5700981616973877,-0.6786529421806335,0.1088365018367767,0.4766191840171814,-0.677603006362915,-0.0114850308746099,0.573750376701355,-0.5684258341789246,0.0100820092484354,0.4787556827068329,-0.570368230342865,-0.0105819785967469,0.5184861421585083,-0.388950377702713,0.2016732692718505,0.4787105056572175,-0.5703686234460904,0.4765832720561574,-0.677609359567302,0.5184918823722583,-0.3889459357725723,0.4788739472773218,-0.5703621075339131,0.4766193590663007,-0.6776478694062196,0.5183259794326213,-0.3889471772031949,190.895114176909,6.800034780222859,0.0002622538446572652
27,0.5700742602348328,-0.6786556243896484,0.1100374609231948,0.4765506386756897,-0.6776154041290283,-0.0105678793042898,0.5735512971878052,-0.5684162974357605,0.0100924083963036,0.4786092042922973,-0.5703684687614441,-0.010591291822493,0.5184925198554993,-0.3889515995979309,0.2091396600008011,0.4786114838840448,-0.5703778949597407,0.4765280732569055,-0.6776359179822637,0.5185135779781602,-0.3889424988727703,0.4787689750224817,-0.5703684421047625,0.4765828520249845,-0.6776430878089484,0.5184010537843198,-0.3889453572487069,190.99918444581508,6.244216134364251,6.52373318669911e-05
28,0.5699438452720642,-0.6786573529243469,0.1120164766907692,0.4765017032623291,-0.6776828169822693,-0.0107464892789721,0.5733146071434021,-0.568415105342865,0.0101418485864996,0.4784567952156067,-0.570375382900238,-0.0106385303661227,0.5185033082962036,-0.3889515995979309,0.2148564010858535,0.4785250216556987,-0.5703872784143815,0.4764548889170968,-0.6776820052602462,0.5185058095870828,-0.3889425477333328,0.4786714061282849,-0.5703760110635308,0.4765316749856042,-0.6776586542988435,0.5184430165143329,-0.3889442640065023,191.08815982383504,5.338522681198015,0.00010866217123038173
29,0.5699353814125061,-0.678693950176239,0.1116860657930374,0.4763462841510772,-0.6777771711349487,-0.0108787585049867,0.5732958912849426,-0.5684244632720947,0.0104253161698579,0.4784501791000366,-0.5703886151313782,-0.0109224095940589,0.5184795260429382,-0.3889530003070831,0.213670864701271,0.4784524111828407,-0.5703944245189837,0.4763711027990228,-0.6777370130755113,0.5184825071407348,-0.388952031175285,0.4785838165717821,-0.5703834088103895,0.4764674523956644,-0.6776899977568135,0.5184588692427057,-0.388947381056624,191.15898850562436,4.249720907359347,0.00034485251918830784
30,0.5699357986450195,-0.6787313222885132,0.1075804457068443,0.4762725234031677,-0.677815854549408,-0.0131453368812799,0.573213517665863,-0.5684299468994141,0.0104513010010123,0.4784069359302521,-0.5703983902931213,-0.010948471724987,0.5184668302536011,-0.3889780640602112,0.2078174203634262,0.4783928672695046,-0.570396440736767,0.4762871235118368,-0.6777904660757346,0.5184588781763388,-0.3889762402640076,0.4785074405866458,-0.5703886432614113,0.4763953242242212,-0.6777301852862295,0.5184589104757847,-0.3889589207935843,191.21191387325143,3.175522057624107,0.0006016567313391917
