Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Neck Green X,Neck Green Y,Back Orange X_smoothed,Back Orange Y_smoothed,Neck Green X_smoothed,Neck Green Y_smoothed,Leg Pink X_smoothed,Leg Pink Y_smoothed,angles,velocity,roughness
11.0,381.5,1221.5,442.5857239,1692.223755,432.6666565,1057.116699,531.6825562,1231.682495,536.9781494,1011.0,531.9447125457849,1231.732880637269,543.1117872755023,1009.439349724259,442.8123363793082,1692.2981631378398,172.51818271479587,-23.81017115732618,0.00812128657834892
12.0,383.5,1220.5,443.3333435,1690.666626,435.0,1056.376831,534.3059082,1230.694092,551.3114624,1007.685791,534.2423376295585,1230.9894059333096,546.3806759359364,1008.6398554917314,443.28574384969033,1691.2303489443725,172.2891256095817,-13.743426312850032,0.027658044486015606
13.0,385.3418884,1219.777832,443.5428467,1690.414307,436.5,1055.758301,536.0844116,1230.396606,552.788147,1006.887878,536.2390336497813,1230.368026547826,549.7547259640514,1007.8952085742676,443.6846573161547,1690.2888460556474,172.21281405337965,-4.578693372123439,0.048867338430920185
14.0,386.5,1219.5,444.5,1689.5,438.3603516,1055.360352,538.0,1230.0,554.5770264,1006.764709,537.8829889567694,1229.9038692450338,552.8414448203084,1007.3158901449868,444.0257116840902,1689.5687500792687,172.24939128753198,2.1946340491399496,0.054204449762823195
15.0,388.5,1219.5,444.5,1689.298828,440.0,1054.4021,539.5808716,1229.580811,554.5770264,1006.764709,539.1288138785568,1229.6176646155614,555.3939009087474,1006.9513138112046,444.32834630515265,1689.1471432267954,172.35816514319646,6.52643133986885,0.0417304984541232
16.0,388.829071,1218.906006,444.6013184,1688.869263,441.0,1054.376831,539.6825562,1229.682495,554.5770264,1006.764709,539.9493254233895,1229.5195961908055,557.3282616510196,1006.784584532376,444.62372113161985,1689.0755569740672,172.51202247419872,9.231439860135424,0.023781186345930218
17.0,390.0,1218.623169,444.7435913,1689.390991,442.3398743,1053.928101,540.5,1229.5,559.5040894,1007.574158,540.3408843685133,1229.6121594249632,558.6521921402197,1006.7653898722624,444.95227879540226,1689.37466569601,172.69775927957366,11.144208322496638,0.010941760817035113
18.0,390.1190491,1218.476196,445.1372681,1690.0,442.3986816,1054.130737,540.2698364,1229.916626,559.5040894,1007.574158,540.3206904164773,1229.8902225683937,559.3970456923954,1006.8590449551772,445.35196239441166,1690.029962746192,172.90951357848382,12.705257934609904,0.004775430589809383
19.0,390.2592468,1218.362915,446.0,1690.623169,442.6515198,1054.348511,539.730896,1230.353394,559.5040894,1007.574158,539.919504881326,1230.338968361587,559.5977141931115,1007.0844756465945,445.8457667811385,1690.9903072479312,173.14370863670158,14.05170349306502,0.0024321237613873017
20.0,390.0,1218.623169,446.5217285,1692.108643,442.5,1054.5,539.269104,1230.646606,559.5040894,1007.574158,539.1741255123687,1230.9315144976554,559.3032502429286,1007.519341900093,446.4354253745403,1692.1719331315114,173.39816411860738,15.267328914348468,0.0015713665188353547
21.0,390.0,1218.623169,446.829071,1693.906006,442.3986816,1054.398682,537.8619385,1231.774414,559.5040894,1007.574158,538.1225662489747,1231.6283706456368,558.5894775034185,1008.2662014058768,447.10077719032944,1693.4705676106057,173.67339796427098,16.514030739815553,0.0012320063885029415
22.0,389.5,1219.0,448.1358032,1695.308594,441.1036987,1055.296265,537.0,1232.5,556.4916382,1010.05835,536.8036963927691,1232.380547173935,557.5603934431654,1009.3919751701972,447.80079411021205,1694.78026722483,173.97321156080483,17.98881579203112,0.001180239699560917
