Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Shoulder X,Shoulder Y,Elbow X,Elbow Y,Shoulder X_smoothed,Shoulder Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Body Pink X_smoothed,Body Pink Y_smoothed,angles,velocity,roughness
11.0,513.6825562,1421.317505,724.875,1235.217651,596.84021,1191.058716,594.0,1193.0,596.8978882139415,1190.9506399191532,724.915203198237,1235.2368538033957,513.6474519512208,1421.3534278904333,269.13625979711145,3.206561180264771,0.00024514661972083033
12.0,513.6825562,1421.317505,724.9956665,1235.380981,596.9107056,1190.820068,594.0,1193.0,596.9092006576464,1190.8996928823356,724.9534175981674,1235.1631456552586,513.6824435248,1421.3339441752814,269.16628214926203,1.8013411290348813,0.0006956135568674337
13.0,513.6825562,1421.317505,725.105835,1234.894165,596.9107056,1190.820068,594.0,1193.0,596.9111458678631,1190.860535761952,725.0042682896077,1235.0660171459333,513.6960092036339,1421.3291332470903,269.1744399674764,0.4894690928631462,0.0010860047222790905
14.0,513.6825562,1421.317505,725.105835,1234.894165,596.9107056,1190.820068,594.0,1193.0,596.9080033287354,1190.8372279957518,725.052353246395,1234.9626831813923,513.6944244553191,1421.325127494698,269.164466441302,-0.59841157046435,0.0011579709279981804
15.0,513.6825562,1421.317505,725.105835,1234.894165,596.9107056,1190.820068,594.0,1193.0,596.9032360228824,1190.8300967468294,725.0905308251533,1234.866746731017,513.6835228719779,1421.3073505253185,269.1410426069161,-1.4054300631562455,0.0009485294777883875
16.0,513.6825562,1421.317505,725.105835,1234.894165,596.9107056,1190.820068,594.0,1193.0,596.8997695838628,1190.8355966047216,725.1194103818159,1234.7864725359327,513.6673001399529,1421.262866639506,269.1087847727105,-1.9354700523331303,0.0006264078357076065
17.0,513.5803833,1421.098267,724.9754639,1234.558838,596.916687,1190.901489,594.0,1193.0,596.9000442383079,1190.847946005002,725.1435641607819,1234.72514260386,513.6469803726305,1421.1828077607224,269.071585622662,-2.231949002912188,0.0003363888604135276
18.0,513.5803833,1421.098267,725.2240601,1234.699463,596.8540649,1190.891846,594.0,1193.0,596.9055947182094,1190.861542340995,725.1670275795333,1234.6821857770974,513.6206578118414,1421.0643899982915,269.03223076994067,-2.36129116327902,0.000144151283405504
19.0,513.5803833,1421.098267,725.2240601,1234.699463,596.8947754,1190.868164,594.0,1193.0,596.9163178162871,1190.8729349225987,725.1908770651454,1234.6547356290582,513.58416041327,1420.912567122126,268.9923245015926,-2.394376100885438,4.69414635268365e-05
20.0,513.7290039,1420.745239,725.2240601,1234.699463,596.9580078,1190.877808,594.0,1193.0,596.9301281342899,1190.8814060122652,725.2135792671726,1234.6403981304334,513.5337399658845,1420.740732195518,268.9528290408576,-2.3697276440998394,1.0170361782877777e-05
21.0,513.5,1420.5,725.2240601,1234.699463,596.9580078,1190.877808,594.0,1193.0,596.9436132194471,1190.8881368667714,725.2323930456988,1234.64047959307,513.4694310103225,1420.568487565708,268.915193957257,-2.2581050160363247,1.4754053050796276e-06
22.0,513.2709961,1420.254761,725.2240601,1234.699463,596.9580078,1190.877808,594.0,1193.0,596.9533756531994,1190.894747808788,725.2440840905819,1234.6614007631274,513.3961467350996,1420.415572528962,268.88236140156346,-1.969953341611017,8.605291444913921e-06
23.0,513.2709961,1420.254761,725.2240601,1234.699463,596.9580078,1190.877808,594.0,1193.0,596.9571557083082,1190.902060670643,725.244915340473,1234.7127109809276,513.3210118768466,1420.294658711323,268.8587849363123,-1.4145879150692051,4.648404406580303e-05
24.0,513.2709961,1420.254761,725.2240601,1234.699463,596.9423218,1190.92688,594.0,1193.0,596.9542621725325,1190.9096157431136,725.2308557957335,1234.8018778847118,513.2491401709748,1420.207391025336,268.849170400358,-0.5768721572587765,0.00015098433124033836
