Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,angles,velocity,roughness
22,0.1641496270895004,-0.5028627514839172,-0.4355518817901611,0.1625995486974716,-0.6658629775047302,-0.4700497388839721,0.1578881293535232,-0.8643009662628174,-0.4903835654258728,0.2862299978733063,-0.7541664242744446,-0.1988426297903061,-26.90242031036348,0.1640595938490833,-0.5026850574950988,0.1576710705920089,-0.8643097849851091,0.2862509681773743,-0.7541461266139257,-26.898442576670867,-1.1981252821412625,1.2435739255603319e-05
23,0.1641361266374588,-0.5028660297393799,-0.4369613826274872,0.1624673157930374,-0.6659390926361084,-0.4706585705280304,0.1574906855821609,-0.864155650138855,-0.4911703467369079,0.2862036526203155,-0.7541713714599609,-0.1992600113153457,-26.961178380027174,0.1640914395554832,-0.5028005115797807,0.1575409741512792,-0.8642100780712206,0.2862107538741807,-0.7542074935386527,-26.91755465245806,-1.1467245472314858,5.0351189685683e-06
24,0.1641943305730819,-0.5027638077735901,-0.442820280790329,0.1622868478298187,-0.6659129858016968,-0.4798518419265747,0.1573372781276703,-0.8641349673271179,-0.4934486150741577,0.2862035036087036,-0.7542064189910889,-0.1998744308948516,-26.971424151649316,0.1641302362169146,-0.5028679866816373,0.1574406804149964,-0.864148214785587,0.2861888725827175,-0.7542602218620579,-26.934043315269538,-0.9893197686887588,2.1875193975750534e-06
25,0.1641689985990524,-0.5027643442153931,-0.4446342289447784,0.1621995866298675,-0.665926992893219,-0.480846107006073,0.1573345363140106,-0.8641232252120972,-0.4935435056686401,0.2861985266208648,-0.7542130947113037,-0.2001209259033203,-26.97108522414787,0.1641663467739033,-0.5029066781066182,0.1573753631810374,-0.8641168890079786,0.2861771176933043,-0.7543133312494852,-26.946404174608688,-0.7416515603490126,9.742391998307064e-06
26,0.1641625016927719,-0.5028905272483826,-0.4445708990097046,0.1619633138179779,-0.6660347580909729,-0.4807952344417572,0.1573327332735061,-0.8641132712364197,-0.4942818582057953,0.2862008213996887,-0.7544816732406616,-0.2001281380653381,-26.959631048307855,0.1641989617481402,-0.5029346594397908,0.1573440031706683,-0.8641012293937487,0.2861685443768581,-0.7543720954366888,-26.953789818279155,-0.4431386202280407,2.7184330636299473e-05
27,0.1641540825366974,-0.5029782056808472,-0.444117784500122,0.1619661301374435,-0.6661064624786377,-0.4804413914680481,0.1573618799448013,-0.864102303981781,-0.4960167706012726,0.2861993610858917,-0.7544633150100708,-0.2001417130231857,-26.964737613303512,0.1642318635950732,-0.5029627897271998,0.1573388964736866,-0.8640854139016687,0.2861592828259516,-0.754438306506559,-26.956211568671755,-0.1453050235559772,4.572490145991821e-05
28,0.1642379462718963,-0.5030257105827332,-0.4437193274497986,0.1619890630245208,-0.6661229729652405,-0.4801492691040039,0.1573521494865417,-0.8642107844352722,-0.5013962984085083,0.2861108779907226,-0.7545305490493774,-0.2001845091581344,-26.94584421027489,0.1642688049170316,-0.5029937699075445,0.1573480803487318,-0.86405925358131,0.2861488562809919,-0.7545119463362229,-26.954473926294664,0.1042585426254305,5.387307430256409e-05
29,0.1642771363258361,-0.5030320882797241,-0.4420541524887085,0.1619749069213867,-0.6660986542701721,-0.4762832224369049,0.1573941558599472,-0.8642049431800842,-0.4931783676147461,0.2861211597919464,-0.7545211911201477,-0.2001961022615432,-26.941507610015492,0.1643108231586063,-0.5030249024002412,0.1573590583529513,-0.8640229566454332,0.2861388482119015,-0.7545919813956756,-26.94989587635865,0.274682996160891,4.6730163655974326e-05
30,0.1644261181354522,-0.503077507019043,-0.4419922232627868,0.1617785841226577,-0.6661004424095154,-0.4741778373718261,0.1574043482542038,-0.8638263940811157,-0.4852984249591827,0.286117821931839,-0.7546513080596924,-0.2001573294401168,-26.929149755660493,0.164356635876393,-0.5030517495115358,0.1573622242388357,-0.8639874835540898,0.2861306986154831,-0.7546756059647854,-26.943921497786043,0.3584627143563779,2.971275303153085e-05
31,0.1644821912050247,-0.5030874013900757,-0.4442227780818939,0.1617716252803802,-0.6661021113395691,-0.477732390165329,0.1573409289121627,-0.863832414150238,-0.495963305234909,0.2861076891422272,-0.7546882629394531,-0.2002405375242233,-26.933497608675424,0.1644054030277915,-0.5030709190527144,0.157353009377461,-0.8639690314364659,0.2861238557552984,-0.7547574528969421,-26.93772217918486,0.3719591160709967,1.3083440611555157e-05
32,0.164504200220108,-0.5030921697616577,-0.4427570104598999,0.1616999804973602,-0.666104257106781,-0.4777221083641052,0.1573547124862671,-0.8639008402824402,-0.5038339495658875,0.2860943078994751,-0.7549339532852173,-0.2002370059490203,-26.906592863215977,0.1644595977460057,-0.5030814766135734,0.157332298812429,-0.8639803290888176,0.2861150593886244,-0.7548306322558008,-26.931873648074088,0.3509118666462996,3.460283261267303e-06
33,0.164488673210144,-0.5030777454376221,-0.4427686631679535,0.1616982817649841,-0.666080892086029,-0.4785279929637909,0.1573231667280197,-0.8640313744544983,-0.5059050917625427,0.2860918641090393,-0.7549508213996887,-0.2001589387655258,-26.908305278953733,0.1645255190582815,-0.5030850233527565,0.1573052145978661,-0.8640243854786012,0.2860989003269773,-0.7548898504764116,-26.92617417510789,0.3419683779719662,3.993541159577752e-07
34,0.1644927412271499,-0.5030712485313416,-0.4342999458312988,0.1617407798767089,-0.6660817265510559,-0.4702674448490143,0.1571997553110122,-0.864177405834198,-0.5018516182899475,0.286092460155487,-0.7549548745155334,-0.1999258249998092,-26.926463662533095,0.1646106569252172,-0.5030847214623371,0.1572787579738605,-0.8640940890483338,0.2860695462773822,-0.7549347868391196,-26.919684034946044,0.3894084097106542,9.622642654296698e-08
35,0.1646811068058014,-0.5030659437179565,-0.4341644048690796,0.1617727279663086,-0.666060745716095,-0.4702170491218567,0.1572305113077163,-0.8641940951347351,-0.5006612539291382,0.2860927581787109,-0.7549588084220886,-0.1996924728155136,-26.915862801154347,0.1647197296690643,-0.5030838313891355,0.1572590731090384,-0.8641762795990806,0.286023233713887,-0.7549713112397953,-26.911046056003393,0.5182787365590968,1.4246311045600921e-06
36,0.1649298369884491,-0.5030815005302429,-0.4350009858608246,0.1617707163095474,-0.666102945804596,-0.4702712595462799,0.1572699546813964,-0.8642057776451111,-0.4940602481365204,0.2859779298305511,-0.7550057172775269,-0.1997207701206207,-26.87913926301637,0.1648524402222923,-0.503084452481229,0.1572495004710795,-0.8642566763214328,0.2859605051089855,-0.7550096989547515,-26.899002633876076,0.7226053276389877,7.157321633274495e-06
37,0.1650964617729187,-0.5030894875526428,-0.4341654777526855,0.161768764257431,-0.6661321520805359,-0.4693492650985718,0.1572683900594711,-0.8643955588340759,-0.4942814111709595,0.2858427166938782,-0.7550314664840698,-0.1994693130254745,-26.84781515920793,0.1650042792309954,-0.5030869478389517,0.1572503670253623,-0.8643234036822598,0.2858868984945883,-0.7550609319500847,-26.88287055806518,0.967924548653869,1.8561978011879165e-05
38,0.1651026606559753,-0.5030888915061951,-0.4342400431632995,0.1615388095378875,-0.6661266088485718,-0.4694525897502899,0.1572582125663757,-0.8643820285797119,-0.4963355660438537,0.2858335673809051,-0.7550353407859802,-0.1994723975658416,-26.84722069541388,0.1651685866638548,-0.5030901023204404,0.1572602039624548,-0.8643690453608308,0.2858116491178847,-0.7551327808031845,-26.86277593805874,1.2056772003863614,3.0487736763625086e-05
39,0.1652257740497589,-0.5030907988548279,-0.4346734285354614,0.1615541875362396,-0.6661702394485474,-0.4743393361568451,0.1572715938091278,-0.8644002676010132,-0.5196666717529297,0.2857631146907806,-0.7551797032356262,-0.1995487809181213,-26.81614113759501,0.1653373192097857,-0.5030917342423423,0.1572772264028425,-0.8643916097216832,0.2857452044197522,-0.7552272513887236,-26.83962151265376,1.3892655242987215,3.445556014909445e-05
40,0.1655226945877075,-0.503084659576416,-0.4339418113231659,0.1615392118692398,-0.6661009192466736,-0.4743692576885223,0.1572594493627548,-0.8643611669540405,-0.5183436274528503,0.2856413722038269,-0.7554798126220703,-0.1997016817331314,-26.76074571811209,0.1655006188044164,-0.5030894751968,0.1573004456998151,-0.8643942203903957,0.2856965049746951,-0.7553407517907162,-26.814820760147583,1.4880451503706382,2.7106216977054848e-05
41,0.1657059490680694,-0.503090500831604,-0.4364559352397918,0.1615794897079467,-0.6661044359207153,-0.4753535985946655,0.157401293516159,-0.8643739223480225,-0.5166987776756287,0.2856351137161255,-0.7555258870124817,-0.1996572166681289,-26.72865788137756,0.1656475488253894,-0.5030816154787765,0.1573307054913395,-0.8643836581283266,0.2856704392927419,-0.7554669032588905,-26.789806598378615,1.500849706138112,1.4048954802661683e-05
