Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Body Pink X_smoothed,Body Pink Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,angles,velocity,roughness
1715.0,338.0,1240.5,773.6221924,698.4416504,362.2117615,1137.905762,217.2232208,984.0708618,217.23780642390764,983.8283388259988,339.44007908053175,1244.4609749558065,757.1083471751185,833.7033838918729,87.5689846768445,-285.9757041247218,5.798768095747735
1716.0,338.0,1240.5,773.6221924,698.4416504,352.489624,1153.034546,216.0509186,989.4768677,216.1147918663267,989.2996058391916,337.96054183470403,1241.3972913008713,749.7377222031588,961.8466268204786,79.40111422206469,-490.0722272867881,13.00592695828322
1717.0,339.5,1240.5,710.9526367,1350.08313,342.1333313,1167.420776,214.7957916,994.3618774,214.7643236820167,994.4284419394188,335.4310187736926,1235.4200648340632,744.2463312145584,1102.58587003664,68.38365260974999,-661.0476967388822,19.286709489450068
1718.0,339.5,1240.5,710.9526367,1350.08313,331.3270569,1181.46228,213.2763214,999.3026123,213.1648884645252,999.258033718472,332.48458276742394,1227.4593028446272,741.2316070457721,1230.644183539702,56.52394548118335,-711.5824277139984,17.259979329417742
1719.0,339.5,1240.5,710.9526367,1350.08313,320.1392822,1193.893555,211.4035034,1003.543884,211.30152827615953,1003.8378861101268,330.5913000599878,1220.4076596190152,738.5675727266697,1324.013769127975,45.86864025318349,-639.3183136799912,8.293726041025153
1720.0,339.5,1240.5,710.9526367,1350.08313,308.53479,1205.508667,209.1828461,1008.142029,209.17164103014431,1008.208714785544,331.9849784613207,1219.3007558181016,730.8872231431667,1370.923589800762,37.52149753160408,-500.82856329476454,2.7528371314858204
1721.0,339.5,1240.5,710.9526367,1350.08313,297.5652771,1215.854126,206.8304291,1012.427551,206.7861400714233,1012.3915450916044,339.1437010784878,1230.5959855822368,710.8050291167337,1371.3586818652718,31.8333665794559,-341.2878571288909,6.266036310270744
1722.0,339.5,1240.5,710.9526367,1350.08313,286.0647583,1225.887817,203.9553528,1016.244019,204.16583733514247,1016.3842922996806,353.7897687079751,1260.2927000490772,671.8354725652323,1334.9206547865094,28.78559003148769,-182.86659287809272,12.976359479097084
1723.0,339.5,1240.5,710.9526367,1350.08313,274.068634,1235.277832,201.1139984,1020.326111,201.3359046245958,1020.165029258475,375.6383517630591,1311.1488824798605,612.1260044211579,1277.7674206026536,28.065963287652767,-43.177604630095345,15.850152319098132
1724.0,339.5,1240.5,710.9526367,1350.08313,262.2716064,1243.532349,198.3848572,1023.732666,198.32345326541295,1023.6989057982164,401.51429062739743,1380.145826219362,537.1763467769963,1219.164636085342,28.974221038273217,54.49546503722701,13.894270474937482
1725.0,503.8987427,1584.908569,204.9496918,720.0565796,251.0520325,1250.495972,195.57724,1026.561035,195.16208103657848,1026.945921922336,425.7190339477424,1458.154205126553,459.13578397490994,1176.508718898854,30.31753715498764,80.59896700286536,8.602914893753438
1726.0,476.8015442,1604.27356,339.5,1242.5,239.777771,1257.127686,192.1345825,1030.320801,191.90074055339116,1029.8687998778842,441.9905418153753,1533.003245485139,391.8957576382083,1159.3691611677114,30.44889108766594,7.881235960698092,3.017533561489228
1727.0,450.7411499,1621.046997,339.5,1242.5,229.0744476,1262.727539,188.5,1032.5,188.60766133340775,1032.4417001378276,446.0297226624715,1594.4395863082416,344.93498117319757,1166.4715445894117,28.18183623471169,-136.02329117725515,2.0577952034911333
1728.0,424.5145264,1636.070679,339.5,1242.5,218.1538391,1267.200317,185.1342316,1034.618408,185.36213320190717,1034.6580842692924,436.9204579940198,1637.6460814329607,320.27606074500284,1188.515790126089,24.349691863519368,-229.92866227153925,4.927354428760214
1729.0,424.5145264,1636.070679,339.5,1242.5,207.8792572,1271.102051,182.1856995,1036.633179,182.2368560006472,1036.5334398055863,416.826251638986,1663.4889314818352,313.74833384913313,1214.3289087679275,20.999845762867785,-200.99076603909495,5.037489231123851
1730.0,373.075531,1660.634521,339.5,1242.5,198.3737793,1274.383545,178.9681854,1038.180298,179.2804433947935,1038.1012359399035,389.6668119757066,1676.3900670250462,318.3474879498222,1235.6700402597417,19.359372002542152,-98.42842561953802,2.434617099583147
1731.0,348.7184143,1670.692505,338.8475037,1242.799683,189.1682434,1277.27356,176.4386749,1039.05481,176.50824012087477,1039.404138134514,359.65998336757633,1681.722811612354,327.2902548919829,1248.834991257792,19.550566076740935,11.471644451927006,2.5048372024036727
1732.0,325.8694153,1678.679443,338.8475037,1242.799683,180.1212158,1279.730469,173.9397888,1040.459595,173.90481191865464,1040.4837315711382,330.2026724927741,1683.971074537119,335.76523238223416,1253.9455749831704,21.138112201128504,95.2527674632541,5.3080004392162445
1733.0,303.0658875,1686.586426,338.8475037,1242.799683,171.2457733,1281.749634,171.581192,1041.373169,171.43723408154997,1041.3731711927646,303.31257221376444,1685.9543775049738,341.3792980450746,1253.3079827184451,23.547712593550493,144.57602354531934,5.536755207182127
