Frame #,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Neck Green X,Neck Green Y,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Back Orange X_smoothed,Back Orange Y_smoothed,Neck Green X_smoothed,Neck Green Y_smoothed,Leg Pink X_smoothed,Leg Pink Y_smoothed,angles,velocity,roughness
35.0,430.5,765.5,547.5,934.8444214,549.1253052,738.0874634,395.5,904.0,465.5,1313.5,547.4982809159603,934.8490258861696,549.1332258704803,738.0974971913781,465.5237753827756,1313.509675669991,168.25555152626077,0.2138095195812184,8.436785437303942e-07
36.0,430.5,765.5,547.5,934.8444214,549.1253052,738.0874634,395.5,904.0,465.5,1313.5,547.499180439426,934.8468920802036,549.1334636988499,738.0943293213388,465.5758021901204,1313.5437804074345,168.2610208292358,0.3281581785017806,2.660303143269618e-06
37.0,430.5,765.5,547.5,934.8444214,549.1253052,738.0874634,395.5,904.0,465.5,1313.5,547.4999107085794,934.8450044980392,549.1310504116053,738.0904043511304,465.6441439225051,1313.5917199612616,168.26846591258814,0.4467050011402307,5.588997708092895e-06
38.0,430.5,765.5,547.5,934.8444214,549.1253052,738.0874634,395.5,904.0,465.8641968,1313.691406,547.5003342558814,934.8438054873316,549.1251032208771,738.0871319868739,465.7184706386562,1313.647639202236,168.2771744631807,0.5225130355535157,7.052217045922538e-06
39.0,430.5,765.5,547.5,934.8444214,549.1253052,738.0874634,395.5,904.0,465.8641968,1313.691406,547.5004660460353,934.8433346384396,549.1155130715533,738.08504306759,465.78585644381633,1313.702983606528,168.28584959866578,0.5205081291046554,4.954184187886248e-06
40.0,430.5,765.5,547.5,934.8444214,549.1253052,738.0874634,395.5,904.0,465.8541565,1313.854126,547.500400116095,934.8433993161092,549.1040591037531,738.0841300653923,465.8360589709804,1313.7504910045811,168.29322424402343,0.4424787214594516,1.7445079224312754e-06
41.0,430.5,765.5,547.5,934.8444214,549.1253052,738.0874634,395.5,904.0,465.8541565,1313.854126,547.5002460369468,934.843736646269,549.0953285817957,738.0842219079008,465.86497896613713,1313.7884881331163,168.2987993597466,0.3345069433896697,1.6374827994356095e-06
42.0,430.5,765.5,547.5,934.8444214,549.1253052,738.0874634,395.5,904.0,465.8541565,1313.854126,547.5000895518748,934.8441228549198,549.0968328416961,738.0852405000807,465.8745920555252,1313.8230570883047,168.30332863980436,0.2717568034660189,3.499141659152475e-06
43.0,430.5,765.5,547.5,934.8444214,549.1253052,738.0874634,395.5,904.0,465.8541565,1313.854126,547.499978060817,934.8444215165234,549.117716710067,738.0872640616808,465.87056727982616,1313.866402743473,168.30880285526536,0.3284529276595549,2.7839151863056573e-06
44.0,430.5,765.5,547.5,934.8444214,549.1253052,738.0874634,395.5,904.0,465.8541565,1313.854126,547.4999239766937,934.844584173541,549.1658096473362,738.0904006841715,465.8595792681312,1313.931505904405,168.31787444840788,0.5442955885513356,3.2810810438870372e-06
45.0,430.5,765.5,547.5,934.8444214,549.1253052,738.0874634,395.5,904.0,465.8541565,1313.854126,547.4999168832462,934.8446247399712,549.2436074546683,738.0945515404111,465.84739237696704,1314.02513295546,168.33284449459737,0.8982027713693697,1.8501640508090245e-05
46.0,430.5,765.5,547.5,934.8444214,549.2120972,738.0862427,395.5,904.0,465.8070068,1314.192993,547.4999369622078,934.8445871047658,549.3450427818992,738.0992205180768,465.8378310617843,1314.142514383511,168.3545507879459,1.3023776009117682,5.15990798735045e-05
47.0,430.5,765.5,547.5,934.8444214,549.6367188,738.1157837,395.5,904.0,465.8070068,1314.192993,547.4999652128944,934.8445185276016,549.4556522132798,738.1035723129652,465.8324527023366,1314.2665128439064,168.38168965244117,1.6283318697162483,7.898864917606761e-05
48.0,430.5,765.5,547.5,934.8444214,549.6367188,738.1157837,395.5,904.0,465.8636475,1314.45459,547.499988953209,934.844453991237,549.5571297636307,738.1068374715783,465.8309821284115,1314.3717621350434,168.41101613168766,1.7595887547895472,7.115220792061448e-05
49.0,430.5,765.5,547.5,934.8444214,549.6367188,738.1157837,395.5,904.0,465.8636475,1314.45459,547.5000031192683,934.8444111240932,549.6336127266871,738.1088816416534,465.8325917169405,1314.4318834255068,168.43836077588355,1.6406786517535463,3.404108735508428e-05
50.0,430.5,765.5,547.5,934.8444214,549.6367188,738.1157837,395.5,904.0,465.8636475,1314.45459,547.5000087948733,934.8443924290212,549.6755547929766,738.1105572243404,465.8374563762127,1314.4271845959174,168.45987674423955,1.2909581013599336,1.2737873171375592e-05
51.0,430.5,765.5,547.5,934.8444214,549.6367188,738.1157837,395.5,904.0,465.8636475,1314.45459,547.5000104536128,934.84439098081,549.6798782656432,738.1135675936096,465.8474464727254,1314.3508364831707,168.47292210735634,0.78272178700729,4.3763614659741725e-05
52.0,430.5,765.5,547.5,934.8444214,549.6367188,738.1157837,395.5,904.0,465.8636475,1314.45459,547.5000130039577,934.8443965825112,549.6485305854762,738.1198369175755,465.8651543959401,1314.2120108456004,168.47640318587287,0.2088647109917474,0.00011471939223868962
53.0,430.5,765.5,547.5,934.8444214,549.6367188,738.1157837,395.5,904.0,465.6969604,1313.697021,547.500019276459,934.844400666474,549.587912753407,738.1305645245152,465.8915095488585,1314.0343273689382,168.47075657345428,-0.3387967451152462,0.00017776650557373307
54.0,430.5,765.5,547.5,934.8444214,549.6367188,738.1157837,395.5,904.0,466.0,1314.0,547.5000283201483,934.844399323586,549.5096076639401,738.1452862205477,465.9236023314579,1313.8490397288806,168.4578126740942,-0.7766339616040341,0.0001922474486082879
55.0,430.5,765.5,547.5,934.8444214,549.3624878,738.1749878,395.5,904.0,466.0,1313.5,547.5000348364006,934.8443944414086,549.4307401777332,738.1614000424773,465.9548775326465,1313.685567519781,168.44064932015374,-1.0298012364285114,0.00015059253000682045
56.0,430.5,765.5,547.5,934.8444214,549.3624878,738.1749878,395.5,904.0,466.0,1313.5,547.5000301614034,934.8443930541648,549.3719970305203,738.1745138339467,465.9780947705196,1313.563640409404,168.42334723765322,-1.0381249500312606,7.848897655302446e-05
57.0,430.5,765.5,547.5,934.8444214,549.3624878,738.1749878,395.5,904.0,466.0,1313.5,547.5000051933567,934.8444049008818,549.3531889743674,738.1795361904697,465.9889523511491,1313.4897209609824,168.41049179204168,-0.7713267366921173,2.244291357683852e-05
58.0,430.5,765.5,547.5,934.8444214,549.3624878,738.1749878,395.5,904.0,466.0,1313.5,547.4999553071713,934.8444381868272,549.3879771164662,738.1720978283502,465.9881975956759,1313.4582275386272,168.4063962455711,-0.2457327882348181,2.876823242554342e-05
