Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Body Pink X_smoothed,Body Pink Y_smoothed,angles,velocity,roughness
28.0,716.8201904,1243.5,525.5,1439.5,600.3007813,1209.971313,654.3471069,992.2643433,654.9024032310324,992.2781901769786,716.6976178482338,1243.4528018660144,525.2710982406694,1439.15724698162,330.03621640322064,-1.374549714475961,0.00033267307994985416
29.0,716.7426147,1243.603394,525.5,1439.5,600.1116943,1209.731567,654.3285522,992.397644,654.5873915287235,992.2919437215972,716.6844250789474,1243.5070658655932,525.4470745985827,1439.3172477047362,330.02260433769544,-0.8167239315116603,8.308440898773821e-05
30.0,716.6466064,1243.730957,525.5,1439.5,600.0910645,1209.788696,654.3659668,992.1934814,654.3989043460572,992.1831371656672,716.6526842199092,1243.5448696289789,525.570377919029,1439.4153953150335,330.0216621453547,-0.0565315404446664,8.98783823670911e-05
31.0,716.6466064,1243.730957,525.5,1439.5,600.0388794,1209.855591,654.2579956,991.8242188,654.3051731055439,992.0202855270152,716.6068316863004,1243.5663931902225,525.6426866062329,1439.4824571128793,330.03189309916024,0.6138572283327903,0.00022224474841440954
32.0,716.5,1243.5,525.5,1439.5,599.8497925,1209.956055,654.3309937,991.5633545,654.2457891729421,991.8691863308338,716.5564697642982,1243.5848489852854,525.6598881458318,1439.5616399088462,330.04761291525404,0.9431889656275416,0.0002590706414900451
33.0,716.5113525,1243.409058,525.5,1439.5,599.7753906,1210.070679,654.730835,991.602478,654.1587573163889,991.7736317992316,716.513169004529,1243.6194951779576,525.6069655530824,1439.693880179825,330.0607637048426,0.7890473753138849,0.00014759758787044535
34.0,716.5113525,1243.409058,525.5,1439.5,599.5,1210.5,654.3601074,991.8345337,654.0057618751678,991.746325168812,716.4868675143022,1243.684063026541,525.4603715093946,1439.902464873759,330.06324662037235,0.1489749317852329,5.03554670733531e-05
35.0,716.4285889,1243.952393,525.5,1440.5,599.5,1210.5,653.5092163,991.9107666,653.7845225821432,991.7724929156929,716.4827945702219,1243.7783002783262,525.1983715107508,1440.1838722773812,330.04911278401914,-0.8480301811925983,0.00014498774689164593
36.0,716.4285889,1243.952393,525.5,1440.5,599.0275879,1210.536499,653.288208,991.7468872,653.5225205134589,991.8218499579964,716.4991936280177,1243.888132840105,524.8141805737417,1440.5089222788065,330.01605344213374,-1.9835605131243028,0.00041718180584130246
37.0,716.5,1244.0,523.5,1440.5,598.7649536,1210.10791,653.178772,991.8912964,653.258348862441,991.8619539491906,716.5263392555736,1243.9928831046186,524.3221537264443,1440.8321086615094,329.96576500830696,-3.0173060296067433,0.0006652260386782309
38.0,716.5654297,1244.122314,523.5,1441.5,598.5048218,1210.541382,652.9375,992.0703125,653.0239484188698,991.8691961310116,716.5478883198587,1244.073588895861,523.7511171357834,1441.1040729993322,329.9030109249252,-3.765245002906568,0.0006971659822464991
39.0,716.5654297,1244.122314,523.5,1441.5,597.9755859,1210.561035,652.8491211,991.9075317,652.8360410599712,991.8366732455972,716.5449957614416,1244.1184523973484,523.131932731395,1441.284591414934,329.8338018145379,-4.152546623238322,0.0005051510373777104
40.0,716.5654297,1244.122314,522.8641968,1441.308594,597.5,1210.5,652.7420044,991.9383545,652.6964782393574,991.7773725937224,716.5021219240147,1244.1251980116592,522.4915252013116,1441.353319862485,329.7636216106422,-4.210812233741308,0.00024351040198648943
