Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Elbow (X)_smoothed,Right_Elbow (Y)_smoothed,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
30,0.2611828148365021,-0.5311477780342102,-0.5339820384979248,0.4207576811313629,-0.6353855133056641,-0.4063797891139984,0.5645266771316528,-0.659181535243988,-0.0629532635211944,0.4215068029907543,-0.6355742918660219,0.2609173155605543,-0.5310590673438148,0.5706403061268943,-0.6599242243223647,156.26775634921793,-2.0612376947468647,0.00496212767137136
31,0.2617285251617431,-0.5308379530906677,-0.5228896141052246,0.4235005676746368,-0.6360968351364136,-0.3976216316223144,0.5669910311698914,-0.6591139435768127,-0.059886734932661,0.4235751867546988,-0.6359976191704445,0.2616323835557496,-0.5308453967869561,0.5724502676760651,-0.6600189171124901,156.22843090294063,-2.3595267766381767,0.002018566378453829
32,0.2620984315872192,-0.5305706262588501,-0.5240142941474915,0.4256612956523895,-0.6365042924880981,-0.4015244543552398,0.5784941911697388,-0.66033935546875,-0.0614917390048503,0.4256280894639339,-0.6362569940357613,0.262292187196927,-0.5305982624652213,0.5738829450044747,-0.659757452758748,156.18074496659915,-2.8611561804888197,0.0005983993936765241
33,0.2629574835300445,-0.5302832722663879,-0.514182448387146,0.4278993010520935,-0.6363657712936401,-0.3968453705310821,0.5794578194618225,-0.6602506637573242,-0.057595707476139,0.4273579459328319,-0.6362968809966398,0.2628753601557907,-0.5302968063894689,0.574185604836005,-0.6590183752094019,156.10730087809884,-4.406645310018575,0.00039767789398628526
34,0.2634530067443847,-0.5300852656364441,-0.5095430612564087,0.4292871952056885,-0.6362330317497253,-0.3931609690189361,0.5763049721717834,-0.6587803363800049,-0.0413506515324115,0.4285157145195828,-0.6361000907718781,0.2633830013310683,-0.5299345907500924,0.5728979546390699,-0.6577436550998759,155.97959847556135,-7.6621441522496525,0.0014749487254803613
35,0.2638991773128509,-0.5297014117240906,-0.4903653860092163,0.4297178983688354,-0.6358253955841064,-0.3819363713264465,0.5721931457519531,-0.6555006504058838,-0.0441997535526752,0.4289829145807505,-0.6356926495733813,0.263833937354027,-0.5295220047653084,0.5702143385819853,-0.6559853450883726,155.76394017601942,-12.93949797251571,0.005316182971299764
36,0.2643674612045288,-0.5289899706840515,-0.4861823320388794,0.4299243986606598,-0.635305643081665,-0.3732016980648041,0.5680188536643982,-0.6534601449966431,-0.0279332138597965,0.4288116310422475,-0.6351387239769413,0.2642586568552661,-0.5290856124751473,0.5671110341795722,-0.6539058764625527,155.42889885341273,-20.10247935640109,0.013721694161287485
37,0.2646434903144836,-0.5284221172332764,-0.4776352941989898,0.4277417957782745,-0.6342245936393738,-0.3705742061138153,0.5673146843910217,-0.6511685848236084,-0.0298428814858198,0.4282163914359113,-0.6345261720450085,0.2646895370952026,-0.5286621885488861,0.5652303949532282,-0.6517415415749828,154.95465815531816,-28.454441885674555,0.02617739843365856
38,0.2648195922374725,-0.5283100008964539,-0.4845536947250366,0.426770955324173,-0.6336936354637146,-0.3743233680725097,0.5719805955886841,-0.6513280868530273,-0.034924529492855,0.4275158551180417,-0.6339453258654597,0.2651467374867343,-0.5282893593776642,0.5665785478673635,-0.6497597674790028,154.34689701036194,-36.46566869737285,0.03738564679207856
39,0.2651689052581787,-0.5281375050544739,-0.4882698357105255,0.4266109764575958,-0.6334007978439331,-0.3754724860191345,0.571434497833252,-0.6488432288169861,-0.0557544156908988,0.4270434034738714,-0.6334676618050965,0.2656234474452011,-0.5279982082010898,0.5730635332623848,-0.6482249779418803,153.65249994116266,-41.66382415195699,0.038037202753880686
40,0.2663149237632751,-0.5277398228645325,-0.4662275612354278,0.4267074167728424,-0.6330520510673523,-0.3703525960445404,0.5717130899429321,-0.6453859210014343,-0.0550516322255134,0.4270597768698115,-0.6331325373243372,0.2660784594974466,-0.5278105095281966,0.5858832195983471,-0.6473582834021507,152.96093256549028,-41.49404254034266,0.02390323219295953
41,0.2665202915668487,-0.5277709364891052,-0.4675175249576568,0.4275892376899719,-0.6330540776252747,-0.3681969940662384,0.5817137956619263,-0.6459537744522095,-0.0686383545398712,0.4276931396566049,-0.6329454597669124,0.2664426709978929,-0.5277381811126576,0.6048966366590878,-0.6472786646054408,152.3773764633313,-35.01336612953878,0.008227629696994173
42,0.2666435539722442,-0.5277751684188843,-0.4565666913986206,0.4282565712928772,-0.6329481601715088,-0.3668995797634125,0.6400344371795654,-0.647784411907196,-0.0749962851405143,0.4289122348045868,-0.632884883091361,0.2666375253020867,-0.5277819252398961,0.6283225106707291,-0.647950857265898,151.9824654273037,-23.69466216165563,0.014883215594099237
43,0.2666787803173065,-0.527761697769165,-0.4584712386131286,0.428558349609375,-0.6327818632125854,-0.3674095571041107,0.6501320600509644,-0.6490291357040405,-0.0882277339696884,0.4305300636165219,-0.6329119999582102,0.2665967655963958,-0.5279288779521045,0.6530894062342795,-0.649183083585758,151.80781456236036,-10.479051896600708,0.04951504115645559
44,0.2666007876396179,-0.5279857516288757,-0.4642335772514343,0.4333306550979614,-0.6329123377799988,-0.4193264544010162,0.6941699981689453,-0.6519295573234558,-0.23831108212471,0.4322443739960369,-0.6329800480688869,0.2662847251190758,-0.528151221584844,0.6757792124876694,-0.6506871279191022,151.83665756009773,1.7305798642422587,0.08665900460184438
