Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,angles,velocity,roughness
23,0.2940610945224762,-0.5181399583816528,-0.5213788747787476,0.2617270946502685,-0.6557689309120178,-0.5496215224266052,0.3377525806427002,-0.8147295713424683,-0.458131343126297,0.3142392039299011,-0.7446367144584656,-0.1818365752696991,0.2939648258634447,-0.5182213690661288,0.33770250565434,-0.8146169153479154,0.3138428338698747,-0.7447197485044743,3.643875235604036,-10.605838327779551,0.00010503458904540869
24,0.2940513789653778,-0.5181621313095093,-0.5194305777549744,0.2618917226791382,-0.6556264162063599,-0.5500000715255737,0.3377533555030823,-0.8146482706069946,-0.4588429927825928,0.3144652247428894,-0.7446059584617615,-0.1818744540214538,0.2939386652754046,-0.5182208403656315,0.3377109193645385,-0.8146417765481718,0.3144600446182247,-0.7446645190231715,3.4750659912688,-10.128554660114162,0.0002145816225229092
25,0.293759673833847,-0.5181492567062378,-0.5153995156288147,0.2619951963424682,-0.6555038690567017,-0.5469305515289307,0.3376204967498779,-0.8146377801895142,-0.4596004486083984,0.3142993748188019,-0.7445968985557556,-0.181430235505104,0.293914884418853,-0.5181400895627163,0.3376897212183221,-0.8145930126676176,0.3151190900661264,-0.7445670298471255,3.3049342512946045,-10.207904398451715,0.00018832452148710087
26,0.2935501039028168,-0.518092930316925,-0.504107654094696,0.2620377242565155,-0.6553910374641418,-0.5361331105232239,0.3374171853065491,-0.814613401889801,-0.4553817808628082,0.3147514462471008,-0.7445785999298096,-0.1808886528015136,0.2939717696297129,-0.5179910733205808,0.3376618047637951,-0.8145049556216857,0.3158751711816883,-0.7444277050792681,3.1257182143347806,-10.752962217589436,7.123781451213894e-05
27,0.2937098741531372,-0.5179277658462524,-0.5045515298843384,0.2621423900127411,-0.6550257802009583,-0.5397725105285645,0.3374114036560058,-0.8141219615936279,-0.4816997349262237,0.3159785270690918,-0.7444016337394714,-0.1800883710384369,0.2941541668145486,-0.5177888477723636,0.3376399755070367,-0.8144173872228248,0.3167049366820645,-0.7442517007441526,2.936830451102016,-11.333265793965888,6.506577640764476e-05
28,0.2944784462451935,-0.5172922015190125,-0.5053970813751221,0.2621769309043884,-0.6545698046684265,-0.5468180179595947,0.3375253677368164,-0.8141231536865234,-0.4921154975891113,0.3185753226280212,-0.7439820766448975,-0.1786528825759887,0.2944566998022264,-0.517550068610711,0.3376190970975439,-0.814360452241271,0.3175080405658794,-0.7440524404771016,2.7472841512630626,-11.372777990337193,9.775755025913034e-05
29,0.2949182689189911,-0.5171094536781311,-0.5059647560119629,0.2622413635253906,-0.6544764637947083,-0.5471528172492981,0.3377783596515655,-0.8142334222793579,-0.49031862616539,0.3190013766288757,-0.7437564730644226,-0.1786608397960662,0.2948263224968149,-0.5172890225363367,0.3375793194054481,-0.8143430694409813,0.3181533982627262,-0.7438495440416955,2.5729291374227947,-10.461300830416072,7.4768492438469e-05
30,0.2955001890659332,-0.5171083211898804,-0.5201953649520874,0.2623911798000335,-0.654492974281311,-0.570628821849823,0.3378607034683227,-0.8144219517707825,-0.5136321187019348,0.3189319968223572,-0.7436185479164124,-0.1786768585443496,0.2951823254038687,-0.5170143045744386,0.33749926585252,-0.8143509361168166,0.3185428704455686,-0.7436623727050117,2.4298613165231955,-8.584069253975954,0.0003605796949027026
31,0.2955672442913055,-0.516900897026062,-0.5198367834091187,0.2622844576835632,-0.654380738735199,-0.5681396722793579,0.3376156687736511,-0.8144107460975647,-0.5063673257827759,0.3188179731369018,-0.7434518933296204,-0.1787911802530288,0.2954428184089191,-0.5167306874486175,0.337370916477203,-0.8143558824312699,0.3186536417478711,-0.7435034965529068,2.327825657532923,-6.122139539416347,0.0013898070938833107
32,0.2955636084079742,-0.5166476368904114,-0.5195333361625671,0.2620657682418823,-0.6543030142784119,-0.5679513216018677,0.3370856642723083,-0.8144901990890503,-0.5045070648193359,0.318456083536148,-0.7433217167854309,-0.179091677069664,0.2955457890490978,-0.5164455687389993,0.3372053962965562,-0.8143321258145718,0.3185403275053964,-0.7433755591198873,2.2667957325228945,-3.6617955006017144,0.002785623660716644
33,0.2954235672950744,-0.5161598920822144,-0.533312201499939,0.2619199752807617,-0.6542870998382568,-0.581334114074707,0.3367204070091247,-0.8144803643226624,-0.5180627703666687,0.3178897202014923,-0.7432821393013,-0.1798670440912246,0.2954591466664181,-0.5161736173260717,0.3370245586823737,-0.8142724833995794,0.3183044580825067,-0.7432724159225452,2.2374518428402843,-1.7606333809566088,0.0034698167499685258
34,0.295132040977478,-0.515690267086029,-0.5310757756233215,0.2617299258708954,-0.6542324423789978,-0.5782791376113892,0.3365631103515625,-0.814352810382843,-0.5172451734542847,0.3174663484096527,-0.7432785630226135,-0.1798757910728454,0.2951815482548208,-0.5159341433341003,0.3368437253047671,-0.8141986541746341,0.3180510882069618,-0.7431837709260883,2.2244938399260334,-0.7774801748550519,0.0028379678055420804
35,0.2947752475738525,-0.5156717300415039,-0.5374740958213806,0.2616153955459595,-0.6544283032417297,-0.5816447138786316,0.3365994393825531,-0.8143503665924072,-0.5156713128089905,0.3175584375858307,-0.7432794570922852,-0.1798867583274841,0.2947391915793142,-0.5157423030920735,0.3366575557600089,-0.8141614606645803,0.3178525378672394,-0.7431013594123499,2.2111598163330015,-0.8000414155819158,0.0014441570254077698
36,0.2946009635925293,-0.5155901908874512,-0.5299625396728516,0.2613314092159271,-0.6544327139854431,-0.562028169631958,0.3365976512432098,-0.8141834735870361,-0.4813850820064544,0.3180179893970489,-0.7429978251457214,-0.1796304434537887,0.2941820048878497,-0.5156005631545557,0.3364382105542177,-0.8142289364721134,0.3177338250065936,-0.7430233678212161,2.1832902791047517,-1.6721722336949885,0.0003825094037455154
37,0.2936064898967743,-0.5154538154602051,-0.5303397178649902,0.2610246241092682,-0.6541945338249207,-0.5768764019012451,0.3361307978630066,-0.8141517639160156,-0.5256292223930359,0.3179962038993835,-0.7428407073020935,-0.1797620952129364,0.2935777293660905,-0.5154958872967644,0.3361459615105837,-0.8144632896268786,0.3176823961943047,-0.7429540623047026,2.1316765976258374,-3.096820888734859,0.0002490042461170728
38,0.2925300896167755,-0.5154398083686829,-0.5341997742652893,0.2608848214149475,-0.6541545391082764,-0.5864555239677429,0.3359013795852661,-0.8141710758209229,-0.5379501581192017,0.3178203105926513,-0.7428362369537354,-0.1802865415811538,0.2929992113867946,-0.5154031849220936,0.3357455204676695,-0.8148928969549505,0.3176707193702717,-0.742898872462444,2.052426854711306,-4.754984574871894,0.0008050154378556341
39,0.29214808344841,-0.5153688192367554,-0.5411304235458374,0.2608122825622558,-0.6541539430618286,-0.5997272729873657,0.3353691399097442,-0.8155316114425659,-0.5579668879508972,0.3176800608634949,-0.7428178787231445,-0.1817409098148346,0.2925048143481199,-0.5152923811818061,0.3352209735092138,-0.8154912482389949,0.3176753960642368,-0.7428587430855867,1.9461441525213965,-6.376962131394559,0.0014248260618649146
40,0.2921044826507568,-0.51518714427948,-0.5400078892707825,0.260793924331665,-0.6541146039962769,-0.5955626368522644,0.3351195156574249,-0.8162893056869507,-0.5447177886962891,0.3176053464412689,-0.742824375629425,-0.1817827373743057,0.2921213811775332,-0.5151361994655798,0.3345845719508616,-0.8161748295702533,0.3176840568831852,-0.742827633314133,1.8169699596275977,-7.75045157362793,0.001656515310452731
41,0.2920311093330383,-0.5148879289627075,-0.5222629904747009,0.2607772946357727,-0.6539971232414246,-0.579256534576416,0.3332162201404571,-0.8167983889579773,-0.5405517816543579,0.317615658044815,-0.7428218126296997,-0.1814400553703308,0.2918409208403867,-0.5149163054344563,0.3338754496023446,-0.8168220980962013,0.3176921010149358,-0.7427941730613806,1.6718728238570768,-8.705828146231251,0.0014175237161967319
