Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Neck Green X,Neck Green Y,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Back Orange X_smoothed,Back Orange Y_smoothed,Neck Green X_smoothed,Neck Green Y_smoothed,Leg Pink X_smoothed,Leg Pink Y_smoothed,angles,velocity,roughness
11.0,398.6231995,903.0,469.0,1312.5,552.7211914,734.7211914,434.0,764.8970337,548.2984009,935.5268555,548.251214976641,935.3499172811456,552.5185919545762,734.7940428507494,469.18543628166555,1312.4689905454757,169.2803744262138,3.903721555814741,0.00010984295286677233
12.0,398.6231995,903.0,468.7698364,1312.365112,552.7211914,734.7211914,434.1111145,764.4833374,548.0913696,935.31604,548.1918724850344,935.3920153318224,552.5313429420544,734.7762954454113,469.0100362198104,1312.4288137024157,169.3197370162351,2.3617554012787423,0.0004699333747734496
13.0,398.829071,902.9060059,468.7698364,1312.365112,552.3435669,734.7640991,434.1111145,764.4833374,548.0913696,935.31604,548.1819279642966,935.4171609357988,552.5115069464247,734.761099067133,468.82708213118167,1312.3947619411606,169.33132909222869,0.6955245596145687,0.0010773345707817904
14.0,398.829071,902.9060059,468.7698364,1312.365112,552.3435669,734.7640991,434.1111145,764.4833374,548.0913696,935.31604,548.2155303928124,935.4300962028848,552.480983252522,734.7530486513731,468.6644841496584,1312.3753241504824,169.31909417613485,-0.734094965629879,0.0015041584637909655
15.0,399.2176819,902.9251709,468.7698364,1312.365112,552.3435669,734.7640991,434.2787781,764.2788086,548.368042,935.402771,548.2734857424381,935.4301225931104,552.4596447671288,734.7529827543269,468.53884058030746,1312.3731794255043,169.29198873939427,-1.6263262044350313,0.0014063506535028042
16.0,399.5,903.0,468.3418884,1312.222168,552.3435669,734.7640991,434.2787781,764.2788086,548.368042,935.402771,548.328080846845,935.4093853709128,552.4550451566535,734.759803942897,468.4566428989126,1312.3844808322388,169.26146747535,-1.831275842656055,0.0008570601481035918
17.0,399.2789001,902.8639526,468.0,1312.5,552.3862305,734.8359985,434.2787781,764.2788086,548.368042,935.402771,548.3511106248192,935.3564301140766,552.4596675393789,734.7721592909506,468.41314506607154,1312.4004873061751,169.23818579965584,-1.3969005416498703,0.0002905594738595116
18.0,399.1635132,902.7106934,468.5,1312.5,552.7211914,734.7211914,434.2787781,764.2788086,548.368042,935.402771,548.3217497967239,935.2628442498604,552.4564671614911,734.7892614652892,468.3894361752372,1312.41190855797,169.2290886556216,-0.5458286420537206,8.752962719185964e-05
19.0,399.1635132,902.7106934,468.2988586,1312.5,552.5689697,734.7988281,434.2787781,764.2788086,548.368042,935.402771,548.2320126577212,935.129333679676,552.4295172255556,734.810698756499,468.3540365374863,1312.4148405983897,169.23601633079411,0.4156605103503352,0.00023966342961731198
20.0,399.0,902.5,468.5,1312.5,552.5689697,734.7988281,434.3236694,763.7729492,548.0457153,934.637085,548.0888609356595,934.9671410617972,552.3734447388032,734.8359043344744,468.272657719699,1312.4150371687558,169.2561781192796,1.209707309129726,0.0004385880767994917
21.0,398.8627319,902.0,468.3333435,1312.333374,552.027771,734.9074097,434.3236694,763.7729492,548.0457153,934.637085,547.9122766650701,934.7931197030516,552.2953293391869,734.864478017876,468.12231158721727,1312.4275149499592,169.28386992920883,1.6615085957533893,0.0004364368000785428
22.0,398.6581116,901.777771,468.0,1312.5,552.0571289,734.9761963,433.8624268,763.7513428,547.5425415,934.6528931,547.7291892628194,934.6224747553316,552.2079129085047,734.8977921280822,467.902200673386,1312.4712194458095,169.31245061497103,1.7148411457316115,0.00025447195121068887
