Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,Right_Shoulder (X)_smoothed_smoothed,Right_Shoulder (Y)_smoothed_smoothed,Right_Pinky (X)_smoothed_smoothed,Right_Pinky (Y)_smoothed_smoothed,Right_Hip (X)_smoothed_smoothed,Right_Hip (Y)_smoothed_smoothed,angles,velocity,roughness
25,0.2254660278558731,-0.5725206136703491,-0.3008418083190918,0.26313117146492,-0.7307482957839966,-0.3501633107662201,0.4136908948421478,-0.8951232433319092,-0.3889806568622589,0.3873020112514496,-0.8203134536743164,-0.1813122928142547,0.225489373272864,-0.5725750195664236,0.4142941974903588,-0.894386912063471,0.3871545859034407,-0.8204486225855941,0.2253747994716651,-0.5726057584165433,0.4135367640258934,-0.8950423987997593,0.387295254513281,-0.8203969483312323,-3.184823070655723,11.52963371329287,0.014455410571387477
26,0.225471094250679,-0.5725647807121277,-0.3005741536617279,0.2630543708801269,-0.7308260798454285,-0.3512817323207855,0.413519948720932,-0.8951912522315979,-0.3920173048973083,0.3869636952877044,-0.8205400109291077,-0.1822514683008194,0.2255050352835311,-0.572565862274207,0.415008272768842,-0.8942221190275998,0.3869925930380888,-0.8205311352294234,0.2254269250727025,-0.5725897680785015,0.4141243254915198,-0.8947158295110053,0.3871742084697999,-0.8204508582174739,-3.017340910414156,10.048929614494009,0.008695158153166724
27,0.2254771441221237,-0.5725947022438049,-0.3018318116664886,0.263027936220169,-0.7308265566825867,-0.3554258942604065,0.414410650730133,-0.8954083323478699,-0.3953276574611664,0.3869006335735321,-0.820665180683136,-0.183290958404541,0.2255072556931527,-0.5725689834677362,0.4158551459167692,-0.8941496078213508,0.3868419524627061,-0.8206284658810316,0.2254591849551694,-0.5725814181591483,0.414816648435667,-0.8944894767493021,0.387041057962381,-0.8205218118854452,-2.861055859530278,9.37710305303268,0.003937130587645541
28,0.2254918962717056,-0.572614848613739,-0.3011821806430816,0.2630092799663543,-0.7308369278907776,-0.3551897704601288,0.4148971140384674,-0.8956032395362854,-0.3948738276958465,0.386506587266922,-0.820812463760376,-0.183585524559021,0.2255037616687771,-0.5725797873423533,0.4164733425131942,-0.8943850660599776,0.3867337548545029,-0.8207274738138459,0.2254771581791461,-0.5725807381185283,0.415479888176649,-0.8944470406127492,0.3869178163439926,-0.8206038365545814,-2.7192238744881116,8.50991910252998,0.0014604218465892433
29,0.2255002707242965,-0.57261061668396,-0.3010984063148498,0.2629329860210418,-0.7308381199836731,-0.3565545380115509,0.4153418838977813,-0.8957529664039612,-0.3960874378681183,0.3864953517913818,-0.8208645582199097,-0.1841129511594772,0.2254987739951472,-0.5725930377674429,0.416365287591738,-0.8952350122165831,0.3866853593232173,-0.8208168383317531,0.2254859130982804,-0.5725856430085379,0.4158347537143112,-0.8947613149199745,0.38682456830015,-0.820688785802508,-2.6155005164759695,6.22340148072853,0.001076128110289405
30,0.2255044132471084,-0.5726126432418823,-0.3016394674777984,0.2628426551818847,-0.7308404445648193,-0.3579487204551697,0.4174225032329559,-0.8949508666992188,-0.3966634571552276,0.3865509927272796,-0.8208882808685303,-0.1843344569206237,0.2254934761600854,-0.5726050259530312,0.4150673537503905,-0.8969751203262833,0.3866905412525546,-0.8208906361070591,0.22548899633287,-0.5725933925908527,0.4155283695471385,-0.8956460603477434,0.3867708006372365,-0.820769342496474,-2.590072966545323,1.5256529958387866,0.0033127902837222153
31,0.2255090773105621,-0.5726073980331421,-0.3023543059825897,0.2626601457595825,-0.7307628989219666,-0.3598444163799286,0.4195028245449066,-0.8943284153938293,-0.399280697107315,0.3866397738456726,-0.8209272623062134,-0.1847372353076934,0.2254874321387352,-0.572614174642698,0.4123867788996305,-0.8996813997387254,0.3867184124112761,-0.820948566209851,0.2254883839356525,-0.5726017090846529,0.4142720682003775,-0.8972597237607655,0.3867497939568752,-0.8208409398321341,-2.6865438420490997,-5.788252530226599,0.010841928534063777
32,0.2255076617002487,-0.5726091265678406,-0.3018385469913482,0.2626545131206512,-0.7306773662567139,-0.3595165908336639,0.4181028604507446,-0.897448718547821,-0.4010506868362427,0.3868729770183563,-0.8209550976753235,-0.1847967058420181,0.2254800525630684,-0.5726203560855058,0.4085994476704715,-0.903097825473494,0.3867232839481285,-0.8209935195748113,0.2254850363365481,-0.5726091744403756,0.4120031245630876,-0.8995947976563275,0.3867392112830575,-0.8209019565956984,-2.932173247380802,-14.737764319902151,0.025037576321732764
33,0.225476786494255,-0.5726020336151123,-0.2993542850017547,0.2626478970050812,-0.7306432127952576,-0.3588181436061859,0.3929616808891296,-0.915552258491516,-0.4043816328048706,0.3870128691196441,-0.8209572434425354,-0.1847997456789016,0.2254713128858003,-0.5726236670242402,0.4044439564489989,-0.9066562789566966,0.3866626208807179,-0.8210284494622978,0.2254795208883745,-0.5726149776670677,0.4089794053198364,-0.9024194393729073,0.3867086298401162,-0.8209525851060469,-3.3200492398226684,-23.27255954651197,0.03982377286593693
34,0.2254157811403274,-0.5726071000099182,-0.2993173897266388,0.2626697719097137,-0.7306238412857056,-0.3586351573467254,0.3948887288570404,-0.9126549363136292,-0.403984397649765,0.3867726624011993,-0.8210787177085876,-0.1848048418760299,0.2254613001246092,-0.5726234335055411,0.4008360515298538,-0.9096865097480362,0.3865155015725374,-0.8210545003072759,0.2254722081977018,-0.5726183641696685,0.405721941710857,-0.9053264200651912,0.3866314353188178,-0.8209933986661666,-3.804187397224674,-29.04828944412032,0.04313230893802626
35,0.2254089266061782,-0.5726364254951477,-0.2980058789253235,0.2626678943634033,-0.7306200265884399,-0.3577302098274231,0.3973928391933441,-0.9122220277786256,-0.4038274586200714,0.3861894011497497,-0.8211293816566467,-0.1848839074373245,0.2254489206662052,-0.5726180005717725,0.3984643091973744,-0.9116886031359224,0.386292274746582,-0.8210713948498105,0.2254628769168804,-0.5726182205619346,0.4028187644023489,-0.9078714572025904,0.3864958122405744,-0.821024639397817,-4.312161812954388,-30.478464943782846,0.029849495900022425
36,0.2254292368888855,-0.5726335644721985,-0.2979967892169952,0.2626856565475464,-0.7305955290794373,-0.357759416103363,0.3981015980243683,-0.9114161729812622,-0.403953492641449,0.3859533965587616,-0.8211358189582825,-0.1851044595241546,0.2254309140161721,-0.5726053932035845,0.3975471697604084,-0.9124810698848456,0.3860303291321391,-0.82107942513352,0.2254500847204619,-0.5726130896346777,0.4007100377314022,-0.909715424000762,0.3863096394674891,-0.8210465806259453,-4.768453761652223,-27.37751692187011,0.011135478135754034
37,0.2254385501146316,-0.5725724101066589,-0.2981156408786773,0.2626731097698211,-0.7304067611694336,-0.3582309186458587,0.3998712301254272,-0.9112364053726196,-0.40425506234169,0.3856457769870758,-0.8210425972938538,-0.1851154118776321,0.2254022958490321,-0.572584320655841,0.39786977069256,-0.9121674439324922,0.3857791808433926,-0.8210810503366569,0.2254309692510311,-0.572601581063805,0.3995738876873574,-0.910696294743929,0.3860974591594249,-0.8210603791301787,-5.115923039546299,-20.84815667364456,0.004515039642861862
