Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),corrected_angles,Right_Elbow (X)_smoothed,Right_Elbow (Y)_smoothed,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
24,0.3153301775455475,-0.4544442296028137,-0.4466515779495239,0.5027458071708679,-0.5327945351600647,-0.4680281579494476,0.7487654685974121,-0.5486841797828674,-0.3011762499809265,161.00774452952805,0.5027015246547522,-0.5327964618475928,0.3153343323956515,-0.4544294314201836,0.7487845385924969,-0.5486793404331389,160.98981514446146,0.2315219492737696,6.8061783292734085e-06
25,0.3153438866138458,-0.4544672966003418,-0.4482971131801605,0.5027324557304382,-0.5328212380409241,-0.4691887497901916,0.7488521933555603,-0.5486802458763123,-0.2991507351398468,160.9952528795983,0.5027168167806325,-0.5328273044499234,0.3153651992936965,-0.4544717605139571,0.7488427223586974,-0.548680403495093,160.98962986693394,-0.0111166516512639,1.8869424112904784e-05
26,0.3153740167617798,-0.4544866979122162,-0.4476853609085083,0.5026760697364807,-0.5328785181045532,-0.4676820933818817,0.7489928603172302,-0.5486575365066528,-0.2967373430728912,160.95450233112035,0.5027422900579401,-0.5328596037659111,0.315414551960985,-0.4545224326416371,0.7489549394123064,-0.5486687375215855,160.98579840707626,-0.2298875914607379,3.0034235624752535e-05
27,0.3154696822166443,-0.4545595347881317,-0.4473341405391693,0.5027244091033936,-0.5329089164733887,-0.4667614102363586,0.7490209937095642,-0.5486572980880737,-0.2950193583965301,160.9535969592605,0.5027832957803227,-0.5328935597263423,0.3154790456013309,-0.4545780986747484,0.7490939350163559,-0.548649366442295,160.97921299940973,-0.3951244599920755,3.192671162096016e-05
28,0.3156003355979919,-0.4546713232994079,-0.4470738470554352,0.502823531627655,-0.5329175591468811,-0.4663257598876953,0.7493692636489868,-0.548612654209137,-0.2941852807998657,160.96100745332,0.5028379285429628,-0.5329297511937009,0.3155524160787182,-0.4546337629719962,0.7492328587577113,-0.5486278220711058,160.97062607282814,-0.5152155948951531,2.492570243829251e-05
29,0.3156266510486603,-0.4547013938426971,-0.4478398263454437,0.5028177499771118,-0.5329506993293762,-0.4708498120307922,0.7494006156921387,-0.5485924482345581,-0.3135245442390442,160.94381968380344,0.5028940447947605,-0.5329685883833833,0.315627061802913,-0.4546840746617628,0.7493502405013768,-0.5486088134337515,160.9601432863664,-0.6289671877050296,1.6405573523772253e-05
30,0.3157033324241638,-0.4547283947467804,-0.4478704333305359,0.5028604865074158,-0.5329949259757996,-0.470231294631958,0.7494229078292847,-0.5485908389091492,-0.3118288218975067,160.92532477542204,0.5029295474918769,-0.5330094737496688,0.3156958651047851,-0.4547249113052389,0.7494332180920771,-0.5485952910460733,160.9470808217396,-0.7837478776070839,1.2553882907946448e-05
31,0.315686970949173,-0.4547416865825653,-0.4512333869934082,0.5028630495071411,-0.5330461859703064,-0.4729610681533813,0.74942946434021,-0.5485906004905701,-0.3170886635780334,160.90551696050932,0.5029163949899497,-0.533050275610748,0.3157533951114503,-0.454754348450402,0.7494778040714657,-0.5485881247824117,160.9301997935761,-1.0128616898106202,1.6086910902436706e-05
32,0.3157974779605865,-0.4547575712203979,-0.4510180950164795,0.502869188785553,-0.5330722332000732,-0.4715088903903961,0.7494524121284485,-0.5485911965370178,-0.3138727247714996,160.88535291537596,0.5028287011035952,-0.533087611018763,0.3157967245776753,-0.454772777574464,0.749486593156139,-0.5485864472845811,160.90821120677157,-1.3193152082715187,2.861706304931126e-05
33,0.3158672749996185,-0.4547829329967499,-0.4520610868930816,0.5028649568557739,-0.5331404805183411,-0.4725987911224365,0.7494612336158752,-0.548592209815979,-0.3122463226318359,160.85034504031523,0.5026543858924593,-0.533118009049101,0.3158268704708676,-0.4547827236239207,0.7494660462118784,-0.5485884070444931,160.8804261261208,-1.667104839046374,4.844712130362085e-05
