Frame #,Head Pink X,Head Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Head Pink X_smoothed,Head Pink Y_smoothed,angles,velocity,roughness
11.0,265.6745605,1011.737793,929.7081909,917.3291626,447.8422546,991.5,681.2055664,965.7277832,447.85295674839966,991.4611478550074,966.866919081012,917.4837077843,265.64754500360226,1011.866364961902,173.51933460470653,190.3446047394732,49.44693174429263
12.0,265.7202759,1011.732056,929.7081909,917.3291626,447.8422546,991.5,681.2678223,965.6381836,447.88086818294227,991.4598742881236,955.822266930524,917.5268480742744,265.7289955587049,1011.7428902792416,175.34054113423466,109.27239177168758,21.867760399324737
13.0,265.4624939,1011.509705,929.8283691,917.4014282,447.8422546,991.5,681.1209717,965.6430664,447.9612127718116,991.448787216457,941.6880523938744,917.503710372896,265.8012434941743,1011.6348114137512,176.3265604214762,59.16115723449195,9.216213543840482
14.0,265.8893127,1011.462036,930.0154419,917.3719482,448.1551208,991.3102417,681.1209717,965.6430664,448.079610483148,991.4371831470183,930.2945431623896,917.4101992448368,265.8895705129315,1011.5580388021182,176.82575296335375,29.951552512653738,3.720101053810029
15.0,266.1504822,1011.631531,930.1422729,917.5098877,448.1551208,991.3102417,681.1828003,965.8790283,448.21360693172545,991.4333876340668,923.8973480326464,917.2435692969484,266.0034854133972,1011.518919896895,177.06576458965432,14.400697578034285,1.4078623452401406
16.0,266.2493286,1011.451233,930.1876831,917.15802,448.5,991.5,681.1209717,965.6430664,448.33919454059344,991.4406469493358,922.1910868561336,917.0087782371628,266.14083402018656,1011.513901361765,177.18349187122328,7.06363689413763,0.4811190126764988
17.0,266.3319397,1011.538025,930.2377319,916.8100586,448.5,991.5,681.0,965.5,448.43776527667296,991.456477502332,923.5925445572352,916.7232665939584,266.2945194053784,1011.5323346144094,177.2506555650321,4.029821628529362,0.1419240140703826
18.0,266.3431091,1011.588562,930.1154175,916.1686401,448.5,991.5,680.9399414,965.6005859,448.50071551628855,991.4753612142572,926.303702843542,916.4141418855228,266.4561230113169,1011.560254323816,177.29757310679895,2.8150525060107157,0.03469939448281569
19.0,266.392395,1011.568237,930.2208862,915.9064941,448.5,991.5,681.0,965.5,448.5298474760218,991.4921021779984,928.9465873477338,916.1079789142384,266.6151779800173,1011.5841875866154,177.33248643227438,2.094799528525755,0.007010172416877947
20.0,266.9221191,1011.734985,930.3320313,915.7641602,448.5,991.5,681.0865479,965.3942261,448.5340552983249,991.5036439300388,930.7810830771735,915.819929446346,266.75798384296945,1011.5947011267934,177.35463826364932,1.329109882496482,0.0013979935851808878
21.0,266.9713135,1011.595642,930.3046265,915.5327759,448.5,991.5,681.1744385,965.4735107,448.5246593103806,991.5091616854966,931.6341973359434,915.549680345814,266.87013569474857,1011.5887748548744,177.36167714240625,0.4223327254157993,0.0005303522653563014
22.0,266.9717712,1011.497314,930.3046265,915.5327759,448.5,991.5,681.1744385,965.4735107,448.51161557486705,991.50929665937,931.6946803345844,915.2865120250073,266.94225302389543,1011.5696453340062,177.3530203993631,-0.5194045825896865,0.00048491820182071995
23.0,266.9717712,1011.497314,930.4346924,915.0583496,448.5,991.5,681.1744385,965.4735107,448.5015045298897,991.5053452111512,931.2952854917312,915.019370563212,266.97454092566136,1011.5438670926352,177.33065502692912,-1.341922346038018,0.0005288640348928563
24.0,266.9717712,1011.497314,930.2149048,914.6550903,448.5,991.5,681.1070557,965.2507935,448.4971248498665,991.4988436246384,930.7520056566792,914.7455179716058,266.97728412327876,1011.5174446164016,177.29849856746236,-1.9293875680057224,0.00047960035656487144
25.0,266.9717712,1011.497314,930.1251831,914.5639038,448.5,991.5,681.059021,964.9144287,448.49807544553266,991.4916261346682,930.2803241805564,914.4741610330718,266.9680472902911,1011.4935330420494,177.26123938662727,-2.2355508501055965,0.00032557732364942753
