Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Neck Green X,Neck Green Y,Back Orange X_smoothed,Back Orange Y_smoothed,Neck Green X_smoothed,Neck Green Y_smoothed,Leg Pink X_smoothed,Leg Pink Y_smoothed,angles,velocity,roughness
11.0,375.0,1233.5,468.1699219,1696.169922,424.0,1068.4021,520.5,1245.5,544.1219482,1016.0,520.5367728070794,1245.5363584860838,544.0950343601355,1015.8216253264223,468.1630062861719,1696.168353406254,179.2208151245041,0.2123659999170968,3.7819458247944944e-06
12.0,375.0,1233.5,468.1699219,1696.169922,424.3928528,1068.273804,520.5,1245.5,544.2347412,1016.05719,520.5973788097853,1245.5393000936083,544.1793500104478,1015.916132145854,468.16322530607783,1696.1684496443415,179.22316121010516,0.1407651360636919,2.95865162244829e-06
13.0,375.0,1233.5,468.1699219,1696.169922,424.2893066,1068.163574,520.597229,1245.648193,544.2347412,1016.05719,520.6603230549939,1245.5349501586556,544.2458215199473,1015.9809891699712,468.1655495540766,1696.169080697601,179.22260683440334,-0.0332625421094689,2.6890904442447064e-06
14.0,375.0,1233.5,468.1699219,1696.169922,424.2787781,1068.278809,520.8201904,1245.5,544.206543,1015.895691,520.7203131066502,1245.5250296497882,544.2932770201202,1016.0119173877796,468.16863042127574,1696.169979647502,179.21865816221478,-0.2369203313133994,9.50656949100422e-06
15.0,375.0,1233.5,468.1699219,1696.169922,424.3986816,1068.130737,520.8201904,1245.5,544.3673706,1016.048401,520.7704440988603,1245.5127615047782,544.3235639260686,1016.0152888256658,468.17145141830065,1696.1708872025697,179.21219011420922,-0.3880828803335134,1.764851920583318e-05
16.0,375.0,1233.5,468.1699219,1696.169922,424.6000061,1068.483276,520.8201904,1245.5,544.4039917,1016.010864,520.8058590302995,1245.502359480591,544.3413218563359,1016.0038436719924,468.17331099130064,1696.171528673432,179.20493498859088,-0.4353075371005843,1.636005288365866e-05
17.0,375.0,1233.5,468.1699219,1696.169922,424.5,1068.246948,520.8201904,1245.5,544.3754883,1015.961548,520.8259305298564,1245.497666686303,544.3543289999074,1015.991993723812,468.1736977231036,1696.1715955631769,179.19885160203248,-0.3650031935040942,7.297005075259789e-06
18.0,375.0,1233.5,468.1699219,1696.169922,424.8639526,1068.489746,520.8201904,1245.5,544.3754883,1015.961548,520.8338727779745,1245.5008090824929,544.3731031530036,1015.9918206969,468.1722291760894,1696.170784405821,179.19574307765802,-0.1865114624672514,3.1006838260160777e-06
19.0,375.0,1233.5,468.1699219,1696.169922,424.8639526,1068.489746,520.8201904,1245.5,544.3754883,1015.961548,520.8347222474395,1245.511150859793,544.4085286818769,1016.009863738348,468.1687647972796,1696.1689243216597,179.19708487467923,0.0805078212727039,1.246552019338286e-05
20.0,375.0,1233.5,468.1699219,1696.169922,424.75177,1068.46814,520.8201904,1245.5,544.4039917,1016.010864,520.8330911159105,1245.524477908588,544.4679385974597,1016.0453184801886,468.1637020140714,1696.1661829758502,179.20388059920748,0.4077434716947437,3.3370011685138745e-05
21.0,375.0,1233.5,468.1699219,1696.169922,424.75177,1068.46814,520.8201904,1245.5,544.3609619,1016.086548,520.831545200399,1245.5325988074096,544.5515319103204,1016.0904980357782,468.15834103622905,1696.1632830311898,179.2164939431604,0.7568006371752745,5.675684161052145e-05
22.0,375.0,1233.5,468.1699219,1696.169922,425.0,1068.390991,520.8201904,1245.5,544.8425293,1016.151306,520.8299083338254,1245.5238991217427,544.6515527008161,1016.1337874371596,468.1550847946892,1696.1616013933062,179.23460184967846,1.086474391083243,7.22554744220073e-05
