Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Neck Green X,Neck Green Y,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Back Orange X_smoothed,Back Orange Y_smoothed,Neck Green X_smoothed,Neck Green Y_smoothed,Leg Pink X_smoothed,Leg Pink Y_smoothed,angles,velocity,roughness
21.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.0,547.5,934.5,547.4842526344788,934.564644812309,545.9475360702864,737.4648072861729,472.5339570153884,1307.5129441811448,168.19786118910235,-0.310502515819735,0.0001385415296207659
22.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.0,547.5,934.5,547.4786253692029,934.5592338669186,545.9743832767456,737.4754950879064,472.5259829470764,1307.5140302631958,168.1984562152584,0.0357015693629136,0.00018384321698084133
23.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.0,547.5,934.5,547.4883731964694,934.5195770203272,545.9976670060828,737.4888086604611,472.5131545197236,1307.5100072497014,168.19943020083463,0.0584391345734047,0.00012359455170047744
24.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.0,547.5,934.5,547.5269810599033,934.4318534322192,546.0117174043044,737.49950138412,472.5018595375065,1307.5046161327248,168.19510088047122,-0.2597592218046429,4.007196645581807e-05
25.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.0,547.5,934.5,547.6022751105921,934.2912093189552,546.0158929730138,737.5055414122166,472.4949372872668,1307.500188332505,168.18085399988902,-0.854812834931522,3.784752710996762e-05
26.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.0,547.5,934.5,547.7123441505023,934.108607311541,546.0124214484215,737.5072232532376,472.492547523845,1307.497653695827,168.1544018360547,-1.587129830060121,0.0001362483058038847
27.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.5,548.0,933.5,547.8448431419503,933.9109470052682,546.0046062947827,737.5060115508855,472.4933890414803,1307.4969311906243,168.11653794968035,-2.271833182460341,0.0002534839212147606
28.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.5,548.0,933.5,547.9817035436279,933.7315426857484,545.9958142501462,737.5035727636275,472.4957721824795,1307.4974265620936,168.07083101690455,-2.7424159665480374,0.00028417029157370576
29.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.5,548.53125,933.625,548.1074564412655,933.5961009182896,545.9891546736861,737.5011906797653,472.498306687484,1307.498448302295,168.02214237127376,-2.9213187378474004,0.00020328580139536358
30.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.5,548.0,933.5,548.215344464003,933.513805739518,545.987447309963,737.4995603810376,472.50018251333177,1307.4994597365303,167.97476549866818,-2.8426123563349392,8.579319270352968e-05
31.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.5,548.0,933.5,548.3062848240014,933.477658295675,545.9929909552136,737.4988464618455,472.5011486524816,1307.5001690364943,167.93145041004573,-2.5989053173469756,1.8169774217851716e-05
32.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.5,548.5,933.5,548.3825155259258,933.4707153831248,546.0067870986502,737.4988660325736,472.5013349403441,1307.5005051203902,167.89376256186813,-2.261270890655851,1.8768023667268632e-05
33.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.5,548.5,933.5,548.4430271123751,933.4736289520662,546.0272088252337,737.4992854835947,472.5010415672742,1307.5005388552947,167.8628529841306,-1.8545746642519136,5.4038161620624754e-05
34.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.5,548.5,933.5,548.4844955927531,933.4712350218524,546.0485707616041,737.4997696231604,472.5005735042996,1307.500397906653,167.8395111307496,-1.4005112028598887,9.263724315193595e-05
35.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.5,548.5,933.5,548.5047687611631,933.4574039022305,546.0605280240576,737.5000679084615,472.500148522077,1307.5002033778096,167.8234581116932,-0.9631811433831672,0.00011893231699682096
36.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.5,548.5,933.5,548.5051199421307,933.4377297392638,546.0495138951773,737.5000516597006,472.4998726288141,1307.5000371064218,167.81266480207967,-0.6475985768128112,0.0001182022091738592
37.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.5,548.5,933.5,548.4907716949419,933.4295702998974,546.003262183735,737.4997251179662,472.49975960417225,1307.499935376506,167.80338003085978,-0.5570862731929083,8.171141568044595e-05
38.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.5,548.5,933.5,548.47070836549,933.4587110799636,545.9186125715743,737.4992257162639,472.4997688578294,1307.499898918224,167.79113314597956,-0.7348130928136243,3.162080037284978e-05
39.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.5,548.5,933.5,548.4570966328539,933.5521047544012,545.8111852546606,737.4988125822679,472.49984212588294,1307.4999088523443,167.77265194742404,-1.1088719133311995,1.447818504249898e-05
40.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.5,548.5,933.5,548.4637320974217,933.7274262311248,545.7233957520467,737.4988262617726,472.49992870701453,1307.4999411760562,167.74833106151175,-1.4592531547373255,3.923353902560667e-05
41.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.5,548.5,933.5,548.5026652462928,933.9830168357328,545.7254242287947,737.4995960935094,472.4999969982165,1307.4999761785516,167.7244994883357,-1.4298943905623671,4.564318200326149e-05
42.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,431.0,765.5,548.3435669,934.7640991,548.5788972158608,934.2946272437874,545.9034519264701,737.5012820341245,472.5000351502633,1307.5000023111895,167.7143323498974,-0.6100283062983181,4.211576699741497e-05
43.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.5,548.3435669,934.7640991,548.6853577971368,934.6231027274366,546.3323479080574,737.5036683517046,472.5000455930024,1307.5000158894395,167.73599753418827,1.29991105745205,0.00036644196212827035
44.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.5,549.3063354,934.9008789,548.802943001607,934.928519700143,547.037446218043,737.505973358533,472.5000378319064,1307.5000186083978,167.8069846860419,4.259229111216882,0.0016339071565180641
45.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.5,548.9545288,935.1136475,548.9082555011707,935.1812522967324,547.9625292775263,737.5067874073028,472.50002242796074,1307.500014598697,167.93559781044092,7.716787463942296,0.003926859809873976
