Frame #,Right_Knee (X),Right_Knee (Y),Right_Knee (Z),Left_Knee (X),Left_Knee (Y),Left_Knee (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Left_Hip (X),Left_Hip (Y),Left_Hip (Z),Nose (X),Nose (Y),Nose (Z),corrected_angles,Left_Hip (X)_smoothed,Left_Hip (Y)_smoothed,Left_Knee (X)_smoothed,Left_Knee (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,angles,velocity,roughness
21,0.5847723484039307,-0.730932354927063,0.1862378120422363,0.4419589936733246,-0.7207418084144592,0.0333514437079429,0.5680720210075378,-0.5801445841789246,0.0343824103474617,0.4470855295658111,-0.5808883905410767,-0.0345824658870697,0.5216473340988159,-0.326490044593811,0.3174265325069427,194.2360509957746,0.4470740696959439,-0.5808888442408418,0.4419640880465552,-0.7206271645618774,0.5217170941265671,-0.3265002431129625,194.29595015862353,-1.496456342781585,4.272539464453896e-07
22,0.5847755074501038,-0.7309731245040894,0.1857763081789016,0.4419421851634979,-0.7208110094070435,0.0330534800887107,0.5680605173110962,-0.580166220664978,0.0342966616153717,0.4470853507518768,-0.5809043049812317,-0.034498456865549,0.5215701460838318,-0.3265092670917511,0.3171092569828033,194.21427626022415,0.4470856194885489,-0.5809052073547718,0.4419731660329751,-0.7207209386478668,0.5216347070320131,-0.3265065925379133,194.27300805148573,-1.3765264282676526,1.4205010806124782e-06
23,0.5848134756088257,-0.7310769557952881,0.1855899542570114,0.4419706165790558,-0.7208623290061951,0.0333408378064632,0.5680481195449829,-0.580168604850769,0.0337757281959056,0.4470822215080261,-0.5809105634689331,-0.0339790694415569,0.5215647220611572,-0.3265178799629211,0.3168449997901916,194.2275239863378,0.447103163332136,-0.5809225519689813,0.4419928329274211,-0.7207975726219628,0.521574904589171,-0.3265125844600143,194.25325169932435,-1.1853811296828098,6.328357323385835e-06
24,0.5849506258964539,-0.731172502040863,0.1852196902036667,0.4420080780982971,-0.7208648324012756,0.0335684642195701,0.5680474042892456,-0.5801957845687866,0.0331145524978637,0.4471037089824676,-0.5809505581855774,-0.0333203636109828,0.5215483903884888,-0.326520025730133,0.3132728040218353,194.2233536218966,0.4471269356808001,-0.5809399168602899,0.4420229882731913,-0.7208493276846281,0.5215376910803774,-0.3265186303436758,194.23731231537528,-0.9563630369444808,1.6165505085804953e-05
25,0.5851336717605591,-0.7312428951263428,0.1839896440505981,0.4420771598815918,-0.7208350896835327,0.0318849235773086,0.5680490732192993,-0.5801988840103149,0.0330394804477691,0.4471612572669983,-0.5809531807899475,-0.0332465358078479,0.5215385556221008,-0.3265206515789032,0.3130713403224945,194.2134897303797,0.4471554601117386,-0.5809560093919164,0.4420611119370465,-0.7208770512375005,0.5215183004065955,-0.3265249994725821,194.22517616862004,-0.7281688053143398,2.6946165324492095e-05
26,0.5850741267204285,-0.7312475442886353,0.1841609925031662,0.4421288669109344,-0.7208319902420044,0.0321213752031326,0.5680399537086487,-0.5802212953567505,0.0331959016621112,0.4471842050552368,-0.5809755921363831,-0.0333975628018379,0.5215275883674622,-0.3265268206596374,0.3120642006397247,194.21685594856933,0.4471857820624856,-0.5809696122023621,0.4421033877105445,-0.7208870971588929,0.5215096613082733,-0.3265316440478351,194.21642661741365,-0.5249730723835455,3.243991859714676e-05
27,0.5850934982299805,-0.7313276529312134,0.1840731352567672,0.4421635866165161,-0.720892608165741,0.0321297943592071,0.5680435299873352,-0.5802247524261475,0.0332303717732429,0.4472430050373077,-0.5809815526008606,-0.0334311164915561,0.5215128660202026,-0.3265354931354522,0.311771035194397,194.19272534755504,0.4472144814619426,-0.5809799638069174,0.4421463111816523,-0.7208870906308508,0.5215048348822889,-0.326538004849054,194.21056312327303,-0.3518096484367561,3.068121685441144e-05
28,0.5850945115089417,-0.7313303351402283,0.1840017884969711,0.4421872198581695,-0.7208921313285828,0.0325730480253696,0.5680307149887085,-0.5802304148674011,0.0331619381904602,0.4472497999668121,-0.5809885859489441,-0.0333622582256794,0.5215001702308655,-0.3265433311462402,0.3117459416389465,194.1955050308868,0.4472389207097241,-0.5809869849993218,0.4421878054243018,-0.7208827663105188,0.52149855942521,-0.3265429564795624,194.20716869650292,-0.2036656062068687,2.476968297015599e-05
29,0.5851403474807739,-0.731300413608551,0.1816199123859405,0.4422142505645752,-0.7208461761474609,0.0315892957150936,0.5680005550384521,-0.5802291035652161,0.0326583907008171,0.4472541809082031,-0.580991804599762,-0.0328620858490467,0.5214819312095642,-0.3265449702739715,0.3115777671337127,194.19925452083564,0.4472580403597181,-0.5809913135051801,0.442227299808923,-0.7208765305389226,0.5214878061174669,-0.3265449684656827,194.20586772803145,-0.0780581082881326,1.8420876332921546e-05
30,0.5852013826370239,-0.7312977910041809,0.1815996766090393,0.4422366023063659,-0.7208448052406311,0.0315985679626464,0.5679903626441956,-0.5802314281463623,0.0325970761477947,0.4472615420818329,-0.5809945464134216,-0.0328007526695728,0.5214617252349854,-0.3265455365180969,0.3110261261463165,194.19947498027835,0.4472723457211255,-0.5809941709818436,0.4422649926660127,-0.720867219737017,0.52147169848139,-0.3265424293713856,194.20618746667807,0.0191843187974427,1.303448360642468e-05
31,0.5853195786476135,-0.7312726974487305,0.1814977377653122,0.4423027336597442,-0.7208457589149475,0.0312089323997497,0.5679873824119568,-0.5802251100540161,0.0326222628355026,0.4472773671150207,-0.5809946656227112,-0.0328255146741867,0.5214534997940063,-0.3265329301357269,0.3109966218471527,194.2143098462801,0.4472832896635754,-0.5809971169757194,0.4423010528292981,-0.7208506792529518,0.5214512732657076,-0.3265340249168369,194.20749707534793,0.0785765201914046,8.36629474201402e-06
32,0.5855651497840881,-0.7313001155853271,0.1821702867746353,0.4423412680625915,-0.7208402752876282,0.0325908027589321,0.5679847598075867,-0.580226480960846,0.0326176211237907,0.4472973048686981,-0.5810067653656006,-0.0328214913606643,0.5214418768882751,-0.3265217244625091,0.3094402253627777,194.21370489120065,0.4472925816475781,-0.5810017495904009,0.4423354690651094,-0.7208213252072708,0.5214294190123644,-0.3265190826289839,194.20913858156263,0.0984903728817698,4.330159641920404e-06
33,0.5856091380119324,-0.731301486492157,0.1821766346693039,0.442392885684967,-0.7207884192466736,0.0329335480928421,0.5679566860198975,-0.5802271962165833,0.0325910188257694,0.447302371263504,-0.5810089707374573,-0.0327957347035408,0.5214325785636902,-0.3265077173709869,0.3111109137535095,194.22801698440432,0.4473017792418855,-0.5810093838205623,0.4423686826659303,-0.7207746338130839,0.5214109795323019,-0.3264978326890394,194.2107486674944,0.0966051559072411,1.558376883674763e-06
34,0.5856266617774963,-0.7313161492347717,0.1824647486209869,0.442433625459671,-0.7207943797111511,0.0343656279146671,0.5679508447647095,-0.5802339315414429,0.0326196476817131,0.4473144710063934,-0.5810160040855408,-0.0328243747353553,0.521426796913147,-0.3264679312705993,0.3106347620487213,194.23318696410345,0.4473121338559166,-0.5810206955050348,0.4424024645048218,-0.7207098140880996,0.5214026197722468,-0.326471527064978,194.21265081978652,0.1141291375262198,3.800859054384254e-07
35,0.5856334567070007,-0.7313160300254822,0.1824862360954284,0.4424451887607574,-0.720610499382019,0.0367656759917736,0.5679181218147278,-0.5802353024482727,0.0324733294546604,0.4473196268081665,-0.581015944480896,-0.0326785705983638,0.5214293599128723,-0.3264549076557159,0.3106363117694855,194.23186120844295,0.4473244894395818,-0.5810353505266407,0.4424401886770768,-0.7206314997733907,0.5214118640262114,-0.3264423299776605,194.21609862065736,0.2068680522506838,7.153284439766777e-07
36,0.585639476776123,-0.7313187122344971,0.1832558065652847,0.4424752295017242,-0.7205497622489929,0.0402392745018005,0.5679111480712891,-0.5802745819091797,0.0324366874992847,0.4473388493061065,-0.5810540318489075,-0.0326425284147262,0.5214026570320129,-0.3264024555683136,0.3090634047985077,194.21988953374796,0.4473391318230715,-0.5810517892420445,0.4424858829875069,-0.7205494988351435,0.5214449014363691,-0.3264129201710271,194.22311676712695,0.4210887881754388,5.312964790567808e-06
37,0.5856397747993469,-0.7313023209571838,0.1834461241960525,0.4424828588962555,-0.7204349637031555,0.0397531986236572,0.5678929090499878,-0.5802847743034363,0.0327557064592838,0.4473442435264587,-0.5810636878013611,-0.0329610966145992,0.5214123129844666,-0.3263806700706482,0.3070157766342163,194.21801280338525,0.447355647468159,-0.5810674271668659,0.4425421327149251,-0.7204765993205449,0.5215034474017065,-0.3263858439459394,194.23580171153105,0.7610966642459971,2.1518896339046395e-05
38,0.585651695728302,-0.7313243746757507,0.1837043613195419,0.4425268173217773,-0.7204326391220093,0.041799072176218,0.5678475499153137,-0.5803190469741821,0.0323290154337883,0.4473717510700226,-0.5810931324958801,-0.0325366780161857,0.5214555859565735,-0.3263492286205292,0.3033161163330078,194.22391135463135,0.4473729325548228,-0.5810793627865602,0.4426078408643036,-0.7204255381539155,0.5215821373105676,-0.3263627999670018,194.2552584114684,1.1674019962401871,5.2001854829216106e-05
39,0.5856354236602783,-0.7313252091407776,0.1840126514434814,0.4427278935909271,-0.7204179763793945,0.0415469035506248,0.5678026080131531,-0.5803213715553284,0.0323022827506065,0.4474027156829834,-0.5810970664024353,-0.032510545104742,0.5218028426170349,-0.3263382911682129,0.3017533719539642,194.35819228381416,0.4473894713834375,-0.5810853637327686,0.4426774612807824,-0.7204063922444378,0.5216687537322161,-0.3263441561308789,194.28072860628984,1.5282116892871045,8.060662972614125e-05
40,0.5855870842933655,-0.7313222289085388,0.184067815542221,0.4428029060363769,-0.7204176783561707,0.0414086058735847,0.5677369236946106,-0.5803235173225403,0.0324083268642425,0.4474079012870788,-0.581100344657898,-0.03261698782444,0.5218425393104553,-0.3263357877731323,0.3019366264343261,194.3936295957773,0.4474038422901036,-0.5810846998383764,0.44274274598277,-0.7204247947895779,0.5217483681302036,-0.3263289612375396,194.30953924370175,1.7286382447144888,8.03197530484462e-05
41,0.5855791568756104,-0.7313223481178284,0.1840248852968216,0.4428228735923767,-0.7204248905181885,0.0383494831621646,0.5676760077476501,-0.5802984237670898,0.0329391881823539,0.447414368391037,-0.5810714364051819,-0.0331450402736663,0.5218459367752075,-0.3263217806816101,0.3019405305385589,194.39993075907088,0.4474151989207833,-0.5810784163517964,0.4427961684896302,-0.7204806535882634,0.5218092722842922,-0.3263154743438881,194.33800814661012,1.7081341745023335,4.718181405175934e-05
42,0.5855571627616882,-0.7314398288726807,0.1846983134746551,0.4428337812423706,-0.7205183506011963,0.0382269695401191,0.5676351189613342,-0.5802962183952332,0.0332671739161014,0.447420209646225,-0.5810580849647522,-0.0334719531238079,0.5218313932418823,-0.3263116478919983,0.3018855154514313,194.3994248704268,0.4474234795885182,-0.581068898340737,0.4428337710045827,-0.7205673419880549,0.5218467780183884,-0.3263019440870495,194.36274997600808,1.4845097638772131,1.4202752198216283e-05
43,0.5855485200881958,-0.7315319776535034,0.1855663806200027,0.4428479373455047,-0.720713198184967,0.0380380563437938,0.5676240921020508,-0.5802956819534302,0.0343880541622638,0.4474299252033233,-0.5810547471046448,-0.0345907770097255,0.5218186974525452,-0.3262850344181061,0.301717072725296,194.3978628296186,0.4474293461685325,-0.5810589720618308,0.4428558853937215,-0.7206721334900272,0.5218629483160002,-0.3262872555717277,194.3816169906198,1.1320208767028817,1.6021585603355454e-05
44,0.5855555534362793,-0.7315548658370972,0.1860181838274002,0.4428527951240539,-0.7207889556884766,0.0375411361455917,0.5675972104072571,-0.5802876353263855,0.0348449200391769,0.4474372267723083,-0.5810462832450867,-0.0350478179752826,0.5218473076820374,-0.3262692987918854,0.2965105473995209,194.40196915389947,0.4474340286453941,-0.5810510218975998,0.4428659745939257,-0.7207785466556508,0.5218636088339201,-0.3262712123941727,194.39390758673295,0.7374357667896447,4.9454013297838116e-05
45,0.5855222344398499,-0.7316019535064697,0.1860388964414596,0.4428573250770569,-0.7208917140960693,0.0339363701641559,0.5675864815711975,-0.5802866816520691,0.0361695773899555,0.4474432468414306,-0.5810388326644897,-0.0363693237304687,0.5218503475189209,-0.3262660801410675,0.2942245602607727,194.4024775398159,0.4474391794463784,-0.5810464777651835,0.4428687651495029,-0.7208700399996714,0.5218551534838365,-0.3262544767600684,194.39998674919093,0.3647497474787542,8.261637857167407e-05
