Frame #,Hand Pink X,Hand Pink Y,Elbow Pink X,Elbow Pink Y,Head Pink X,Head Pink Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Head Pink X_smoothed,Head Pink Y_smoothed,angles,velocity,roughness
60.0,983.5500488,911.2921143,725.248291,1003.654297,266.33902,997.079407,491.887299,1016.24219,491.855229106327,1016.1312797879076,983.5780738077844,911.4026445795683,266.33800244555533,997.0795793721048,163.1254610441414,0.8911214737884166,1.4984480200227082e-05
61.0,983.5500488,911.2921143,725.1659546,1003.772156,266.33902,997.079407,491.821259,1015.93475,491.82590007153175,1016.1289876864956,983.6095001051724,911.5200893924872,266.3375354167698,997.0799129106568,163.14030624995976,0.8907123491025004,6.178069293364652e-06
62.0,983.6856689,911.600647,725.1165161,1003.970215,266.33902,997.079407,491.821259,1015.93475,491.79364902328257,1016.1476955132752,983.6460928625932,911.694456172437,266.3375870049203,997.080021471004,163.15465312375196,0.8608124275315276,1.3374236737399562e-06
63.0,983.7205811,912.2243652,725.1680298,1003.986572,266.33902,997.079407,491.713898,1016.24933,491.7626193200461,1016.1846690292572,983.682763290982,911.91125302384,266.3379452315828,997.07996878839,163.16791368211628,0.7956335018593563,6.325919234154572e-07
64.0,983.7205811,912.2243652,725.2467041,1003.868774,266.33902,997.079407,491.70285,1016.31525,491.7358504389159,1016.2289107208117,983.7160717347734,912.1510939236872,266.3384817615871,997.0797962495964,163.1804411316698,0.7516469732109954,1.067545409842616e-06
65.0,983.8970947,912.3892822,725.2467041,1003.868774,266.33902,997.079407,491.70285,1016.31525,491.7139218356175,1016.2664771645065,983.746488583728,912.4001037012464,266.3391561969111,997.0795111954748,163.19386377472537,0.8053585833346233,8.43240044235511e-07
66.0,983.6592407,912.6655884,725.3858643,1004.24176,266.33902,997.079407,491.70285,1016.31525,491.6949023754401,1016.2873729894468,983.77851685601,912.65512054919,266.33995066312514,997.0791103212092,163.21051715867688,0.9992030370904104,2.550097778929626e-06
67.0,983.7205811,912.7756348,725.3220825,1004.482422,266.33902,997.079407,491.70285,1016.31525,491.675854393147,1016.2899161928976,983.8181303815956,912.9228686339076,266.34077193141314,997.0786259114992,163.23241044932604,1.313597438949614,1.508944586126369e-05
68.0,983.807373,913.6424561,725.2970581,1004.709656,266.33902,997.079407,491.70285,1016.31525,491.6551052132687,1016.2815152362112,983.8691411656808,913.2163452489766,266.3413695313886,997.0781738855004,163.26030136291152,1.6734548151288209,4.114051487157707e-05
69.0,984.043396,913.1206055,725.2548218,1004.584045,266.33902,997.079407,491.70285,1016.31525,491.6339227071288,1016.2765127127204,983.9316655566216,913.5503629112112,266.341323324755,997.07797593206,163.29324295848372,1.97649573433182,6.375501801141961e-05
70.0,984.1335449,914.1335449,725.4227905,1004.66394,266.33902,997.079407,491.5242,1016.21503,491.616311325478,1016.291716184141,984.0040717793652,913.935642141908,266.3401481210539,997.0783260805426,163.3287133549306,2.1282237868138054,6.024257993847643e-05
71.0,983.9884644,913.9213867,725.5120239,1004.993347,266.33902,997.079407,491.5242,1016.21503,491.6066957780634,1016.3404390291938,984.0859963478754,914.3721323441098,266.33753811347214,997.0794796895972,163.36328044272065,2.074025267402249,3.2019086735022775e-05
72.0,984.1525879,914.9257202,725.4538574,1005.205139,266.33902,997.079407,491.634583,1016.28394,491.60711585034113,1016.4272301055262,984.1790848806407,914.8455475661378,266.33372367042654,997.0814649861028,163.39360069038997,1.8192148601593772,9.735754434581111e-06
73.0,984.2484131,915.5293579,725.3920288,1004.993347,266.33902,997.079407,491.649384,1016.76544,491.6162266257608,1016.5464238160928,984.2852166028936,915.3311515398178,266.3298396288633,997.0838553295632,163.41735571099926,1.4253012365571749,2.2146518362511136e-05
74.0,984.4679565,916.0770874,725.2653809,1005.304382,266.33902,997.079407,491.649384,1016.76544,491.6305820719644,1016.6855706671242,984.4046758075204,915.804054368336,266.3281265385726,997.0855875560088,163.4337347874755,0.9827445885736096,6.433358719610158e-05
75.0,984.5769653,916.1483765,725.24646,1005.224792,266.33902,997.079407,491.649384,1016.76544,491.6465762165081,1016.8305963781336,984.5357771321128,916.2493795237464,266.3317442807304,997.0849493913306,163.44342168419652,0.5812138032621306,0.00010225298371592829
76.0,984.5740967,916.6018677,725.4231567,1005.526001,266.33902,997.079407,491.649384,1016.76544,491.66147256976905,1016.9686008510398,984.6750719709406,916.6652693449068,266.3440292813128,997.0798558595068,163.44834926568552,0.2956548893399713,0.00010566716709495281
77.0,984.8323364,916.9274292,725.6919556,1006.049438,266.33902,997.079407,491.672363,1017.26782,491.673345937664,1017.0884443509512,984.816984941451,917.0583154543674,266.36723434037003,997.0684523721428,163.45133260787108,0.1790005311335107,7.324941229087866e-05
78.0,984.8152466,917.4457397,725.7252197,1006.166687,266.33902,997.079407,491.672363,1017.26782,491.68058987339487,1017.1822984631942,984.9534916633612,917.4370863083536,266.4011946898152,997.0498870111336,163.45542272855212,0.2454072408625052,3.055025658411605e-05
79.0,985.2114868,917.9424438,725.2890625,1006.450195,266.5,997.0,491.672363,1017.26782,491.68157356867016,1017.248514055428,985.0755875553236,917.8088605531592,266.4427654050975,997.0248675657743,163.46303184619202,0.4565470583941078,7.49539664154505e-06
80.0,985.444458,918.171814,725.4080811,1006.446106,266.5,997.0,491.672363,1017.26782,491.6747062842336,1017.2926031406116,985.1769781817246,918.179865088707,266.4866246010089,996.9956645273276,163.47530336008566,0.7362908336182272,1.3777737527981826e-05
81.0,985.1029053,918.6107178,725.3961792,1006.210266,266.5,997.0,491.672363,1017.26782,491.6589581164396,1017.32445397012,985.2573110860856,918.55582059649,266.5269917379497,996.9656035488374,163.49212514021585,1.0093068078111855,3.345624771264669e-05
82.0,985.1029053,918.6107178,725.4124146,1006.484192,266.590851,996.898438,491.672363,1017.26782,491.63466625309513,1017.3534930527672,985.3212859414356,918.9403316949767,266.5592187426069,996.9382727927522,163.51266633181697,1.2324714960675465,4.444137805334426e-05
83.0,985.5,919.5,725.1588745,1006.858093,266.590851,996.898438,491.590149,1017.40985,491.6041318960827,1017.3848498373052,985.3741482546374,919.3323626154912,266.5807695364935,996.9165412985028,163.53599656028575,1.3998137081267714,3.981816299991388e-05
84.0,985.4345093,919.8172607,724.9820557,1007.344116,266.590851,996.898438,491.590149,1017.40985,491.5714291278292,1017.418400380758,985.4182457294417,919.7261367440472,266.5916392163121,996.9016668889464,163.5614681825628,1.5282973366231545,2.766588264854784e-05
85.0,985.4094238,920.0089722,724.9816895,1007.208801,266.590851,996.898438,491.5,1017.5,491.5412806362167,1017.4505399634576,985.4531161302746,920.114245556167,266.5941749840462,996.8930690833064,163.5888060468714,1.6402718585163711,1.720069610292891e-05
86.0,985.5,920.5,724.9297485,1007.363098,266.590851,996.898438,491.5,1017.5,491.5174868837746,1017.4770832618452,985.4772378665696,920.4913768191182,266.5923154393298,996.8889911600626,163.6179941177788,1.7512842544437035,1.1436514981599196e-05
87.0,985.5,921.083313,725.0,1007.571411,266.590851,996.898438,491.5,1017.5,491.5017337249502,1017.4955559835807,985.48949811918,920.8567325993564,266.59054756829875,996.8876243128428,163.64911668501088,1.867354033924471,9.319955961933992e-06
88.0,985.5470581,921.2912598,725.0230103,1007.609192,266.590851,996.898438,491.5,1017.5,491.4934085855064,1017.5059689233544,985.490227820844,921.21467871237,266.5928735581959,996.8880818612188,163.6822958037725,1.9907471256965437,9.220058407337221e-06
89.0,985.4382935,921.4036865,725.0,1007.571411,266.590851,996.898438,491.5,1017.5,491.49041385226514,1017.5101863713209,985.481673691496,921.5718667896272,266.6018863550408,996.890827547614,163.71767331435555,2.1226506349836427,1.0082509134903751e-05
90.0,985.5,921.3191528,725.1011353,1007.707886,266.590851,996.898438,491.5,1017.5,491.4904038154537,1017.5106361098924,985.4673755232928,921.9300624678558,266.61803391688835,996.8974107813845,163.75524258727685,2.2541563752781713,1.105143066762802e-05
91.0,985.3693237,922.6941528,725.0758057,1007.937439,266.590851,996.898438,491.5,1017.5,491.49182255631746,1017.5091270727607,985.450542304578,922.280029343843,266.6393837547047,996.9095658077372,163.7945437053665,2.358067085378366,1.0778285855302508e-05
92.0,985.3693237,922.6941528,725.0960693,1008.023743,266.689178,996.857971,491.5,1017.5,491.4943990192182,1017.5062132134212,985.4324170643242,922.6041623228772,266.66247345534964,996.9280043669552,163.8345469925266,2.4001972296071017,7.958380580468689e-06
93.0,985.5,923.083313,725.0960693,1008.023743,266.758759,997.0,491.5,1017.5,491.4990175277972,1017.5012307884022,985.4120014465494,922.8874838341898,266.68459041192386,996.9515979075582,163.87396359151688,2.3649959394163034,3.5548734486330354e-06
94.0,985.3890991,923.2040405,724.9916382,1008.215454,266.808685,996.982605,491.5,1017.5,491.5070535545682,1017.492927131459,985.3878460679902,923.1277134358548,266.70663872343823,996.9776261464758,163.91180501905137,2.270485652069283,1.1273236831921783e-06
95.0,985.3890991,923.2040405,725.0407104,1008.582703,266.709442,997.02655,491.5,1017.5,491.5194096143042,1017.480432581954,985.3609848018308,923.3365819263624,266.7344390278253,997.0029367197048,163.94776655922206,2.1576924102413386,2.6547993137038665e-06
96.0,985.5,923.3191528,725.4219971,1008.654846,266.709442,997.02655,491.5,1017.5,491.53566364706654,1017.4641428186716,985.337034410756,923.5325833883028,266.77664060301345,997.0250228289252,163.98215020559877,2.063018782602626,5.533155287182165e-06
97.0,985.2246704,923.8086548,725.486084,1008.537048,266.709442,997.02655,491.590149,1017.40985,491.5538685684344,1017.4459550365146,985.3257246601974,923.7311069103348,266.8398605372395,997.0422278372328,164.0154030300716,1.9951694683703636,6.269623885107167e-06
98.0,985.2246704,923.8086548,725.3815918,1008.687988,266.905975,996.974365,491.590149,1017.40985,491.57127067706966,1017.4285788547484,985.3371671131648,923.9382238801368,266.92418323093034,997.0532234925336,164.04761850473258,1.932928479658358,4.955628429367931e-06
99.0,985.2625122,924.2032471,725.2745361,1008.783142,267.121094,997.121094,491.590149,1017.40985,491.5854794463259,1017.4143843471508,985.3763920147924,924.1505521439497,267.0221888663453,997.0567010203584,164.0783301441246,1.8426983635214356,4.0339976685912945e-06
100.0,985.5,924.5,725.2745361,1008.783142,267.121094,997.121094,491.590149,1017.40985,491.59519808012175,1017.4046768888776,985.439905877145,924.3596579477368,267.1219176193918,997.0520876927676,164.10670772992523,1.7026551480375929,5.463825582628602e-06
101.0,985.5,924.5,725.3209839,1009.001221,267.213348,997.023987,491.590149,1017.40985,491.60010901641743,1017.3998055289766,985.5171023452048,924.5579484421576,267.2113258636143,997.04075335842,164.1320182906794,1.518633645250702,1.0153803403546499e-05
102.0,985.7329102,924.7540283,725.1488037,1009.407166,267.311035,996.984253,491.590149,1017.40985,491.6002735065454,1017.3997472411916,985.5957590146108,924.7432340113804,267.2817017456836,997.0261520356866,164.1540525490157,1.3220555001765888,1.6931045771321257e-05
103.0,985.7995605,925.0200195,725.4016113,1009.358337,267.357147,997.0,491.590149,1017.40985,491.5956453691007,1017.4045693500176,985.66822217908,924.9207110421722,267.3293609876747,997.0123845055348,164.1732928045829,1.1544153340327057,2.1501675464125845e-05
104.0,985.6904297,925.1331177,725.4637451,1009.356018,267.357147,997.0,491.590149,1017.40985,491.5860657723277,1017.4144080867384,985.734573710876,925.1026843477104,267.3559174362948,997.0024054678614,164.19084564645698,1.0531705124446944,1.9440610279872366e-05
105.0,985.6403809,925.4155884,725.1018677,1009.664124,267.357147,997.0,491.590149,1017.40985,491.5717487617044,1017.428962384634,985.8007641279034,925.3059088112124,267.3672298003137,996.9971819537398,164.2082642919052,1.045118726893861,1.1271217820346525e-05
106.0,985.8571167,925.3045654,725.4512939,1009.786926,267.357147,997.0,491.590149,1017.40985,491.5539064726231,1017.4468670278022,985.8732145122308,925.5456195641513,267.3712294974201,996.99593766545,164.2272656254075,1.1400800101381492,3.4617905333366345e-06
107.0,985.916687,925.5,725.4512939,1009.786926,267.357147,997.0,491.5,1017.5,491.53491890921526,1017.4655548655064,985.9541795349814,925.8272361809596,267.37531843289577,996.9969059913616,164.24927078148372,1.3203093645722674,3.4185278339890825e-06
108.0,986.2457886,926.2457886,725.4512939,1009.786926,267.357147,997.0,491.5,1017.5,491.51767699432935,1017.481989066502,986.0408830875552,926.1406760074078,267.38416030825556,996.9981001157796,164.2748590883824,1.5352984139218506,1.2102121221168556e-05
